trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
45,0.6504201680672269,-2.710116120342067,-4.426085850916356,0.4193899012651004,1,2,239,179,24,85,0
41,0.6461107519931049,-2.490275820048361,-4.800261822950131,0.4581100144494543,0,2,242,186,23,61,0
42,0.6412195647489766,-2.621941490919947,-4.556981078229503,0.459898406598997,3,2,167,163,215,250,1
49,0.6301659125188537,-2.572435179786817,-4.555559953630845,0.42644536894356755,4,2,225,213,152,219,1
43,0.6298427063132945,-2.5998992943486456,-5.0,0.4707533898709679,1,2,254,166,75,163,0
47,0.6290670114199525,-2.46939790029655,-4.231465775882527,0.43634796433497236,4,2,242,161,216,84,0
8,0.6264382676147382,-2.101591070560056,-4.8916104597853725,0.4679733197749655,1,2,224,114,100,55,0
31,0.6198879551820728,-2.372606815116545,-5.0,0.4073513448703636,4,2,140,167,250,37,0
35,0.6175824175824176,-2.087295998674494,-5.0,0.49005389124055193,1,2,206,204,67,228,0
10,0.6109674639086403,-3.5446872550633843,-4.3584961357423015,0.31511445978458713,2,2,205,101,96,36,0
40,0.605903900021547,-1.8946788300328783,-4.996642972358609,0.44921629568742694,4,2,225,162,208,5,0
46,0.5981254040077569,-2.9831388907747973,-4.681797459814932,0.4284131103374287,0,2,195,167,37,77,1
12,0.5942361560008619,-0.9030298615646561,-4.910621485886287,0.5031640699201276,3,2,75,224,221,199,0
50,0.5859728506787331,-2.4741115464049277,-4.707294740485108,0.44124982413589287,2,2,256,171,12,95,0
15,0.5850678733031673,-0.8731213987446607,-3.744921698838715,0.6821397650597951,2,1,179,104,192,100,0
26,0.584873949579832,-3.8405653178416883,-4.7551132777403256,0.3690145694458033,2,2,69,105,200,77,0
44,0.5843783667313079,-2.414555930001514,-4.554050244063006,0.4578269323611987,1,2,30,189,148,71,0
28,0.5812648136177548,-1.6650075196410694,-4.613573591469234,0.41491321306823076,3,2,234,95,59,85,0
5,0.5806938159879337,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
30,0.5796595561301444,-3.775694581562891,-5.0,0.4537347372243642,3,2,52,89,0,240,0
20,0.5795518207282914,-3.338175226975965,-5.0,0.6516574863483037,3,2,250,101,237,203,0
9,0.576115061409179,-1.0719835771849455,-1.5664563103925673,0.10157513771061139,3,2,254,66,0,201,0
2,0.5752854988149105,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
13,0.574876104287869,-1.6170097934636911,-2.996558806113674,0.005387031392939999,1,3,256,54,19,74,0
16,0.5748114630467572,-2.2686461647522154,-4.78014550985541,0.7,3,2,220,45,212,95,0
48,0.5746175393234216,-3.3325205781330958,-4.9266137903273775,0.39580236861978585,4,2,197,220,25,51,0
38,0.5741542770954535,-2.0052767937977047,-2.9175017009117545,0.4661934513944542,1,2,123,156,197,150,0
33,0.5727429433311786,-0.9993677547025754,-3.463275225980455,0.3474355471588327,1,1,215,96,164,182,0
25,0.5726783020900668,-1.3054344140326632,-2.4697650675412266,0.5336424634393457,0,1,110,147,83,67,0
21,0.5722473604826546,-3.922374665141043,-3.7824931890323654,0.4462965884431277,3,3,45,109,0,228,0
11,0.5720103425985779,-2.996467140895972,-4.298870317055694,0.6099312878817199,4,2,8,251,121,148,0
23,0.5709760827407886,-3.0829966275264167,-2.0389766843395534,0.4145245315931254,0,2,234,111,16,0,0
32,0.5709329885800474,-4.0,-3.8786910318303964,0.2584308563739862,0,2,229,79,124,52,0
19,0.5645765998707175,-3.978293823241771,-4.671887759126481,0.4269176142417494,0,0,146,0,138,8,0
3,0.5629821159232924,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
36,0.5618939883645766,-2.5231727147377407,-4.817732248687224,0.43491012593167777,0,2,82,22,126,86,0
4,0.55477267830209,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
18,0.5509911656970481,-1.1887664412293115,-5.0,0.5958125110542268,0,2,256,101,164,41,1
7,0.5504955828485241,-3.27946541470925,-1.0,0.1089888566815323,2,3,179,148,134,148,0
22,0.5500754147812972,-3.8422093723886066,-4.515955303231646,0.7,3,2,215,113,188,207,0
1,0.5187890540831718,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
17,0.5107304460245637,-1.0878698326183383,-1.0997471549523072,0.5440714473167474,0,0,256,157,224,9,0
29,0.5073260073260073,-0.5823195443348723,-3.777120760118131,0.4635697966987686,4,2,143,67,184,116,0
14,0.5,-1.1166667086907744,-4.689057710062198,0.0018846468033972906,3,2,256,217,128,239,0
39,0.5,-1.46504194501721,-1.9723167856422452,0.0953277915164951,2,0,202,87,100,252,0
24,0.5,-1.4011432034259137,-5.0,0.5033400686582657,3,0,175,102,221,0,0
37,0.5,-2.060453664689496,-5.0,0.6461162490306158,3,2,179,154,129,61,0
27,0.5,-0.746232409328119,-4.588278646062589,0.007519441994615787,1,2,106,91,119,70,0
6,0.49341736694677873,-4.0,-1.0,0.7,0,3,256,256,0,0,1
34,0.4492027580262875,-2.8278724616241893,-3.372478576253305,0.7,4,1,51,189,15,225,0
