trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
21,0.8122899464752499,-2.7385006924991924,-4.554712611072937,0.0,4,3,256,0,0,60,1
40,0.8112388144337026,-2.129164811749588,-3.5390429496563804,0.09448100566635469,3,3,208,76,80,0,1
28,0.8103259892397272,-3.2102753536582647,-1.0929179577868227,0.0,1,3,159,256,0,43,1
19,0.8099940528055546,-3.47680119799265,-4.212454125434077,0.0,3,3,207,0,0,140,1
10,0.8099248993817684,-4.0,-2.4487173995647638,0.0,3,3,256,0,0,256,1
45,0.8091365503506079,-0.3,-2.8087771082177784,0.0,4,1,256,0,89,241,0
18,0.8083620320042044,-1.8913630284003915,-1.5241842798391483,0.2434278631058471,3,3,173,0,0,166,1
38,0.8080300955700317,-2.3852403419365418,-1.4093584116485407,0.3550132664817681,4,2,8,0,0,0,1
3,0.8079609421462457,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.807573682973044,-1.9688618333511636,-4.432935824665664,0.008171886719075478,0,2,256,0,153,171,1
4,0.8072970692779,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
23,0.8068129953113979,-1.8596065872498824,-2.898070790456247,0.1309651338351344,4,2,193,81,124,0,1
43,0.8067300112028546,-1.350420831649311,-4.498199781081281,0.34832891798655813,0,2,13,0,233,256,1
41,0.8065087202467394,-3.332270535708859,-2.9072232691065647,0.07497928979790848,3,3,62,248,25,0,1
32,0.805595895052764,-1.5666074833242245,-3.3881561883004667,0.0,4,2,59,256,0,44,1
16,0.8050841597167475,-0.3,-3.6271218730861143,0.0,0,0,256,0,2,256,1
49,0.8045447630112167,-0.5608455396693537,-2.5913131941638983,0.16612258152541323,4,1,256,256,210,0,1
26,0.8041989958922866,-2.717521425795959,-2.0020782782156266,0.23441092196222682,4,1,215,187,256,171,1
47,0.8041021810989861,-3.1511454892941915,-2.144757579016885,0.5913777656358112,0,2,254,165,127,0,1
6,0.8031478638507391,-1.6217242325153345,-4.1998006461469535,0.04578060969697658,2,2,67,0,60,140,1
42,0.8029127422098669,-2.351325916807353,-3.6178458293625555,0.4519524951636717,4,3,256,134,0,0,1
12,0.8026084671452084,-1.5274941466076677,-4.340213374663903,0.4524793034387236,4,3,24,58,178,244,0
11,0.8024839909823934,-4.0,-1.0,0.0,1,3,256,0,0,256,1
27,0.8024701602976363,-1.59577887205357,-2.5240074603995795,0.0,4,1,253,243,241,28,0
17,0.8023180227653072,-0.3,-5.0,0.0,4,3,34,0,204,256,1
48,0.8013913668865746,-3.981051436832483,-4.70497498022924,0.5369498264483165,0,2,8,0,0,0,1
39,0.8006445099096856,-3.3943263113177853,-5.0,0.0,0,3,222,256,182,256,0
29,0.800395557584056,-3.5195958881014477,-1.943181559516415,0.7,4,2,126,1,89,123,1
5,0.7997593460852247,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
7,0.7995242244443523,-1.9271473243564619,-1.2146100848194075,0.0,2,2,33,160,211,0,1
25,0.7977746428225662,-3.9128020810369444,-4.200513873791958,0.25700999358324395,1,1,239,256,256,103,0
30,0.7975464365240722,-3.707413773328981,-2.0289431424595654,0.7,0,0,8,256,0,21,1
35,0.7964538124282532,-2.7886930828226912,-5.0,0.44637632060700233,4,3,39,0,68,256,0
24,0.7959697384617512,-2.2673177976008083,-5.0,0.7,4,3,8,72,256,237,0
1,0.7946973154640886,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
14,0.7943653790299158,-4.0,-1.0,0.7,4,0,256,256,256,256,1
20,0.794310056290887,-1.3788965165513085,-4.131060592319461,0.4524644828206721,1,1,184,103,230,174,0
37,0.7917098875565329,-3.4001600016795193,-2.861905350644554,0.5601343191229186,4,1,167,0,83,256,1
22,0.7915854113937181,-4.0,-1.0,0.0,0,3,215,256,0,115,0
2,0.791308797698574,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
13,0.7891788722459648,-0.3,-5.0,0.0,3,0,8,256,256,256,1
15,0.7883213697910184,-4.0,-1.0,0.0,4,0,256,256,0,0,0
44,0.7878995339059237,-1.945532369546151,-1.4146449136217178,0.24369389188581161,1,1,247,256,139,46,0
36,0.7875330207598576,-0.4719664619350197,-3.6444314921502556,0.0,4,2,256,0,226,250,1
46,0.7855344868124421,-2.5262540117973726,-1.3089572673395953,0.6113461423880251,0,0,8,0,205,256,0
34,0.7852371270901624,-2.2225690889586476,-1.9467657547618629,0.0,4,1,94,256,256,119,0
9,0.7821321383621703,-3.9612555475204374,-1.0249662968907138,0.32346068379557735,3,0,202,163,79,42,0
33,0.7745874998271164,-4.0,-1.0,0.0,0,3,256,0,0,18,0
31,0.6927789994882646,-0.5801918398665249,-4.875100855601158,0.5663475031075579,2,3,59,256,256,193,0
8,0.5,-0.9894875103746452,-2.3853546803112144,0.0,0,2,189,34,36,237,0
