trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
42,0.8167226809399334,-1.9690070696096558,-3.6906571950718883,0.34506130925521317,1,3,72,156,123,17,1
6,0.8126772056484517,-2.4726642101946226,-2.2404429628495373,0.0,3,3,210,170,256,148,1
23,0.8115292588136037,-1.9481069843708867,-1.0,0.0,4,3,8,155,0,256,1
32,0.8112803064879741,-4.0,-5.0,0.0,0,3,256,256,0,256,1
3,0.811059015531859,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
9,0.8110451848471018,-2.217293961326206,-1.574350226515914,0.22756563084257633,1,0,149,29,23,73,1
18,0.810644094989143,-2.1952760685117862,-3.4257785971257917,0.7,0,0,191,0,0,256,1
50,0.8095376402085667,-2.704843433827549,-3.9404510794476257,0.7,2,2,194,185,16,149,1
15,0.8088046139164351,-1.672998502181923,-5.0,0.7,0,0,67,170,0,0,1
31,0.8084450161127477,-2.4152175161662237,-1.0,0.0,1,3,8,256,0,256,1
29,0.8084035240584762,-2.702213728059593,-1.0,0.06535283396225001,2,3,256,256,108,256,1
36,0.8083482013194474,-1.0149263631641143,-2.959470310781322,0.0,0,3,71,135,0,256,0
40,0.8077949739291592,-3.829930520731001,-2.2291646260422455,0.07240092252823431,1,3,243,256,250,177,1
19,0.8067853339418833,-1.2808544152581782,-5.0,0.24270368166381534,4,3,112,256,136,256,0
22,0.8064257361381962,-2.7794559442368483,-5.0,0.0,4,3,256,256,173,256,0
47,0.8061629531278094,-1.3541603451059379,-4.410663728924218,0.7,0,3,256,96,84,0,1
34,0.8055682336832497,-3.3613187788969574,-1.0,0.0,4,3,141,256,0,256,1
7,0.8045447630112167,-0.35292646317074805,-4.082780869346266,0.2146318324674786,4,1,145,197,205,122,0
41,0.8039223821971426,-2.04488635806037,-4.930518141378506,0.6942895254641259,3,0,159,256,111,26,0
39,0.8036042764477269,-0.652804294270243,-3.048755655842471,0.518346760718972,0,0,192,0,132,52,1
43,0.8033829854916117,-2.7029999925941945,-1.0,0.12294557790377376,1,0,54,256,124,126,1
4,0.8013360441475457,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
45,0.8011700759304594,-3.8027271813732564,-1.9636012705290367,0.20739555787664304,2,1,21,221,165,193,1
33,0.7999253143023111,-3.463940013797003,-1.0,0.0,0,0,256,164,11,51,1
5,0.7992614414339654,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
37,0.7991577112982864,-0.3,-1.0,0.0,1,0,143,0,118,0,1
28,0.7984592617180477,-2.275798881415753,-4.731077439972384,0.1868198235111549,0,3,8,256,0,256,0
21,0.7981826480229036,-0.9886088574947474,-5.0,0.7,4,0,155,256,256,0,0
1,0.7976639973445085,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
17,0.79567929408185,-4.0,-2.861098772605563,0.0,0,3,8,256,0,256,1
35,0.7947042308064672,-2.622838504519451,-1.0,0.0,3,3,256,0,0,256,0
24,0.7945728393012736,-4.0,-3.8874955543465983,0.08318178954633232,1,2,256,5,142,139,0
44,0.7945451779317594,-4.0,-3.981286441484592,0.7,2,3,8,158,233,93,0
46,0.7933834004121544,-3.918322677876449,-3.794567962864652,0.44132692884830077,4,3,177,195,52,134,1
2,0.7927471889133231,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
16,0.7927333582285658,-3.3154644409592726,-5.0,0.7,0,3,246,0,0,0,1
27,0.7925950513809938,-1.146156926221316,-1.3264284598356553,0.0,3,2,256,256,0,180,0
20,0.7909353692101295,-0.3,-1.150123940187937,0.0,2,3,75,0,0,256,0
8,0.7902161736027551,-3.859336714905428,-2.5496414437154726,0.05759715340120202,0,1,14,245,206,97,1
25,0.7852094657206478,-2.5709401085366483,-5.0,0.7,4,3,188,97,256,0,0
13,0.7830518788985243,-3.778568119844441,-1.0,0.7,4,3,256,0,0,15,1
12,0.7817379638465901,-0.7354122918742538,-5.0,0.7,4,1,8,256,256,256,0
26,0.7807559852288285,-0.3,-3.026345449392326,0.0,2,3,8,74,237,256,1
11,0.7076608162870143,-0.3,-1.0,0.0,1,1,256,129,100,74,0
14,0.5976861264401201,-0.3,-1.0,0.09215125696083255,0,3,242,157,187,176,1
38,0.5445071435486771,-0.48628774155167687,-1.0,0.0,3,0,80,182,86,230,1
49,0.5,-0.3,-1.0,0.29345693140950707,1,2,8,256,213,15,1
30,0.4838941676002379,-3.9275205072721238,-1.0,0.0,1,1,8,0,0,0,1
48,0.4679681341023194,-4.0,-4.200877363524477,0.6498236839319583,3,3,8,156,227,213,0
10,0.42634468832551903,-3.9952831048999164,-3.878917871973149,0.6279614322088154,3,1,12,126,77,159,0
