trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
35,0.6243971631205674,-3.411626841504652,-5.0,0.0,4,2,256,256,71,256,0
49,0.6212482269503546,-3.2229836214243064,-3.707098197426285,0.0,1,2,37,38,0,212,0
37,0.6187517730496453,-2.8841338893687825,-5.0,0.0,3,0,56,256,14,0,1
46,0.6185815602836879,-2.709394010128481,-3.7212107459338366,0.0,0,0,90,105,3,0,1
24,0.6147801418439716,-2.965649091825017,-3.7138671550875957,0.0,4,2,15,119,89,256,0
25,0.6060425531914894,-2.8468176462884673,-5.0,0.0,4,2,210,158,124,256,0
26,0.6043404255319149,-3.020830144420553,-5.0,0.08846806249584055,1,2,239,228,69,138,0
38,0.5965390070921986,-2.1032118133265456,-5.0,0.0,3,2,182,256,0,256,0
50,0.5958581560283688,-3.349613025050696,-2.8887752699385216,0.0,2,2,36,225,256,256,1
8,0.593404255319149,-2.1352050743683275,-1.7877072528609017,0.15070900123735995,3,1,216,105,66,245,0
32,0.5932340425531915,-2.1435970901553,-3.1285759222820353,0.0,3,3,191,231,77,181,0
22,0.5874751773049646,-2.9929891588222715,-1.2854423211904962,0.35253053441939697,3,3,65,85,4,256,0
31,0.5873900709219858,-3.2605364915297916,-1.533224743264539,0.4788631373454717,4,2,8,237,78,198,0
27,0.5866382978723405,-4.0,-3.147800926406619,0.019014666815798015,2,2,131,142,54,82,0
40,0.5839148936170212,-4.0,-4.2578225449943865,0.0,1,2,65,256,136,256,0
17,0.5834468085106382,-2.5049601129121397,-1.0,0.11276164185470215,3,2,235,196,18,168,1
30,0.5832624113475177,-2.8556585007186785,-2.5630740884889596,0.2116401867680598,2,2,17,0,86,256,0
14,0.5829361702127659,-3.7132673246626124,-5.0,0.22444599878033877,0,2,256,253,79,0,1
39,0.5817304964539007,-0.3,-4.500868493196881,0.7,3,1,56,256,0,256,0
12,0.5813617021276596,-4.0,-2.0245926178975493,0.0,0,3,256,256,0,0,1
11,0.5808794326241135,-2.0172578772273946,-2.5077583878582486,0.0,2,2,8,203,76,64,1
2,0.5793191489361702,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
47,0.5790354609929078,-3.2372105872614725,-4.589564326777484,0.0,1,3,256,179,62,256,0
9,0.5790070921985816,-3.841173606593261,-4.09529534693486,0.6113332026151196,4,1,119,44,133,256,0
42,0.5782127659574469,-3.0177568481962425,-5.0,0.30562606804957454,4,0,62,194,0,0,1
44,0.5780425531914894,-3.476077994879981,-5.0,0.0,4,0,105,256,26,256,0
18,0.5779574468085106,-4.0,-5.0,0.3369226693965848,4,0,71,42,0,113,0
19,0.5779290780141845,-0.3,-5.0,0.3197863226132992,2,1,91,131,256,40,0
34,0.5772198581560284,-3.0053853817289045,-3.6741214040736825,0.0,4,2,49,256,146,109,0
5,0.576936170212766,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
36,0.5768510638297872,-4.0,-3.9049824130287822,0.003108585507779905,4,2,256,256,0,245,0
20,0.5672056737588653,-1.1049252839616552,-5.0,0.03935661282191072,4,2,29,210,256,69,0
10,0.5658581560283688,-1.994867808909906,-5.0,0.7,4,0,8,114,256,0,0
41,0.5609078014184398,-2.9811248064877742,-5.0,0.0,4,2,209,256,22,40,1
13,0.5547517730496454,-2.0172766478266757,-3.5318674698655728,0.6687708732270288,3,3,256,45,0,82,1
6,0.5486666666666666,-3.5127313087056486,-1.0,0.21172787960547143,3,3,128,86,104,76,1
43,0.5364255319148937,-4.0,-1.0,0.0,4,0,19,256,12,0,1
4,0.5348794326241134,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
29,0.5335319148936171,-3.5259500864971547,-5.0,0.1825256737410747,1,1,25,79,80,256,1
3,0.5308510638297872,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
48,0.530709219858156,-2.9780108346483223,-2.4806889500382328,0.0,3,1,256,222,7,256,0
28,0.5299148936170213,-2.558358526011151,-3.3989591642750234,0.5467881328539468,3,1,138,248,119,56,0
7,0.5010496453900709,-2.8811378508243926,-2.8848815727743626,0.5701010562114346,0,1,256,27,222,16,1
21,0.5,-0.3,-1.0,0.47093416645567376,4,2,160,159,256,53,1
16,0.5,-2.0361574885813636,-1.0,0.0,1,0,8,256,256,226,0
15,0.5,-0.7190719048781586,-2.589998781906519,0.016523653530337783,0,2,256,153,0,144,1
45,0.5,-1.037169838172514,-5.0,0.0,4,2,16,256,73,256,0
33,0.5,-0.3,-4.855963893852421,0.0,1,0,215,0,256,226,0
1,0.4802836879432624,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
23,0.4482127659574468,-4.0,-3.164521089022252,0.6526020441472277,1,1,24,208,217,0,1
