trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
4,0.6164680851063831,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
19,0.610468085106383,-3.3379082754731346,-3.703504777433527,0.5493400585026224,2,0,256,248,157,0,1
8,0.6052765957446808,-3.0996997187937154,-4.401115307960217,0.3965398807127438,4,2,184,256,92,168,1
26,0.6035460992907802,-1.6868746374610124,-2.9910061912120036,0.35742522544175015,4,3,52,47,221,0,1
3,0.6029503546099291,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
24,0.598581560283688,-2.6178802827670418,-4.945599008880796,0.08514072201327384,2,3,109,36,202,36,1
22,0.5984113475177305,-2.8326954394903785,-3.065054672795205,0.4423255277991225,3,0,256,147,226,114,1
30,0.5975602836879432,-4.0,-5.0,0.23255687390250374,3,3,8,184,217,256,1
50,0.5967943262411347,-2.1659724770234687,-3.1795976327962565,0.5385421165986165,0,2,218,215,222,0,1
44,0.5915460992907802,-4.0,-1.2313578791658863,0.033494940340531625,4,2,256,165,197,0,1
34,0.591517730496454,-1.5925833150192044,-4.802146132017338,0.6951954248610316,4,3,141,199,133,37,1
28,0.5908652482269503,-3.3699537618966255,-5.0,0.395585192794548,3,0,109,109,255,107,1
49,0.5907234042553191,-3.2936328210589325,-3.188587066379057,0.34988831344566634,3,2,46,104,63,218,1
16,0.5900709219858155,-2.0047622354514267,-2.972898454433671,0.34298404500947277,2,0,77,26,53,0,1
32,0.5883120567375886,-4.0,-4.508940617297878,0.06539073016737144,2,3,135,189,167,240,0
33,0.5880283687943262,-3.048054016141892,-5.0,0.7,4,3,202,192,112,57,1
25,0.5864822695035461,-1.9190080893683596,-1.1489500732974824,0.08151373573577567,2,0,117,73,36,64,1
6,0.5852482269503546,-0.6156327296514026,-3.121784315965492,0.02399962384407835,3,1,225,0,17,152,1
11,0.5848510638297872,-2.6802367712152653,-5.0,0.0,3,3,141,71,158,115,1
27,0.5846524822695035,-1.834780099240822,-3.634537130049755,0.5627282638015408,4,0,204,256,242,103,1
35,0.5834042553191491,-2.8294120810413816,-2.9556918108338506,0.7,4,3,43,256,256,256,1
12,0.5831205673758866,-2.443593202538428,-3.723666029316575,0.7,0,1,136,161,139,0,1
5,0.5829503546099291,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
7,0.5828652482269504,-3.949721651227254,-4.398066543122058,0.6104564656751524,4,0,238,230,81,236,0
36,0.5828652482269504,-2.9014558934250747,-1.988306091571307,0.019072748470912903,1,2,50,188,0,67,1
1,0.5818156028368795,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.581177304964539,-4.0,-5.0,0.6810498155094881,2,1,256,256,94,116,1
20,0.5807375886524823,-0.46765266364358826,-4.16136614169811,0.27426118016623396,1,2,256,160,181,62,1
23,0.579290780141844,-1.4304180921422214,-4.265571957924667,0.3567395992687288,0,0,102,170,11,0,1
18,0.579290780141844,-3.831682670592596,-3.3208810669414563,0.47934683446035753,2,2,256,32,245,53,0
40,0.5776595744680851,-1.835344000018483,-5.0,0.13591641981601932,1,3,8,112,15,55,1
38,0.5766950354609929,-2.6535567560102327,-3.3194064409988044,0.45231202752251254,2,3,256,256,16,173,0
2,0.5741560283687944,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
41,0.5711063829787234,-2.341534934418407,-4.7498584479114,0.6749702826251957,4,2,8,0,256,59,1
39,0.569063829787234,-4.0,-1.5287469549803565,0.6778813798697303,1,3,116,256,254,256,1
17,0.5644822695035461,-1.1480129446708527,-3.6184768696277496,0.08027276047893184,2,1,256,184,120,256,1
13,0.5635319148936171,-2.2023096010820638,-5.0,0.7,0,1,145,12,119,256,1
46,0.5634893617021277,-2.9687521495364733,-3.1260257383625367,0.223832986400685,3,1,8,67,256,0,1
47,0.5608936170212765,-0.3,-3.242146343108498,0.11346088582468716,4,2,173,19,99,65,1
21,0.5593900709219858,-1.5128987103027094,-2.6224394972061877,0.3243506289737424,3,0,256,35,101,9,1
37,0.5496028368794326,-4.0,-1.115543301417795,0.30856595571288853,4,0,8,174,15,147,0
43,0.5442695035460993,-4.0,-4.918936457136894,0.2608105862530333,4,1,106,134,166,0,0
31,0.5313191489361702,-2.9817278737233526,-5.0,0.09953420236055693,2,0,256,132,86,256,1
14,0.5078014184397164,-2.015510757876016,-1.0,0.4780482872955703,4,2,18,10,225,256,0
15,0.5074468085106383,-0.5890688233882972,-3.80300015318887,0.7,1,2,8,252,159,102,1
10,0.5,-0.3,-5.0,0.0,4,0,106,9,256,0,0
9,0.5,-0.9362064366572493,-1.088658356269772,0.17510021420405333,4,2,8,70,0,229,1
42,0.5,-0.3,-4.946737732831136,0.5099190354148782,1,3,256,12,51,256,0
45,0.5,-0.4824831590535221,-1.0,0.2318383209412943,4,2,88,171,0,60,1
48,0.49475177304964535,-3.1254436405209067,-1.0,0.6663079110924267,4,1,256,256,130,50,1
