trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
1,0.9339241783889485,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
40,0.9332933829559075,-0.3,-4.515657265221044,0.2248904648299139,0,3,91,150,0,58,1
4,0.9329149056960828,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
23,0.9308963603103513,-2.4167992287525926,-2.501463867115519,0.5511440886757014,4,0,256,7,0,0,1
15,0.9295611766437478,-0.3,-1.0,0.0,0,3,256,256,0,0,1
22,0.9293088584705314,-0.3,-2.4829380501274314,0.03418441670721592,3,0,256,117,0,218,1
46,0.9292930885847052,-0.3,-4.81215503401743,0.48865643241408885,0,0,256,70,20,144,1
3,0.9272167202842785,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
41,0.9258920498748922,-0.3,-4.611299097718258,0.0,0,1,256,243,0,256,1
43,0.9257343510166319,-0.3,-2.5918063930591537,0.10478598371459234,4,1,8,126,21,121,0
11,0.9253979267856768,-0.5737776922308866,-5.0,0.10507731051532855,3,3,256,0,256,256,1
45,0.9253348472423726,-0.3154950765637712,-2.1032150548674404,0.09518978078349795,4,1,176,128,36,3,0
39,0.9252507411846338,-0.3,-5.0,0.0,0,0,196,256,0,256,1
34,0.9249248302108959,-0.3,-3.097958035762287,0.48416077577686745,4,1,8,136,45,246,1
20,0.9239576105468996,-0.3,-2.654105940499747,0.0,0,0,256,256,0,256,1
47,0.9235055404865535,-0.3,-2.1179296274941977,0.5249017952036429,4,0,256,24,0,0,1
21,0.9227275594524696,-1.6919102227915737,-1.8190538914310603,0.7,2,3,256,0,1,117,0
10,0.9218864988750815,-3.561861146231923,-5.0,0.20792185641940145,0,0,8,256,0,0,1
17,0.9214028890430833,-0.3,-2.5124887303641743,0.0,0,3,256,256,256,256,1
44,0.9211295443554323,-4.0,-2.4507609849904948,0.0,0,0,102,7,256,256,0
13,0.920645934523434,-4.0,-5.0,0.0,0,0,8,256,256,256,1
5,0.9203305368069136,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
6,0.9202569440063921,-0.3,-1.8609696810489962,0.48216223288991666,3,0,61,91,216,256,1
19,0.9198259004604806,-4.0,-2.982698365928393,0.0,0,3,256,201,57,169,1
37,0.919594608801699,-4.0,-1.4335416902542772,0.3179754749439007,0,2,256,51,232,256,0
14,0.9188691940537018,-4.0,-5.0,0.35084653355079354,4,3,256,0,256,0,1
26,0.9181332660484871,-4.0,-3.352207629393367,0.09687328316464106,0,1,8,249,82,25,1
29,0.9177232490170104,-4.0,-4.184043725653158,0.0,0,0,8,256,256,71,1
30,0.9171555331272735,-4.0,-5.0,0.3547754926821778,0,2,106,130,256,113,1
2,0.9126979120671167,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
12,0.9116045333165121,-0.3,-5.0,0.7,4,0,8,0,256,256,1
24,0.9110788704556446,-0.3,-2.4970476264776584,0.11887294066819117,4,0,8,52,2,256,1
9,0.9102272966210392,-0.3,-1.0,0.0,0,3,256,0,0,0,0
28,0.9097857398179104,-0.3,-4.537666807459503,0.24111578156904656,0,1,8,84,0,57,1
36,0.9021636283353308,-0.3,-2.107436895834234,0.6872914914447039,4,0,8,137,184,36,1
50,0.9018272041043756,-0.3,-3.475186444181907,0.0,4,0,13,0,0,21,1
31,0.8973065035009145,-4.0,-2.807927560179356,0.5520686938844185,4,1,152,17,127,124,1
49,0.8928278559263231,-0.3,-3.115726069054393,0.7,0,3,8,245,0,138,1
27,0.8900523560209423,-0.3,-1.567596301786546,0.0,4,0,256,0,57,256,1
32,0.8881704829790366,-4.0,-1.7665016902473547,0.3553337697203061,2,3,160,15,256,0,1
8,0.8880180407493851,-2.9404878818344824,-2.157885954779888,0.07073422382184903,3,1,56,207,195,227,0
38,0.8871191572573015,-0.3,-2.9972909233406004,0.3396853735067206,4,0,8,0,0,143,0
18,0.8288757122731765,-4.0,-1.0,0.0,3,0,8,115,256,210,0
33,0.8247229756723229,-0.3,-2.5501445186743323,0.009067202839167178,4,2,256,149,0,111,0
48,0.8236821632078049,-0.3,-5.0,0.0,0,2,256,256,0,256,1
35,0.7708688155764419,-0.3,-5.0,0.05195950532045808,0,2,8,256,0,0,0
42,0.698011943060199,-2.296980727248981,-1.7504173806769554,0.692446397046812,0,2,8,24,175,65,0
25,0.634632771925398,-0.3,-3.722622577487437,0.0,4,0,256,15,0,226,1
16,0.6294076830883745,-4.0,-1.0,0.10144762924449553,4,0,8,0,8,0,1
7,0.5,-0.8683809131536111,-4.007817705318618,0.5828835577898103,2,2,229,0,43,33,0
