trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
11,0.7307153630683042,-1.192978803036345,-3.519024615082614,0.3289153781221357,4,1,256,227,182,0,1
47,0.724272786037492,-2.929200850508477,-5.0,0.23413145912468583,4,0,256,5,126,0,1
31,0.7226136608489551,-1.9372464671026135,-5.0,0.11947483901789364,3,1,256,229,17,0,1
33,0.722613660848955,-2.415097209162433,-5.0,0.26787889944638876,4,0,256,120,102,0,1
38,0.7169898728722258,-1.2756356838126504,-4.075501573081941,0.44904208378352867,0,1,181,256,178,0,1
37,0.7150398620986856,-1.338231044951005,-5.0,0.5311546149126127,2,0,256,166,63,0,1
50,0.7143180349062701,-2.8428032234260225,-5.0,0.0,1,0,256,242,32,82,0
6,0.7133053221288517,-1.6545786487056127,-5.0,0.7,1,0,256,0,256,256,1
21,0.7122064210299505,-1.1811155145962844,-4.547517634327763,0.26595592957521613,2,1,188,62,86,8,1
24,0.7075307045895282,-1.5488652773542615,-3.778774332078531,0.4046101180393436,2,1,209,32,110,7,1
28,0.7070135746606335,-0.3,-3.6051979969889865,0.15961722478040727,4,1,256,256,31,0,1
4,0.705505279034691,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
14,0.7049666020254255,-4.0,-3.508906937361172,0.41422184230957204,3,2,256,83,178,0,1
49,0.7049235078646843,-1.297481749459278,-5.0,0.21040786321926683,2,0,256,105,175,234,1
18,0.7041693600517129,-3.5570650800430395,-3.4425708448381984,0.0,3,0,256,57,167,48,1
25,0.701734539969834,-0.9947480723513089,-4.393594499836178,0.6316482853608151,4,1,256,0,219,147,1
32,0.7010881275587157,-1.8493185063042255,-5.0,0.17479897026962093,4,1,162,26,147,59,1
8,0.6990627020038785,-1.6514983376054007,-5.0,0.14338914678861484,3,1,256,1,54,225,0
12,0.6985024779142426,-2.5349419951966112,-4.129599436854457,0.24355008999303254,0,1,256,1,44,0,1
44,0.6953996983408748,-1.4021324426283153,-4.35065082534229,0.574409829535172,3,1,256,220,212,0,1
46,0.6940422322775265,-1.873766950429229,-5.0,0.7,2,0,256,56,122,43,1
3,0.6936328377504848,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.6909502262443439,-1.809255822115536,-2.8339795457809154,0.11901084353766246,4,2,256,0,41,256,1
27,0.6877935789700496,-2.1604791878489853,-1.233653471620363,0.5811209374283061,3,1,256,256,130,0,1
9,0.6865438483085543,-3.4955188296188258,-3.45528301232162,0.1932030602441702,1,3,66,125,35,256,1
43,0.6836134453781513,-1.874820802887954,-4.6170071259627035,0.017572168571007674,0,0,256,62,114,67,1
26,0.6819112260288731,-1.743750860621041,-2.625475509754299,0.36376370894351595,0,0,256,152,160,0,1
34,0.6763520792932558,-0.3,-4.728345416526525,0.692809073429657,3,3,160,0,183,256,1
17,0.676115061409179,-2.0881317650273354,-2.764780588189817,0.5025166815126378,4,1,256,183,168,83,1
1,0.6721719457013575,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
10,0.6699741435035552,-1.2383903770158944,-2.93730989855699,0.3337706438930698,1,0,62,224,166,0,0
15,0.6696940314587373,-4.0,-5.0,0.23788745196675623,0,0,8,147,140,256,1
13,0.644203835380306,-0.3,-3.212829437705036,0.7,4,3,256,90,80,256,1
29,0.642824822236587,-0.7904228981289947,-5.0,0.4037648088262602,0,1,8,42,36,0,1
2,0.6412518853695324,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
35,0.6365115276879982,-3.7340046231594215,-4.306700434922219,0.33040775963518626,3,3,256,183,85,0,1
40,0.6319219995690584,-4.0,-1.010331487274105,0.5247810896132017,0,3,256,0,22,0,1
23,0.6256948933419523,-3.429967460465515,-4.722785094187026,0.5740576124746484,0,3,89,0,221,248,1
16,0.6073798750269339,-0.3,-3.6791429300519534,0.6022368731695702,1,3,256,116,240,0,0
36,0.6025748761042878,-1.0934376471566107,-4.971225489185896,0.46027230719446105,1,2,256,256,12,0,0
45,0.5991704374057315,-1.97120846700272,-2.6643676191356573,0.15330224160461733,3,0,256,197,1,14,1
42,0.5898620986856281,-2.0664130705243675,-4.403002898410625,0.6550395857713708,3,1,256,81,235,57,1
7,0.588655462184874,-1.2940868827225938,-1.4225016027604407,0.555737126039295,4,1,234,256,212,126,0
5,0.5855957767722473,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
41,0.5489226459814694,-4.0,-5.0,0.25600636362254897,3,1,256,29,236,0,0
20,0.5288084464555053,-0.3,-4.351063835811306,0.6893007411771556,4,0,234,221,171,167,1
48,0.5160956690368455,-0.3384357362991124,-1.0,0.0,3,1,256,155,140,0,1
19,0.5038461538461538,-3.3200766968837208,-3.4010846864686735,0.5566798732509504,3,1,9,184,198,76,1
30,0.5,-0.3851903598276496,-1.0,0.29350688212282644,4,2,114,69,205,65,1
22,0.5,-0.3,-4.205617258776844,0.0,4,0,256,188,190,221,1
