trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
1,0.8943128224278383,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
32,0.8907306750757229,-0.9798105408055937,-2.9163975076609043,0.41947364629980644,0,0,256,179,159,256,1
3,0.890260431793978,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
17,0.89005297152262,-2.4870159679988806,-4.61766563409474,0.6673691085069171,2,0,207,49,16,256,1
16,0.8893199452304883,-2.523505412995568,-4.144632463336496,0.7,2,0,241,10,182,105,1
28,0.8879507074395252,-1.8066487172201704,-5.0,0.0,1,0,256,120,256,0,1
47,0.8877709085376816,-0.9604411135248632,-5.0,0.13702855107130454,1,3,256,36,38,111,1
43,0.8877570778529245,-1.22836643146483,-5.0,0.6752977388906077,0,0,8,0,256,256,1
30,0.887314495940694,-2.0555798669674274,-5.0,0.2958112341660934,4,0,157,256,256,0,0
49,0.8872038504626363,-3.112714631654872,-5.0,0.7,0,0,256,0,60,0,0
7,0.8866921151266198,-2.2866133725686417,-4.297018048487684,0.3989544800722818,2,0,190,256,152,0,0
22,0.8863463480076899,-2.043065822060293,-3.27125564789388,0.6920035782310228,1,3,63,210,242,89,0
29,0.8857931206174017,-2.6912505724231113,-5.0,0.3023038991387349,4,0,164,178,117,0,0
50,0.8853782000746857,-0.624002311687009,-5.0,0.7,1,0,211,34,240,122,1
8,0.8851154170642987,-1.7527634608930143,-5.0,0.656962992662796,3,3,8,80,173,52,0
4,0.8844653748807103,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
6,0.8836217031105209,-0.3,-5.0,0.0,4,3,256,0,256,256,1
19,0.8835110576324634,-3.113324678842221,-4.658372433238032,0.22215576449963453,4,2,256,8,249,104,0
12,0.8832067825678049,-1.4195390722914052,-2.952457179207096,0.19173625408080064,3,1,141,138,178,143,1
41,0.8807725820505374,-4.0,-5.0,0.0,4,0,256,242,22,0,0
44,0.8796108045309323,-2.783381249772578,-1.0,0.1822552566816094,3,0,256,256,0,245,1
20,0.879583143161418,-3.1754518172399635,-4.723971521636043,0.0,4,1,256,176,0,256,1
46,0.8793480215205456,-4.0,-5.0,0.44536573894806986,2,0,256,164,158,45,1
33,0.8789607623473438,-1.8773418912668225,-2.1876619984647943,0.7,4,3,256,0,0,77,0
21,0.8762361174501749,-0.8868586841169432,-4.038759678386586,0.4968647389134744,0,2,256,77,0,0,1
31,0.8755169218428004,-4.0,-4.8545342258973365,0.6230126565883225,0,0,256,0,0,256,0
37,0.8754754297885288,-0.3,-5.0,0.7,0,0,256,256,256,93,1
25,0.8751296626695988,-3.4963915894875033,-2.7832710771103826,0.300756199440405,1,0,126,95,219,0,0
23,0.8749636944525122,-2.343124157540883,-5.0,0.7,0,3,256,0,167,256,0
27,0.8729997372169898,-1.4056882066337089,-1.0,0.6484296552300954,0,0,8,256,256,256,1
5,0.8724188484571872,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
15,0.8717688062735987,-4.0,-1.7510490258905667,0.09441158806238087,2,2,256,246,53,72,0
26,0.8703995684826356,-0.7825925765509036,-4.098076651737903,0.0,3,3,127,8,256,256,1
39,0.8691824682240019,-1.7255091720349625,-5.0,0.0,4,1,8,256,239,71,0
18,0.8688505317898289,-4.0,-3.3605246790567342,0.6795543168601303,2,0,8,251,195,113,0
24,0.8663195164792608,-4.0,-4.035059096313533,0.02115175124541766,1,0,8,15,196,118,1
11,0.8588371160256144,-2.645575570086959,-5.0,0.7,3,3,8,0,0,0,1
13,0.8553932755210709,-2.6342416965954563,-2.7564027926475343,0.39289550118562394,3,3,8,8,139,205,0
2,0.8543144821100093,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
42,0.8506770120188651,-4.0,-5.0,0.31333358126350486,3,0,8,256,256,245,1
14,0.8478486369860171,-0.3,-1.5687427991043457,0.053870917884398836,2,2,8,4,57,213,1
36,0.8476895841113095,-0.3,-1.0,0.0,0,0,8,0,256,0,0
48,0.8456979655062722,-4.0,-1.0,0.38507845746064634,4,3,256,159,103,90,1
45,0.8168748184722626,-4.0,-1.0,0.0,4,0,256,150,197,204,0
35,0.8146065861720814,-4.0,-1.0,0.7,0,3,8,256,0,155,0
34,0.8098764919851182,-2.7266485203272635,-1.0,0.35931488500511727,0,1,256,256,0,188,0
38,0.8027398586504018,-4.0,-5.0,0.06719474423927278,1,3,8,0,256,42,0
10,0.7849743440797753,-0.3,-5.0,0.0,4,0,256,0,256,93,0
40,0.7573959586739141,-2.9182686451271627,-1.0,0.7,2,3,8,254,233,118,0
9,0.5,-0.3,-5.0,0.04511521544303299,4,0,8,230,207,207,0
