trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
38,0.8829301688726608,-1.6528642146492394,-1.0,0.0,0,1,80,256,243,1,1
17,0.8793341908357883,-2.937742809202459,-1.0,0.0,1,0,256,0,58,0,1
3,0.8776330166106523,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
28,0.8776053552411379,-2.2595856128792726,-3.6285576653381297,0.6556894388142078,0,2,222,36,230,37,0
16,0.8774117256545372,-2.159008564520039,-3.798570676358416,0.7,4,0,256,0,87,19,1
11,0.8765957152538623,-2.013399907837781,-4.336952636603713,0.7,3,3,79,95,0,0,1
31,0.8750190171915411,-2.1588671785795466,-5.0,0.48105912319002087,0,1,215,0,197,0,1
1,0.8743413136384383,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
43,0.8742859908994095,-2.6964425751971186,-5.0,0.3886169208561598,4,0,244,222,228,0,1
15,0.8742030067908662,-2.3821489632486683,-2.5572062939053657,0.5217596066609401,4,2,216,0,102,100,0
19,0.8740232078890227,-2.0641236908613148,-3.978956015778254,0.5628025627985277,1,2,109,0,62,15,0
33,0.8735806259767922,-3.4640813948318927,-1.8105024457423222,0.0,4,0,256,0,256,0,1
24,0.873234858857862,-2.410953400796351,-3.701102376114272,0.7,2,0,256,0,0,38,0
50,0.8730412292712612,-2.4645041189152534,-5.0,0.1148011759830955,4,0,136,93,256,256,1
46,0.8727507848913599,-1.8855994497702562,-5.0,0.37066088186047946,0,0,256,0,256,116,1
36,0.8723635257181582,-2.7778059170009106,-2.038807102931003,0.4074923599303131,4,0,256,0,11,185,0
41,0.8722528802401008,-2.0265751116981905,-5.0,0.0,0,3,79,39,141,0,1
25,0.8722390495553435,-2.2761775432446463,-1.1825834101408015,0.38236029850261466,0,3,64,93,22,239,1
32,0.8719486051754423,-2.2257811673587566,-2.7579408939329313,0.06350113175922137,0,0,256,22,51,0,1
27,0.8719347744906851,-1.9504871922865186,-5.0,0.0,0,1,218,0,59,126,0
34,0.870980457242438,-2.117228319569872,-5.0,0.5016537908775727,0,2,66,198,56,0,1
30,0.8691686375392444,-1.8029333275510577,-1.804023970560488,0.07420248001167637,0,0,205,0,151,256,1
47,0.8691548068544874,-1.5833794720206291,-1.0,0.5842752962982353,4,3,46,256,54,242,1
22,0.8686015794641994,-1.478072207724681,-1.0,0.0,2,0,256,0,42,7,1
39,0.8651162469053844,-1.7700527641170116,-1.0,0.3948949528994681,4,0,256,256,256,45,1
45,0.8633874113107338,-1.9143792151155603,-1.0,0.7,3,0,104,256,0,256,1
5,0.8621288189978286,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
4,0.8613266392819108,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
12,0.8606627664135651,-3.1636214518121344,-3.4150490358311227,0.35483826849915634,3,3,227,155,0,157,0
35,0.8602893379251206,-2.272083035097779,-2.8264830341307334,0.7,0,1,256,0,225,0,1
44,0.8579242908316392,-4.0,-1.0,0.4863003022739972,2,0,93,189,9,256,1
13,0.8573848941261082,-2.4217239240770803,-1.708494160764372,0.10053414575713127,4,2,125,248,170,200,0
40,0.8556560585314578,-2.0199334393868202,-4.870498861382326,0.6830955382376829,0,1,245,121,4,0,0
14,0.853277180753219,-3.0966038979813106,-1.0,0.47270913438251494,0,1,254,157,29,256,1
29,0.8521430646031284,-2.1973127959942103,-3.2193533918880597,0.3245122923029875,0,1,60,36,163,116,0
8,0.8499232396995975,-1.3168025889451394,-5.0,0.7,0,0,8,132,254,0,1
26,0.8490726525870295,-2.653348559206984,-4.7953347047108394,0.3380315598751198,0,1,148,176,241,20,0
23,0.8470257112429636,-2.608856908128258,-3.7652670502278696,0.7,3,1,101,0,0,62,1
42,0.8438723151183214,-0.3,-1.0,0.7,4,3,8,174,0,0,1
2,0.8341355130492512,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
37,0.8338519840117284,-4.0,-1.3517732351477245,0.6035877045968772,0,2,256,21,78,79,0
49,0.8230986266130036,-1.8162979759280198,-1.0,0.0,4,3,256,0,0,256,0
48,0.8109691160809371,-2.269723753261406,-1.0,0.7,1,3,180,256,256,0,0
20,0.8096413703442458,-3.817734319205003,-1.3407919516717368,0.6978815474859452,4,2,213,53,159,25,0
21,0.8058171860088794,-2.0600140606276947,-1.0,0.7,4,1,256,0,64,23,0
7,0.786004730094187,-4.0,-5.0,0.7,0,3,8,72,256,0,1
6,0.6900405239063385,-0.3,-2.9149576888218585,0.20632817529160238,1,0,80,239,168,182,0
10,0.6327884043538995,-0.3,-1.0,0.0,4,0,256,256,0,53,0
18,0.5427160698726194,-1.1807548520642759,-3.8923664649267176,0.43382158497535184,4,2,152,0,45,98,0
9,0.5,-0.36856497789032705,-2.113586718411785,0.27410993410184187,4,2,109,117,46,256,1
