trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.8831451460291427,-2.4343434539554027,-3.726022059747291,0.0,0,3,254,74,0,184,1
50,0.880485291953153,-3.5110709291744686,-3.5459258915823897,0.0,1,0,256,0,256,205,0
6,0.8795285855463739,-4.0,-5.0,0.0,4,0,256,0,256,256,0
42,0.8792237010870708,-4.0,-3.1066892620288122,0.0,0,3,256,85,8,256,1
13,0.8790239491999412,-2.3079126883593393,-5.0,0.4040374981075672,4,0,211,164,0,256,0
18,0.8782669946802919,-0.3,-5.0,0.5333254460654759,2,0,8,123,27,0,1
30,0.8782669946802918,-4.0,-2.822747880594632,0.11731814164302568,0,0,256,139,0,256,1
23,0.8775310666750773,-2.8876283162600926,-4.582015708158936,0.44195033555436214,2,0,157,56,0,0,1
49,0.8770054038142098,-1.8678146476121147,-5.0,0.0,4,3,8,114,0,0,1
40,0.8766584663260371,-4.0,-2.3225906612407803,0.0,0,0,256,236,200,32,1
24,0.8759540780924746,-2.65419782451798,-2.961582602942511,0.5455600475703982,4,2,108,182,204,104,1
12,0.8754073887171724,-2.7700059058505992,-5.0,0.0,4,0,222,0,256,256,0
25,0.8739355327067433,-1.7159235775505488,-2.6342791422476375,0.334311839094029,1,0,103,80,32,240,1
9,0.8738829664206564,-0.3983330276786483,-4.354615455998892,0.34764884338376284,2,3,35,134,123,256,1
4,0.8735465421897012,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
8,0.8735255156752665,-4.0,-3.851786285666127,0.2841234153994362,2,2,116,206,213,96,0
26,0.8732521709876154,-1.2525922999023993,-3.5537063515363942,0.19464167592828288,3,0,37,83,205,41,1
3,0.8730524191004857,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
47,0.8725162429824009,-1.6507010394202934,-3.3885191767732863,0.25954393056031255,2,3,164,253,35,256,1
27,0.8725162429824008,-0.46117046859993893,-3.8815657040543408,0.3503220941524878,0,3,147,229,14,42,1
10,0.8719537837212726,-0.9474617522827624,-4.303420197790546,0.11321814207372592,3,2,256,244,111,256,1
1,0.8716226161189259,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
48,0.870634369940495,-3.0332692783950606,-3.9380755354988484,0.43382882372159703,3,0,14,22,124,0,0
20,0.8685527450114594,-3.7134658940419234,-4.0144763527916965,0.3439919142439598,2,2,53,225,172,217,0
19,0.8683740196387645,-0.3,-5.0,0.6121264985139633,2,0,8,135,0,0,1
33,0.8681847810088522,-3.6599967339537605,-2.567003468353831,0.5176022909856184,2,0,250,14,84,3,0
43,0.8649572110431254,-0.5450486412943887,-2.7670385794096877,0.6482361231924301,1,3,256,256,256,0,1
16,0.864557707268866,-4.0,-5.0,0.7,1,0,8,125,244,5,1
38,0.8641056372085199,-4.0,-5.0,0.37027229194747385,0,2,256,256,0,41,0
7,0.8631699573161759,-0.3,-5.0,0.0,4,0,8,0,256,0,1
14,0.8617716941062681,-4.0,-2.2072642978512707,0.24548356444535013,4,0,256,33,256,256,0
46,0.8611198721587922,-2.070905560418857,-2.987619709210198,0.0,4,2,256,220,256,92,1
39,0.845686410563721,-2.6233061440296925,-2.9037825150569976,0.6388695250549926,4,0,8,0,0,187,1
5,0.8441830147816397,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
34,0.8440673689522488,-4.0,-3.767340354570434,0.7,0,0,256,256,10,256,1
36,0.8405559410416535,-0.3,-3.090366765557261,0.7,4,0,244,256,0,256,1
37,0.8386740679997478,-4.0,-1.6680473618121092,0.6263543276801838,4,0,100,0,0,0,1
2,0.8338800227086357,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
32,0.8335961647637672,-0.3,-1.0,0.5078679526392285,4,0,36,172,83,247,0
35,0.8326709981286404,-4.0,-3.0903861910139225,0.7,3,3,8,222,0,256,0
28,0.8269465295737926,-4.0,-1.0,0.5492211939387014,4,0,99,85,0,237,0
17,0.8264681763704032,-4.0,-5.0,0.25455027658786206,3,1,55,50,186,165,1
21,0.8255430097352762,-3.2541910205330566,-4.756384316021553,0.5371837258751524,3,3,194,135,26,100,0
44,0.8254694169347547,-2.152069514509657,-1.0,0.6386696825257658,4,0,256,0,256,0,0
22,0.8174372884206986,-0.3,-5.0,0.2234176089348341,2,2,8,123,256,27,1
29,0.8169431653314829,-4.0,-4.273472638928454,0.7,4,0,8,256,0,256,0
31,0.8109085556887236,-4.0,-1.7809630729737385,0.307779199383055,0,3,80,253,62,221,0
45,0.7608286549338716,-0.3,-4.57722422207442,0.7,0,0,256,256,0,256,1
15,0.5,-0.5715057577467908,-1.0,0.7,0,3,8,76,0,256,1
11,0.5,-0.3,-3.605447104460736,0.0485003606655259,1,2,192,97,247,179,0
