trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
18,0.6763089851325146,-2.3871812709398905,-4.722388166074443,0.35416551359015347,4,2,256,167,15,127,1
44,0.6687782805429865,-2.2245867562843697,-5.0,0.0,3,3,256,206,0,186,0
46,0.6685628097392803,-2.275342129547078,-4.728552082436529,0.12009069985870763,2,2,192,252,26,250,1
12,0.6667097608274078,-1.721393227831054,-4.881135118620002,0.3433395068214763,3,3,232,74,31,167,0
38,0.6665373841844431,-1.9760046531699618,-5.0,0.0,1,2,42,0,20,147,1
17,0.6611290670114199,-1.317073955248305,-5.0,0.38904415340274734,1,3,256,7,19,72,0
47,0.6600517129928894,-2.078453700924846,-3.3806607379733187,0.14222759177452127,2,3,203,150,122,35,1
37,0.6571428571428571,-2.656392781937715,-4.765776048974466,0.34511911144480445,1,2,191,84,29,87,1
42,0.6549666020254256,-2.4012222009042317,-3.859690861630636,0.0,4,3,8,205,31,172,1
50,0.6540831717302306,-1.9253850211628443,-3.2197744321275943,0.09074222224133074,2,3,256,238,155,169,0
6,0.6540400775694893,-0.3,-2.6109985004573337,0.0,4,1,211,95,221,139,1
43,0.6484378366731309,-3.7279848298465086,-1.0,0.0,1,3,8,208,174,217,1
40,0.6482870071105364,-2.115090613046526,-4.99943630015687,0.08253580274149212,1,1,214,135,24,0,1
39,0.6480715363068303,-2.399307928226415,-5.0,0.24945104277516164,4,3,181,191,27,216,0
10,0.6470157293686705,-2.5148285435655544,-2.7039422567899747,0.280435231216149,0,3,256,135,19,37,1
34,0.646714070243482,-3.9103914024984436,-1.0,0.0,1,3,79,57,109,137,1
33,0.6445809092867917,-2.0335168485289037,-5.0,0.3429796978066224,1,3,158,21,0,157,1
22,0.6426201249730661,-2.25373673130237,-1.1713740476746404,0.0,1,1,256,60,49,48,1
49,0.6418228829993535,-2.03798171333102,-5.0,0.0,0,3,195,246,24,33,1
20,0.6385261797026502,-2.0158111410516693,-3.8081970998821104,0.3451632321519761,3,2,256,228,32,91,1
15,0.6316526610644257,-2.589788171552618,-5.0,0.2781155250291599,3,3,256,73,66,182,0
25,0.6260719672484378,-2.2149454007328675,-5.0,0.39621811058915785,3,2,245,85,0,115,0
24,0.625231631113984,-2.093394695944035,-5.0,0.34991987645946754,3,1,242,0,196,141,1
30,0.6225813402283991,-2.6146995692878265,-4.639530804493505,0.36043242737411785,3,3,256,166,118,118,1
28,0.6170868347338935,-2.6347188004498623,-5.0,0.29507805012005967,0,1,146,206,2,227,1
21,0.6112260288730876,-0.3,-5.0,0.37127969119591975,2,1,11,34,158,107,0
29,0.6057099762982117,-1.5808308903141817,-3.0269471061676345,0.34451574251203676,3,0,117,0,0,241,0
4,0.6007972419737125,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
45,0.6000215470803706,-2.3784480680829034,-5.0,0.0,0,1,224,146,0,53,0
32,0.5998168498168499,-1.5538867807745063,-5.0,0.5675813889578241,3,2,231,95,0,83,0
7,0.5975544063779358,-0.3,-2.5471058850255375,0.0,4,3,8,190,256,182,0
9,0.5974143503555268,-1.8168003459228483,-3.7409911387433694,0.0,3,0,186,25,203,208,1
48,0.5915750915750916,-2.562297024117047,-1.8028009643012242,0.0,1,2,57,53,101,78,1
16,0.5883968972204267,-1.0357010280515762,-1.2968647229753598,0.39303527905249286,1,3,256,51,128,240,1
5,0.5849385908209438,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.5842059900883431,-1.8551695105224324,-2.1151362211555798,0.3467243379074347,2,3,8,243,141,12,1
3,0.5827192415427709,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
31,0.5797026502908855,-2.0275641713408765,-5.0,0.21691393172753476,3,1,232,60,94,73,0
41,0.5792501616031028,-2.099435364183792,-4.623831881069177,0.44864739231853623,3,3,126,0,18,178,1
11,0.5765783236371471,-0.3,-1.3860008099978702,0.11876765856191682,2,1,117,240,190,203,1
23,0.5760180995475114,-4.0,-5.0,0.36702429624105165,3,3,256,5,112,127,0
1,0.5700495582848524,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
14,0.5672699849170437,-3.6760446701051555,-1.1460081602644445,0.3520832421274739,4,2,256,109,21,180,0
2,0.5283775048480931,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
27,0.5278926955397544,-0.3446164218519816,-5.0,0.3378389720890429,1,2,256,175,0,53,1
8,0.5,-0.3,-5.0,0.7,4,2,256,0,256,256,1
19,0.5,-0.6825022981276434,-4.105785747599007,0.14924881746628155,3,2,243,196,0,140,0
26,0.5,-1.5510142699094458,-1.4437587541374168,0.5510886112529915,3,2,245,227,38,216,1
36,0.5,-0.3,-1.0,0.0,2,3,256,41,91,161,1
35,0.4931049342814049,-3.8178451248710163,-1.0,0.12579870462654008,4,3,256,97,0,97,1
