trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
50,0.8249865150823616,-2.481742668341937,-3.1879599019498883,0.19631289470819677,0,0,159,9,96,91,1
18,0.819537225288024,-3.6245180920643456,-4.707979859810461,0.12120452258970042,1,0,186,0,133,88,1
31,0.8188456910501638,-3.66126830257259,-5.0,0.09903697004174106,2,0,202,0,66,256,1
47,0.818430770507448,-3.6924373495829714,-4.458315608862399,0.07271687841965464,2,0,168,71,157,151,1
17,0.8174626225744437,-3.3495204294429337,-1.8406816513176856,0.26684435703984494,1,0,113,0,178,217,1
41,0.8172966543573572,-2.234450947074283,-1.0,0.3276824490126659,2,1,190,6,204,63,1
33,0.8172828236726001,-3.4705791784034146,-2.682637826207266,0.32265196030550947,1,2,120,116,83,162,1
35,0.816743426967069,-2.845080552568331,-5.0,0.0,3,1,169,99,149,237,1
32,0.815775279034065,-3.5137320895111595,-2.9704751819294977,0.0,0,0,135,109,137,230,1
13,0.8140049513851431,-2.6339225458823785,-3.8143906576014985,0.4219270026389136,2,0,101,84,218,256,1
43,0.813935797961357,-3.8844337828138857,-1.4461841692896886,0.17487096486872292,4,2,160,40,89,71,1
12,0.8138804752223283,-3.449150731396956,-1.0,0.17729294007104945,4,2,67,229,114,227,1
15,0.8129538193435956,-1.9610233895873792,-2.072063737747007,0.24522191329851495,1,1,247,12,229,134,1
22,0.8124144226380648,-2.2204686628164447,-3.6008856628825328,0.46070857957315536,4,3,128,0,80,246,1
3,0.8121101475734064,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
44,0.8119580100410773,-2.590604729119744,-1.5169676821099447,0.568055092880184,2,0,160,148,203,240,1
6,0.8119026873020483,-0.3,-5.0,0.49996770657440653,2,3,55,4,256,42,1
49,0.811750549769719,-3.9662304667998236,-2.8139987879694046,0.19426604467785627,2,2,72,75,11,200,1
45,0.8097312697951676,-1.522692853650276,-3.793525406234478,0.4712456060667387,2,2,128,166,117,93,1
30,0.8093025185676941,-4.0,-1.080688098536513,0.6536270968646495,1,2,97,78,88,188,1
48,0.8083620320042046,-2.1157507289495125,-1.0,0.0,2,1,192,116,187,139,1
26,0.8083482013194474,-0.829960416117054,-3.268175645284922,0.6611757782809924,4,1,103,256,202,256,1
42,0.808320539949933,-3.0472277581496807,-1.0,0.13232914355112732,0,2,105,148,83,240,1
24,0.8077396511901302,-4.0,-4.006552446439007,0.15126345102282673,0,2,255,0,1,125,1
21,0.8075460216035296,-0.3,-3.293037140225678,0.34852892718029815,0,1,19,0,125,95,1
28,0.8066885191485831,-1.492474418860961,-5.0,0.25505439345382863,2,1,159,225,183,127,1
38,0.8060937997040234,-3.7085754433796883,-1.0,0.49980022206026914,4,0,132,213,50,256,1
16,0.805512910944221,-0.39259708938670146,-5.0,0.5830017226634728,4,3,101,7,232,188,1
37,0.8043787947941302,-0.3,-5.0,0.48388537280154315,0,0,144,103,217,256,1
25,0.8023456841348214,-4.0,-1.0,0.35458691629191447,0,0,130,180,221,256,1
1,0.7999114836175538,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
34,0.7976017592631012,-3.766695921683515,-5.0,0.34668699072963594,3,2,84,254,183,193,1
10,0.7973942989917431,-1.4574973341134583,-1.7987676210540227,0.54647833112802,2,0,201,182,256,102,1
23,0.7947733842302532,-0.3,-1.8354667398836022,0.140315819976125,2,3,30,256,229,220,1
29,0.7939227971176854,-0.46460397857539615,-2.4105592336499386,0.4043977122798366,0,1,68,27,131,124,1
4,0.7926227127505083,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
7,0.7853062805139482,-3.3226571591470595,-5.0,0.2292649509613865,4,1,238,147,177,186,1
5,0.784891359971232,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
46,0.7774850282837503,-2.4849433858999994,-4.83648528395764,0.6896069682001529,2,1,209,87,95,68,1
19,0.7771738378767132,-0.6219442743625994,-1.79067017581032,0.6163577845431358,2,3,103,256,0,46,0
36,0.7695116385212231,-2.6460098209382465,-1.4532534373565809,0.38172220674108165,0,0,256,39,0,256,0
20,0.7692350248260791,-4.0,-1.9440538745676088,0.11056862618313504,3,1,8,7,206,1,1
9,0.7662614276032806,-3.4159530288199456,-5.0,0.7,4,3,111,0,110,179,0
27,0.764643237486688,-3.7304635268486575,-1.7656565992205837,0.5967213688218516,3,3,176,0,195,221,1
2,0.7613377038297165,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
11,0.7597748364521527,-0.3,-1.0,0.18154974369548155,0,0,182,161,256,1,0
40,0.7590003181057494,-2.520537337412712,-5.0,0.6368547635734215,0,1,54,98,186,235,1
8,0.7502731560239546,-3.3010393836761653,-1.0,0.4883708688877394,3,1,149,203,256,189,0
39,0.7495677911013374,-4.0,-3.3205913835068417,0.4543226596893067,2,1,121,15,256,256,1
14,0.7486826272768765,-3.239712067998884,-1.2174421717085835,0.029103350654825083,4,2,8,239,188,135,1
