trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
43,0.8202702515801558,-3.474298631439461,-4.09589476683784,0.0,4,2,256,164,0,47,1
47,0.8175732680525012,-2.8390648594300103,-3.7146812805614693,0.0,4,2,62,180,181,3,1
37,0.8173934691506577,-2.3686435789333062,-5.0,0.3246707219647624,4,2,242,161,40,120,1
40,0.8165636280652254,-2.9676609015275774,-3.1576096182301034,0.7,1,0,8,215,256,5,1
19,0.8132995864625258,-1.4446397433685898,-3.630264281944057,0.033318012444606526,4,3,212,182,27,0,1
20,0.8132719250930114,-1.683731934719869,-2.9138960633522326,0.029718026568485528,3,3,222,3,256,256,1
26,0.8127325283874804,-1.9437810532171906,-3.46016661831109,0.7,4,0,256,0,256,0,0
49,0.8123037771600071,-2.620871448368389,-3.0681467100784765,0.13823151339119039,2,3,86,37,197,0,1
16,0.8122622851057354,-1.3051011938780266,-2.946840402657112,0.032474012220578816,1,2,40,0,256,102,0
17,0.8119372640139413,-0.3,-3.9443377663077555,0.0,4,3,123,0,256,61,0
13,0.8115430894983611,-1.5859092114372304,-5.0,0.7,0,0,256,0,202,0,1
30,0.8111696610099166,-1.7571399234405267,-4.380427436082838,0.7,4,3,186,256,0,0,1
3,0.8095238095238094,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
25,0.8093301799372088,-3.849610542215586,-3.379775040507967,0.6878019198936837,3,0,193,0,0,0,1
39,0.8091918730896366,-3.3537621075321753,-1.0,0.5514577825332755,3,2,254,256,0,6,1
21,0.8089982435030358,-0.3,-4.771317704245672,0.7,4,0,256,256,0,0,1
46,0.8083482013194474,-2.0648091432949793,-1.0,0.12194330591870593,2,2,8,130,103,13,1
31,0.8082513865261469,-0.3,-5.0,0.31412244913543647,2,0,8,145,256,163,1
36,0.807850296668188,-0.6036783593301185,-3.9268994080990316,0.0,0,1,223,256,256,247,0
27,0.8058310166936364,-1.9680158131739494,-2.6562433692719774,0.1569899729646428,1,3,140,256,168,256,0
11,0.8052224665643196,-0.3,-5.0,0.0,4,3,8,0,256,0,0
44,0.8033691548068544,-1.7579105332111062,-4.760605342346925,0.0,3,3,256,124,256,184,0
4,0.8030787104269532,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
24,0.8009211236048297,-3.7068272680790617,-4.351662048959417,0.3014776970187134,2,0,215,256,256,256,0
9,0.8008796315505581,-3.4100799561269013,-5.0,0.0,4,2,8,0,189,0,0
48,0.7991507959559077,-3.319508346899589,-3.035068245082737,0.7,4,0,130,150,45,111,1
50,0.7964953044825249,-0.3,-2.221693334621364,0.591654961030618,3,1,93,67,194,0,1
32,0.7963569976349529,-0.3,-4.104839890173089,0.7,4,0,243,250,0,0,1
6,0.7961080453093232,-0.7863557290297551,-3.500995347191342,0.6996627132531136,1,0,244,207,75,254,1
29,0.7960665532550515,-4.0,-3.8422921650567394,0.7,4,0,178,152,113,0,1
5,0.7938674743786566,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
14,0.7937153368463273,-0.3,-4.169863866228287,0.7,0,0,246,0,225,58,1
35,0.7919726705669198,-2.4981246672176356,-1.961053820587059,0.0,0,1,219,0,33,205,0
1,0.7918481944041049,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
42,0.7892341949849937,-0.9196758081283609,-1.3405832219787017,0.7,0,3,31,30,256,83,1
15,0.7889437506050925,-2.5859384250546698,-5.0,0.6532079607851612,2,0,56,0,0,255,0
38,0.7829550641052239,-1.9044534187203568,-1.0,0.313660727453954,0,2,256,1,0,256,1
34,0.780908122761158,-2.026209449415348,-1.660270590973464,0.07227409847429343,0,2,8,7,256,0,0
28,0.7805070329031991,-3.593314021339757,-4.674047891159671,0.3998494168401763,4,3,67,0,256,119,1
18,0.7757216159772071,-3.878663133636994,-1.5627525240775126,0.008335709694003355,3,0,8,84,2,0,1
22,0.7693180089346223,-0.3,-5.0,0.6241160097017585,4,0,8,256,0,0,1
2,0.7641453328354287,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
23,0.7629005712072805,-3.5962936338120075,-4.2162507180063455,0.22556291940715154,1,3,191,0,0,0,0
45,0.7615728254705891,-4.0,-2.1500297125625036,0.6127549981294296,0,2,92,91,168,240,1
7,0.7591386249533214,-4.0,-1.0,0.0,2,0,256,0,28,256,0
41,0.7559990595134365,-4.0,-3.8075537997647686,0.39279073571018935,3,1,154,180,120,56,1
12,0.7537584885827697,-4.0,-5.0,0.7,0,0,256,256,256,256,1
10,0.747977262354259,-0.3,-5.0,0.0,0,0,256,256,0,256,0
33,0.5653223241082667,-0.3,-3.1645601312624443,0.09500178796758385,4,2,151,210,256,123,0
8,0.5,-0.3,-1.0,0.4544286952258824,2,2,94,136,234,253,1
