trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
39,0.6281418439716311,-4.0,-2.2138308080853903,0.0,1,1,235,22,256,100,1
45,0.6213617021276596,-4.0,-2.541585527804599,0.0,3,0,256,229,256,104,1
31,0.618354609929078,-3.700598917804311,-2.9068335612608434,0.0,0,2,186,193,192,256,1
14,0.6134751773049645,-2.9664752705640383,-2.920992938472918,0.011242235698546545,2,0,104,182,163,256,1
35,0.6124822695035461,-4.0,-2.4596054746974088,0.0885699995558247,2,0,98,5,189,0,1
29,0.6121985815602836,-3.544300990165633,-2.9273160211795566,0.0,4,2,89,71,229,256,1
49,0.611177304964539,-4.0,-2.1885402619133014,0.12335783390457433,2,3,247,0,42,21,1
6,0.6097304964539006,-3.5660592209798,-2.576994700203781,0.1137387058810676,3,0,185,0,256,203,1
38,0.6087943262411347,-4.0,-3.0603798813054643,0.008535772990644246,3,2,256,201,192,191,1
32,0.6083404255319149,-4.0,-3.932202075971752,0.0,1,2,224,229,201,0,0
43,0.6073191489361702,-2.990969814411181,-2.471653790029901,0.0,0,1,256,56,30,241,1
48,0.6063829787234042,-4.0,-2.2330724345097908,0.032412144314276935,2,0,256,33,215,238,1
22,0.6063262411347518,-2.261353035322731,-4.040628834065915,0.0,1,3,256,70,27,236,0
17,0.6011914893617022,-3.8887012283787894,-4.150000010760805,0.0,3,0,120,112,0,102,0
19,0.6000567375886525,-0.7915339067510696,-3.844458731615539,0.0,4,1,8,16,97,203,1
37,0.5986241134751773,-4.0,-2.435335145993822,0.05553632632389726,1,3,209,11,17,256,1
4,0.5966524822695035,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
24,0.5949503546099291,-1.0699676362750874,-3.0107134947859477,0.0,1,3,8,129,225,252,0
40,0.5935886524822694,-4.0,-1.9768820246921779,0.0032906463334655437,1,1,147,20,56,31,1
8,0.5933617021276596,-3.234384880396613,-1.0,0.4845382537121274,3,0,37,256,237,55,1
30,0.5916028368794326,-1.8725895014971417,-3.4786691887262995,0.0,3,2,100,121,129,256,1
27,0.5894468085106384,-3.7133612528010636,-3.1503636648276014,0.09696332116571287,2,2,182,72,0,256,1
2,0.5876028368794326,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
42,0.5856737588652482,-2.066498948656208,-2.191251514918154,0.1082193942396783,1,1,256,30,154,51,0
18,0.5853900709219858,-1.8984446115613256,-2.7075190195408405,0.0,3,1,256,239,45,159,0
23,0.5852198581560284,-1.0231527087849583,-3.5113368923784174,0.7,2,3,256,87,42,50,0
44,0.5846524822695035,-0.3596841849451078,-2.20564062527403,0.0,0,1,244,132,217,77,1
36,0.58354609929078,-4.0,-2.5088073390412466,0.16904477882483698,0,2,217,17,50,0,0
5,0.5829787234042554,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
21,0.5810212765957447,-3.964627334570872,-2.0750457317056035,0.7,4,2,256,187,77,13,0
11,0.5803120567375888,-3.4879050836948826,-1.3301091910315876,0.3386702774849801,2,0,114,113,246,242,0
34,0.5750354609929078,-4.0,-2.7677857549950597,0.06432641283561878,0,3,50,237,73,256,1
12,0.5633758865248227,-3.420677575665327,-4.262891381544221,0.03494606783864184,2,1,208,161,237,77,1
13,0.5629219858156029,-3.6571186094709556,-2.8812064989797737,0.17547467042289447,3,3,74,211,110,123,0
25,0.5604113475177305,-2.90636817724989,-1.0,0.0,3,2,256,42,190,245,0
20,0.556822695035461,-2.2788465556484336,-2.0972768735516127,0.7,4,0,256,209,10,245,1
26,0.5553758865248227,-1.4389934318446604,-1.0,0.0,3,0,10,129,33,110,1
7,0.5538723404255319,-0.5696639666512309,-2.8351306601186113,0.19085300000409308,2,1,210,256,185,205,1
41,0.5492482269503546,-4.0,-2.4264173974590326,0.0,4,3,202,131,256,60,0
33,0.5288936170212766,-4.0,-3.6528063841006686,0.109333206918411,0,1,203,45,199,0,0
50,0.5160992907801418,-0.3,-5.0,0.2900030536191086,1,2,150,138,19,228,1
3,0.5148936170212766,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
47,0.5118297872340425,-4.0,-1.6069200641199286,0.4615565781295971,2,3,70,205,35,140,1
46,0.5113191489361701,-4.0,-1.3554269464255055,0.10787847127249292,4,1,137,116,256,9,1
1,0.5072056737588653,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
9,0.5037163120567376,-4.0,-1.0,0.0,4,3,8,0,0,0,1
10,0.5,-1.1480016022313184,-2.6243901279513677,0.5990592981167852,0,2,184,62,255,162,0
28,0.5,-0.36442799288568706,-2.076007992252511,0.2040202622540703,2,0,201,27,256,256,0
15,0.48987234042553196,-4.0,-1.0,0.7,0,0,92,38,59,170,1
16,0.4672624113475178,-3.0625300650707272,-1.2345425680526994,0.12601154304917495,1,1,46,256,78,153,0
