trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
16,0.9364053070922433,-2.263264063120914,-1.0,0.12479796158873503,3,0,217,0,247,244,1
3,0.9332933829559075,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
12,0.9332460732984293,-1.1639601477379098,-3.4403920333952414,0.612665946663262,1,0,49,232,155,248,0
4,0.9321894909480857,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
48,0.9312327845413065,-1.9757161445511837,-4.791105113908795,0.5677652817738822,3,0,29,41,72,134,1
40,0.9308017409953951,-0.3112445557529808,-2.6129936661925584,0.49510326544508704,3,1,98,256,245,49,0
27,0.9307071216804391,-2.1111034246677463,-5.0,0.46817741125294593,1,0,8,90,256,100,0
45,0.9306545553943523,-1.5521565178549146,-1.1035191153920954,0.7,3,1,9,89,201,13,1
17,0.9302129985912235,-1.263597789661632,-2.654519963633538,0.013139934969219023,3,0,71,0,162,22,0
25,0.9297399020164427,-0.4936699584751958,-4.814204616140534,0.18677231098773872,3,3,256,9,183,255,1
33,0.9293719380138354,-3.257596315551895,-3.307486990314222,0.18580027297240473,1,0,8,129,124,207,0
50,0.9282470194915788,-3.235631997508036,-4.39421414140654,0.42561819664011813,0,2,252,120,64,14,1
36,0.9274059589141908,-4.0,-5.0,0.3879733696218527,4,0,8,256,256,0,0
19,0.9272377467987132,-3.1329501501829307,-1.2602536947925707,0.0,3,3,227,58,18,73,1
22,0.9267331104522804,-0.7786866636984322,-5.0,0.6990507211048291,0,1,8,124,25,244,0
24,0.9259235896465443,-2.0378992135124836,-4.028580529179312,0.33438345223289856,0,0,8,177,167,251,1
20,0.925734351016632,-1.9193707533004432,-2.023784700117003,0.5253154559980674,2,1,36,0,176,164,1
41,0.9254347231859376,-1.8599262121058615,-5.0,0.7,4,0,8,256,132,256,0
23,0.9243150612922896,-1.7704980047642067,-4.8994881155063235,0.15803911029976592,4,3,8,65,213,209,0
13,0.9239996635757691,-0.3,-5.0,0.5125694205854602,3,1,8,232,7,90,0
28,0.9236316995731619,-3.797264838790134,-1.0,0.19929187653615882,4,0,168,51,256,239,1
15,0.9231638596269897,-0.3,-1.0,0.03346971617330392,2,3,77,0,174,77,1
38,0.9231165499695115,-0.3,-5.0,0.36995604361042467,3,3,43,57,256,198,1
10,0.923095523455077,-2.0273739805064293,-3.461749323353593,0.2752509783686396,1,3,181,251,1,168,1
1,0.9225488340797747,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
37,0.9224121617359491,-4.0,-5.0,0.0,4,1,256,256,256,256,1
7,0.9221177905338632,-0.597232134194043,-2.461668144431028,0.19888848435719467,4,3,231,128,256,213,0
34,0.9220441977333418,-3.819587698535125,-4.629557907169797,0.5951467671801545,2,2,8,164,209,45,1
11,0.9218549591034294,-4.0,-3.790135248207474,0.7,4,0,256,125,98,199,1
44,0.9216657204735172,-2.2904977560221385,-5.0,0.6810330250973049,4,3,101,189,235,116,1
43,0.9215500746441262,-2.0627063420261615,-3.5731479122112813,0.254116844731821,0,1,47,247,239,144,0
47,0.9211190310982148,-2.4264313778206814,-5.0,0.22661159779205914,0,1,10,240,24,156,1
5,0.920971845497172,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
30,0.920824659896129,-3.747859701440327,-1.4489767110549656,0.5223364370649914,4,0,120,9,50,256,1
29,0.920551315208478,-3.7456465043590854,-4.210434711836567,0.0,4,3,256,115,201,256,0
18,0.920519775436826,-0.3,-3.9755096782487875,0.7,4,2,200,22,231,215,1
14,0.9204672091507391,-3.109284560714483,-5.0,0.20220450808842583,2,0,178,93,226,256,1
6,0.9199625728043062,-0.5204487303766552,-2.3777363469840944,0.5912864373757715,1,3,82,255,1,224,0
21,0.9192792110851784,-2.3949275445507863,-1.9137537374318376,0.7,3,3,8,227,212,190,0
46,0.9185432830799639,-1.5142502880199995,-4.8695557153007085,0.10605834345945556,2,2,256,256,92,101,1
42,0.917712735759793,-1.925791163330823,-5.0,0.0,4,0,8,0,256,0,0
2,0.9170714270695346,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
26,0.9114152946865998,-3.387260867634916,-1.9735476063609547,0.0,1,0,168,117,234,54,1
31,0.9011964086713347,-2.670099172060916,-2.38914766485201,0.0,4,0,8,118,179,256,1
49,0.8804327256670662,-3.1148579143685353,-1.0,0.7,0,3,8,0,0,0,1
32,0.8533873714754305,-1.6511701021187148,-1.0163613130871645,0.2746435022553161,0,0,61,19,41,256,0
9,0.8513740827183078,-3.9866960331617634,-3.6525520738203685,0.5612354931191057,3,1,254,194,6,241,0
8,0.84874576841397,-2.7293405398090296,-1.0002893497851146,0.5696080442959179,3,1,187,50,145,123,0
39,0.5,-0.3,-1.0,0.5225152410204243,3,0,256,130,121,63,1
35,0.5,-0.3,-3.221601236571369,0.5523757020413512,1,2,52,188,52,231,0
