trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.8806219642969785,-1.5237672085539402,-3.793277643537868,0.3533737897797681,4,1,69,145,96,256,1
47,0.8771841291869047,-1.884274428902041,-2.900795790515521,0.3942289446992988,4,1,148,199,136,0,1
13,0.8769212977564711,-1.2517088070337747,-3.6261473410453027,0.2759059026552531,1,1,52,187,12,251,0
10,0.8768371916987321,-2.0493533062044875,-3.9359146776277294,0.5828479635726137,4,0,33,199,10,182,1
25,0.8767215458693414,-1.9032300380696494,-3.6625263832722146,0.6589971376697717,2,0,17,86,256,0,1
32,0.8759645913496918,-1.67107146630187,-3.5723487787212154,0.1396459909732359,4,2,82,248,49,256,0
4,0.8758699720347359,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
24,0.875607140604302,-1.7400479989420155,-3.079571394294467,0.7,0,0,8,256,0,256,0
20,0.8753232826594336,-1.4214232310663975,-2.981227106275271,0.2578531854835206,4,3,94,156,179,119,1
33,0.8751340440295212,-1.8004852243253593,-2.3657281212424506,0.355471244477485,4,1,192,147,25,0,1
18,0.8750183982001305,-3.2627748349855343,-2.592429226211588,0.08877736649836543,4,2,151,175,115,35,0
6,0.8743034967093505,-1.5602281263041755,-4.54417339187783,0.6510136033399897,1,3,32,0,158,57,1
49,0.8742509304232637,-2.20779770379095,-3.6200534412154366,0.3086168235549277,4,1,29,194,89,177,1
12,0.8741457978510903,-0.8281633842023903,-2.9451377891438084,0.0691438484452581,4,1,256,202,0,188,0
42,0.8732521709876154,-1.4416439750900394,-3.2540017631141978,0.34082579852322614,3,0,152,24,232,256,0
34,0.8730629323577029,-0.3,-5.0,0.031216658558726157,2,1,212,58,77,256,1
39,0.8729893395571815,-1.6877213926030605,-3.6278706167766006,0.13612509740013967,0,2,208,126,155,214,0
21,0.8729052334994427,-1.0372056730792556,-3.0530535098093905,0.4133452689640027,3,3,178,183,159,119,0
3,0.8725898357829223,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
27,0.8725057297251834,-2.1451565341125542,-4.875181806902586,0.6940423017042279,1,3,242,45,213,82,1
16,0.8711705460585798,-1.3839493548551958,-3.1118902696530553,0.5085117283475021,2,3,43,234,0,75,1
43,0.8689417355285014,-0.7334901806684524,-5.0,0.04512053162649277,0,0,49,229,0,99,1
50,0.868899682499632,-4.0,-1.0,0.003597640226375616,4,3,147,75,226,185,1
1,0.868268887066591,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.8667549780272924,-2.1228341595457128,-3.035571998666429,0.04168459472314725,4,1,54,52,218,256,1
35,0.8652305557307765,-1.1513172764696051,-5.0,0.17794628458856648,4,1,164,91,86,256,1
40,0.8630122584579153,-1.3458446881227633,-4.22285110300341,0.049387171920021455,4,3,81,77,79,140,0
8,0.8581341071090645,-3.7339450143833823,-5.0,0.23530998473929937,3,2,81,256,5,192,0
22,0.85739817910385,-0.3,-1.9389802413033155,0.4063594025705588,1,1,129,200,56,210,0
28,0.8562732605815934,-0.981119881258441,-2.3350676221771334,0.28126275398656586,4,0,227,93,169,256,0
37,0.8560104291511597,-2.3395699237740373,-4.333583642707699,0.019101138168890173,2,1,212,203,244,238,0
38,0.8557055446918563,-1.8523438614381358,-4.35358172307842,0.3490243144728017,3,1,235,43,62,248,0
7,0.8543283079963835,-0.3,-2.3218056325625733,0.6703205092734701,3,3,246,0,128,199,1
48,0.8488509009861436,-2.1542463911403478,-4.226714741905853,0.42125205350428385,0,0,256,256,7,65,1
31,0.8427742383145146,-3.704102273748001,-1.8493513827240151,0.2918677274772946,3,3,150,12,251,0,0
46,0.8417754788788662,-1.2273709307894198,-2.1352177976239526,0.507710829790167,0,1,8,53,11,108,1
19,0.833354359847768,-3.807631916337856,-4.3830068049597335,0.5480961932905777,2,3,136,190,16,256,1
15,0.8302319224542147,-0.9014056542796784,-1.0,0.21666252447972356,1,0,8,127,107,232,1
2,0.8296011270211737,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
41,0.8269938392312706,-1.571633181454581,-5.0,0.61079580242872,3,1,82,234,27,92,0
5,0.8245863033284972,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
45,0.8243234718980634,-3.2453964224227425,-1.587448152534177,0.6950927009796773,4,0,108,133,149,251,0
11,0.8201391955255578,-2.9701307100666776,-3.9019356279970205,0.6801153609188916,2,1,19,42,246,82,0
36,0.8141992051977542,-2.7731618959356625,-2.5370689886844544,0.6640087919639588,0,1,242,55,0,250,0
26,0.8124224647280219,-4.0,-3.785763562496286,0.0,4,3,8,256,104,256,0
17,0.8114552450640258,-2.9357425618109207,-5.0,0.6839567618261356,1,3,15,151,112,36,0
29,0.7982190542273807,-0.5728082977006417,-3.582823328256491,0.48914332827261264,0,3,48,256,96,180,0
14,0.7867385773460334,-0.3,-1.3484348793537495,0.6741913752513566,0,1,63,256,49,256,0
9,0.7686873147038416,-0.35572866121709934,-3.7672768169695736,0.18136246502833261,0,0,221,0,6,193,0
23,0.7086934123930276,-0.42488806752595565,-1.0,0.4069468972182792,3,2,88,206,245,43,0
