trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
20,0.8586019943847419,-3.3641115887034876,-1.0,0.0,0,3,34,175,256,17,1
11,0.856624206464462,-4.0,-1.0966289319387803,3.8857805861880476e-17,4,0,256,153,256,256,1
50,0.8511610859853672,-2.946286947921287,-3.3697559234219154,0.14089975140712724,4,0,83,153,0,114,1
41,0.8472884942533503,-2.8438883923512455,-4.195451961881474,0.18469325090760025,4,0,92,15,51,244,0
17,0.8469980498734492,-3.029434678248531,-5.0,0.0,4,1,183,66,83,169,1
12,0.8464309917984039,-2.283661533802756,-4.196017738769668,0.06347659402441458,4,0,20,74,1,39,1
23,0.846223531527046,-4.0,-1.0,0.0,3,1,17,256,77,32,1
29,0.8460575633099594,-1.8797523790932797,-5.0,0.6275826224994693,4,2,156,96,132,177,1
13,0.84417659018298,-0.9296965021365771,-4.459489271266079,0.6714037593760195,0,3,210,145,3,19,0
3,0.8433605797823049,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
44,0.8433190877280334,-3.6619950902146354,-4.010810199470763,0.052853429899907475,0,0,256,161,254,77,0
37,0.8426413841749304,-1.6116108327320333,-5.0,0.023217485452328105,0,1,175,25,256,39,1
40,0.8412029929601814,-1.1728604882926903,-3.6323856325986554,0.6107375502815985,4,3,256,3,205,191,1
22,0.8401795222881485,-4.0,-3.4904215265101985,0.0,2,3,50,139,256,84,1
46,0.8399720620167905,-0.561755552074704,-4.896092925966843,0.09328442601180198,2,0,256,188,256,256,1
48,0.8397369403759181,-2.6213538240399497,-2.7143749770765386,0.5018150344672297,3,0,154,216,92,256,1
8,0.838575162856313,-2.724770571588664,-5.0,0.421420372313476,0,0,25,0,256,256,1
6,0.8383953639544696,-0.714201718459464,-5.0,0.12010745368308608,4,3,256,28,231,1,1
28,0.8377868138251525,-2.516556886938222,-2.1231589449966335,0.5431749167614904,4,0,174,130,0,136,1
4,0.8336376083979918,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
16,0.8321024023899424,-4.0,-4.82776927114301,0.7,4,0,195,160,247,15,1
27,0.8318949421185844,-0.8906526218080542,-5.0,0.06829301251604304,4,2,210,7,28,102,1
9,0.8303320747410204,-4.0,-1.0,0.015324894619478493,0,0,8,58,0,224,1
30,0.8297926780354895,-2.296987355663993,-1.5281547923049836,0.6898057936407956,1,0,85,108,122,31,1
1,0.8276904139523948,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
35,0.8262520227376458,-2.47465380061285,-3.450692207703839,0.0,4,1,84,37,256,52,0
43,0.8226422140160159,-2.061654614948753,-1.2243272990052159,0.6220078667269036,3,2,199,106,202,0,1
33,0.819917569118847,-0.3,-2.220327852544026,0.5140381706505686,0,3,8,256,78,0,1
42,0.8098903226698754,-0.3,-2.595858144652281,0.19547777677127576,0,3,182,16,15,65,1
15,0.8078018892715377,-1.5470196225058768,-1.2046130194731428,0.6849334347914695,4,1,116,218,254,9,1
34,0.807608259684937,-2.14622437603758,-5.0,0.4863134053688479,0,1,241,253,92,169,0
49,0.8075805983154225,-0.42798233434377764,-3.285657161985232,0.6271107247095619,0,3,256,98,138,24,1
19,0.8023318534500643,-1.195061371514992,-5.0,0.0,0,2,222,131,0,144,0
47,0.8004577956654634,-3.049031195849734,-4.879683809656718,0.2104672878504367,2,3,8,8,29,41,1
39,0.7946627387521957,-0.3,-5.0,0.6556059166342735,0,2,166,218,256,225,1
2,0.7941648341009364,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
18,0.7912465596171666,-3.100961776574961,-2.786288475014726,0.7,4,1,160,98,190,256,1
36,0.7900294593585327,-3.375734403431973,-5.0,0.5690794863972932,0,1,177,228,69,82,1
31,0.7850919049002116,-1.4279568701260068,-1.3531043215269491,0.6348721631319919,3,2,8,6,0,158,1
21,0.7840960955976931,-0.3,-1.0,0.0,4,3,194,105,256,148,1
5,0.7757976847433716,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
25,0.7752997800921123,-4.0,-4.101742909700217,0.7,0,3,256,0,0,0,0
38,0.7728794102596019,-3.492783584569405,-1.0,0.14930459382130595,4,1,89,132,256,219,0
45,0.7709569450783508,-4.0,-3.9396900522584595,0.604773365484979,0,3,131,155,245,30,0
7,0.7691727867446717,-3.8545626546374434,-3.675508579191013,0.5099619225096408,3,3,249,109,256,231,0
10,0.7644565232424657,-0.4312366318258527,-1.0,0.4720956444689974,4,1,82,256,0,12,0
14,0.7642352322863505,-1.9353247526008284,-1.429729430218385,0.6980163518579231,0,0,10,80,251,168,0
32,0.7569326307345478,-2.8199051943456044,-1.0,0.14501430906691318,0,1,43,182,220,62,0
24,0.5,-0.3,-5.0,0.7,2,2,102,217,256,0,0
26,0.5,-0.8308563178032435,-1.0,0.17922345687551938,4,2,46,108,256,14,1
