trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
41,0.6871205673758866,-1.7259521172169188,-3.242407627507945,0.2637595544958739,3,0,246,229,210,222,0
48,0.6806524822695036,-2.611145741502723,-3.310039504185496,0.04273850400973152,1,2,140,217,69,190,0
26,0.6767943262411348,-1.7603980462008733,-3.6642088253682132,0.3452926260111636,2,2,232,241,255,175,0
45,0.6761418439716312,-3.235728387490765,-2.5217357648283487,0.17028475968692722,2,2,176,52,112,122,0
17,0.675177304964539,-2.5001111169374735,-2.497811138692802,0.04687490853138567,3,2,85,1,47,104,0
19,0.675177304964539,-3.28283922383465,-1.252581530541934,0.47708366500423366,4,3,27,148,127,74,0
18,0.6745248226950354,-1.3358210667749528,-3.5000633349104504,0.2889838017406821,1,1,225,228,214,89,0
43,0.6742978723404256,-1.6766911537844682,-3.2634029420271897,0.2719923456773276,1,3,181,159,71,96,0
35,0.6717446808510638,-1.8351161065255486,-4.6858492766666044,0.5445425477929732,3,2,145,125,142,256,0
34,0.6712340425531914,-1.7457777359017115,-2.1987059930415773,0.33567321551429885,4,1,96,27,189,0,0
50,0.6711773049645389,-2.5522631953268204,-2.525249919481708,0.0033274942208577503,3,1,66,99,181,167,0
20,0.6706382978723404,-0.3413689583347006,-2.539674843756463,0.5719684465031932,2,1,155,220,48,229,1
14,0.6698723404255319,-0.7367440788206423,-4.212529035363045,0.24884962937180996,4,3,250,131,179,132,0
25,0.6693333333333332,-1.4711708756981858,-2.982864682256153,0.36522535591002875,3,1,248,175,185,60,0
5,0.6687801418439716,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
9,0.6681276595744681,-1.6493239088495497,-4.6755265797697945,0.591608108202119,1,1,235,249,186,117,0
27,0.6677163120567375,-0.6647423995303492,-1.5454711319599737,0.4626268085392199,2,3,224,234,186,172,0
22,0.6675460992907801,-1.846749131319425,-2.1537627320898296,0.17496130913272132,2,2,251,43,147,84,0
23,0.6668936170212765,-1.6264112253837806,-1.9036344795870286,0.21060698030523578,3,1,120,66,186,49,0
46,0.6650780141843972,-1.3668899484064578,-3.792163692571416,0.41226523026461676,3,2,256,137,45,99,0
40,0.664709219858156,-0.7404116727817955,-2.163352814353814,0.4660574027131461,2,3,155,169,120,96,0
13,0.659404255319149,-2.760194045082179,-1.3999671282831798,0.039468788680836246,3,3,240,14,149,206,0
32,0.6566808510638299,-2.6057926436341727,-3.8715044492492403,0.20946099234249121,3,2,117,175,159,65,0
33,0.6559432624113475,-1.4064104170042513,-3.8671160164399887,0.46209300373024725,1,3,137,132,103,81,0
28,0.6550921985815603,-3.2406405487308225,-3.994012628258477,0.21995607239803736,4,2,162,115,24,125,0
12,0.6490496453900709,-3.3952850061896735,-1.0299408049035894,0.017309732661409366,3,1,236,191,163,132,1
36,0.6449645390070922,-1.7900494136862317,-4.84748809658742,0.3742236216478991,2,3,192,140,199,186,1
39,0.6407092198581561,-0.3,-2.7708438836540528,0.5067573621043938,1,2,175,126,17,231,1
4,0.6384539007092199,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
11,0.638354609929078,-3.1909682266028145,-3.884115760815412,0.6558613260432452,2,2,64,131,11,53,0
10,0.6379290780141843,-2.9427667512095264,-3.153007272822887,0.19494320875836896,4,1,112,19,7,256,1
30,0.6307517730496455,-0.3,-4.50711906663244,0.7,3,3,15,189,177,3,1
31,0.6302127659574467,-1.420549873551714,-4.273432389204672,0.10419079347847517,1,0,145,172,126,236,0
47,0.6118581560283688,-3.1892499611416647,-1.8440059408498666,0.009482254031186698,2,1,71,145,223,12,0
3,0.596595744680851,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
16,0.5873191489361702,-3.827597122750007,-2.363224419786067,0.025464744912522205,3,3,242,217,198,148,1
1,0.5823829787234043,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
37,0.566354609929078,-3.419521900639209,-4.488605452201704,0.3547139677571531,3,1,87,209,109,238,0
7,0.560936170212766,-2.0081488469364093,-1.5803266704506425,0.09261175320924493,2,1,168,194,0,171,0
2,0.5167943262411347,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.5042553191489362,-0.4454044701722655,-4.195391499438988,0.6665906526965998,1,0,226,223,95,162,1
6,0.5,-0.3,-1.0,0.0,2,0,243,252,14,256,0
15,0.5,-0.645385919534275,-1.2465390720102811,0.06439123446189803,1,2,210,188,231,10,1
8,0.5,-0.3,-5.0,0.0,4,0,8,42,256,256,0
24,0.5,-1.01621904235289,-3.4950277577384905,0.2775636507106267,2,2,229,255,102,84,0
29,0.5,-0.4091158609134995,-1.8651624052020042,0.7,3,2,206,76,23,200,0
49,0.5,-1.762463188541381,-2.005154778931164,0.6410203551170971,2,2,256,217,217,195,0
21,0.44139007092198584,-0.32794050036312417,-2.1568135719806687,0.007508536536844634,4,1,148,252,20,212,1
44,0.4401843971631206,-2.4524795439583995,-1.2120966605625871,0.391341793906507,0,1,30,125,173,240,0
42,0.4219858156028369,-1.5590879487828588,-3.2042482179011165,0.4736397840278037,4,3,16,65,120,256,1
