trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
13,0.6807659574468086,-2.693271616288417,-3.632888802704654,0.30954159557497224,0,1,9,232,113,133,1
33,0.6765673758865248,-2.3326951739475748,-4.088507414110136,0.32613802309128426,0,2,202,32,255,181,0
49,0.6756595744680851,-2.561098589865127,-3.890222006497162,0.5957711299228522,1,0,256,111,226,147,0
2,0.6756028368794327,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
50,0.6752340425531914,-0.8061372964094256,-2.491741535668053,0.6501815022748885,0,0,234,172,131,239,1
23,0.6734751773049645,-4.0,-3.8946224899247275,0.5826260094442659,1,3,21,190,154,198,1
1,0.6725673758865248,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.6723120567375886,-3.033574243267374,-4.454740649498513,0.5418129308709317,0,3,78,0,169,121,0
25,0.6720567375886526,-0.3,-4.551039880638456,0.5889823692898185,2,1,40,130,115,239,0
39,0.6718014184397164,-0.3,-4.9086562642225005,0.7,0,1,93,234,0,3,0
6,0.6710354609929078,-0.6233824213118542,-4.973630378644244,0.5287357761610637,3,1,67,235,37,199,0
31,0.670836879432624,-1.0347961773263088,-2.8918266289574897,0.7,4,0,140,142,0,143,0
34,0.6702695035460993,-2.0515706605998174,-4.4255134103978655,0.6904963934246514,0,1,100,27,0,179,0
47,0.6701843971631206,-1.4695604292400914,-4.041302582155389,0.6006590460894975,4,0,8,57,229,128,1
12,0.670127659574468,-0.3,-5.0,0.5959016595702752,3,1,154,256,183,79,0
40,0.6700425531914893,-0.3,-3.0136855557662394,0.7,3,1,56,94,0,107,0
36,0.6695602836879433,-2.4547465314920176,-4.802806282605701,0.0,1,3,50,84,51,89,0
15,0.6694468085106384,-2.8138243979683475,-4.350818557157133,0.36079918645314685,1,1,189,38,159,104,0
41,0.669078014184397,-2.662184640116597,-3.0468846982302455,0.7,0,3,29,65,57,136,0
43,0.6690638297872341,-1.0477677713584974,-4.517534982287659,0.7,0,1,69,12,256,92,0
8,0.6689361702127661,-2.7253202535640986,-1.469956991975296,0.21035765020014832,2,2,135,225,161,104,0
26,0.6689078014184398,-2.411540179490255,-2.0110467650878867,0.1797743225123393,0,3,68,93,3,1,1
32,0.6686524822695035,-2.2336410863193388,-2.1740827587185474,0.3450464175715062,2,3,32,138,171,43,0
30,0.6683687943262411,-1.5224269415227218,-1.7964275386886852,0.5413744616013227,2,1,225,5,67,177,0
18,0.6679148936170214,-0.39136796327868684,-3.1956785513775263,0.7,0,2,57,256,0,0,1
44,0.66777304964539,-2.297093814478586,-5.0,0.21768629527343936,1,0,256,55,186,0,0
5,0.6676879432624114,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
42,0.6672056737588654,-2.4534031263300484,-1.5881212476511894,0.49632268316471134,0,3,77,144,8,211,0
9,0.6663829787234044,-3.003519582224592,-2.317379796597678,0.3738644831330737,0,3,60,15,3,21,0
35,0.6653900709219858,-0.6952765062776938,-4.610883296081383,0.7,2,3,199,188,1,208,1
19,0.6629503546099291,-2.087503529199074,-4.53546892122473,0.0,0,2,221,167,188,16,1
22,0.6600851063829787,-0.8127703765765424,-3.7476070127111214,0.19010621721116722,2,2,78,1,241,89,1
21,0.6599716312056737,-2.36962904204975,-5.0,0.7,1,2,24,22,241,2,1
3,0.6568510638297872,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
17,0.6542269503546099,-1.172190006461328,-5.0,0.2541842700492978,1,2,207,158,73,167,0
38,0.6521418439716312,-1.487603797479193,-4.833519247828994,0.7,1,1,218,64,0,6,1
27,0.6515177304964539,-3.4150257937613797,-2.4487760457490095,0.5074372861994603,1,3,13,221,166,204,1
16,0.6499290780141844,-3.933754718304956,-1.0,0.6178088501022562,2,0,132,51,41,63,1
28,0.6462695035460994,-4.0,-3.1626845967313875,0.213106255810457,2,3,79,166,194,208,1
29,0.6447659574468085,-2.855108908021361,-3.5373293211059984,0.0,2,3,38,53,17,160,1
37,0.6374751773049645,-4.0,-2.14003189916333,0.0,0,0,178,171,0,215,1
48,0.6192907801418439,-2.729702469634962,-4.208798690128043,0.1294905324050118,2,3,8,215,20,120,1
24,0.5775460992907802,-0.4620487450008577,-4.095055050542669,0.5860838353668526,0,2,30,238,179,73,1
4,0.5391489361702128,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
10,0.5218156028368794,-0.661385603440352,-4.178307016172037,0.0,3,2,250,167,197,67,0
14,0.5159432624113476,-0.5358618471537944,-1.0,0.3087195238800611,4,3,67,150,44,201,1
11,0.5013049645390071,-4.0,-1.0,0.4870639868864017,0,3,146,0,256,253,0
46,0.5,-0.5679891754869564,-1.1958420789606365,0.7,1,3,30,62,60,70,0
45,0.5,-0.3,-1.2518862387939471,0.7,0,2,219,256,0,0,1
20,0.3624964539007092,-3.5890461972083414,-5.0,0.7,2,1,51,176,132,195,0
