trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
33,0.9042873062932358,-1.9438381108177838,-5.0,0.43170738671844566,3,0,55,163,11,256,1
13,0.8893059147585105,-4.0,-5.0,0.7,4,0,256,78,256,220,1
25,0.8872821127441703,-4.0,-5.0,0.0,4,0,256,19,79,28,1
3,0.8871927500578229,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
42,0.8750604512289997,-1.8527689696872747,-5.0,0.32964405231084487,2,0,12,155,174,256,1
41,0.8734098698458757,-1.6693823323605539,-5.0,0.17408245622510643,4,0,103,237,16,256,1
19,0.8646523265838224,-1.8740439221910754,-5.0,0.5369533242511053,1,0,68,256,256,158,1
43,0.856020942408377,-2.371615633623039,-5.0,0.130449663932787,3,0,22,114,0,136,0
28,0.8386109884564437,-2.1598084257855006,-5.0,0.6636676909920867,1,0,179,168,256,191,1
6,0.8307891250867343,-1.7695054194631008,-3.9739577612579193,0.32000423293930164,2,0,129,0,256,202,1
12,0.8194400639206039,-4.0,-5.0,0.7,4,0,256,148,207,0,1
46,0.8181942429403478,-2.1147577653924405,-5.0,0.0,3,0,227,86,199,256,1
45,0.8149456464601863,-1.8382510669959427,-5.0,0.17526034813234495,2,0,104,70,30,256,0
50,0.8133896843920183,-2.137556516029429,-3.7161347290152307,0.16979047416126541,0,0,194,78,112,256,1
38,0.8081645955549948,-2.6274029204166167,-3.894172325888717,0.7,1,0,235,133,113,166,1
39,0.8058832187388296,-2.4472127217041537,-5.0,0.5484880695049614,0,0,18,157,5,256,1
35,0.7987762568599003,-2.1143814861915335,-4.000039228634262,0.6895107774430703,1,0,29,243,30,256,0
10,0.7979036565108601,-4.0,-5.0,0.0,4,0,256,0,0,256,1
47,0.794844298660611,-1.6031306470352424,-1.307830073988447,0.25032787182086774,2,0,8,125,0,171,1
14,0.7909649067474086,-3.8792586350993994,-4.444015626396964,0.43687512040726223,1,3,195,35,253,92,0
9,0.7818919657688346,-0.3,-5.0,0.0,0,0,8,98,0,256,1
31,0.7795264828949305,-2.0862122644302303,-3.999599917251709,0.5878436306885233,2,0,102,50,145,129,1
34,0.774690384574949,-1.8277307563624539,-5.0,0.4135934997128127,0,0,93,59,230,0,1
49,0.7739229167980823,-1.435527401165571,-2.7989009602581576,0.0,3,0,127,226,196,256,1
40,0.7721251498139153,-1.767699480100696,-3.928810185364598,0.4728618139606597,2,0,131,170,61,256,1
24,0.7698227464833156,-4.0,-4.569831429633118,0.019813228072156658,2,0,256,147,256,256,1
32,0.7584368889169243,-1.2650697689865522,-5.0,0.5017304488614329,1,0,11,158,240,200,1
8,0.7435501166971551,-1.133484689110095,-2.6073617287032196,0.25180215188462307,3,0,70,5,246,94,1
15,0.7246998465064447,-1.3839455564174337,-1.4674269353528375,0.17734278419674657,0,3,68,187,154,161,0
16,0.7144441640909186,-0.6953418774538691,-4.985596486703817,0.06942966197886545,3,2,158,152,255,167,0
36,0.7028585546373978,-3.362736288470873,-5.0,0.0,4,0,40,79,62,0,0
48,0.6934964990853467,-2.4237749868340597,-2.459847193799862,0.5670806122688347,2,0,8,245,0,212,1
30,0.6555226140162745,-2.8997150028915364,-4.8646405954096705,0.24111792843234822,1,0,126,252,254,26,1
29,0.6474589457305663,-3.3029602010522585,-4.2131955073029745,0.6224586779195873,1,0,143,106,256,148,1
4,0.6440105973632752,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
37,0.6382072793792974,-2.603635757087805,-5.0,0.7,3,0,114,237,231,256,0
23,0.6287243213692466,-0.8796719454254496,-5.0,0.549195540025743,1,3,221,256,194,55,0
27,0.6101368826089699,-4.0,-5.0,0.17590680672079953,4,0,256,0,137,127,1
5,0.5906821001282618,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.585914337980193,-4.0,-5.0,0.021870430953125745,3,3,105,214,256,43,0
20,0.5848892954015013,-3.5868443268514243,-5.0,0.7,1,3,228,53,53,196,0
2,0.5470257995332114,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
26,0.5297840576967556,-0.415034767640555,-5.0,0.7,1,0,8,44,204,0,1
7,0.5222513089005235,-0.522420925859084,-2.749107984270883,0.7,4,0,228,190,256,77,0
18,0.5,-0.7894394618915324,-5.0,0.5231251451088794,0,0,123,0,256,17,0
1,0.4974452784961837,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
22,0.4457410795012511,-3.9954335440279714,-5.0,0.5374632027742288,3,1,256,0,244,45,1
17,0.42143442881473536,-3.3513779838922684,-1.0,0.7,3,0,43,0,0,7,1
11,0.38595218570617545,-3.7335538824136028,-3.1814540867654113,0.7,0,3,243,89,143,147,1
21,0.23292121365041318,-3.3263821290587243,-1.0,0.0,0,3,66,0,256,72,0
