trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
46,0.6995582848524025,-3.152794749941399,-5.0,0.0,4,1,21,256,164,124,1
19,0.69947209653092,-2.273721834904959,-5.0,0.7,0,0,256,25,188,15,1
3,0.6958521870286576,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
34,0.6945378151260504,-1.197349020156047,-5.0,0.0,0,3,16,7,141,27,0
28,0.6916505063563887,-1.8855501945795194,-4.123269460560343,0.3867697196187808,0,0,18,124,192,168,1
25,0.6914781297134238,-1.210862588403995,-3.2684562795644307,0.0,0,0,8,256,220,140,1
41,0.691025641025641,-1.9000322876117441,-5.0,0.0,0,3,177,0,48,256,1
36,0.6898405516052575,-2.2677486400904563,-5.0,0.0,4,3,256,102,118,0,1
6,0.6889786683904331,-2.1075487139083275,-5.0,0.6704883395738366,0,0,234,49,256,28,1
29,0.6879444085326438,-2.1427596331989527,-5.0,0.025654237908825307,3,3,156,216,90,23,1
42,0.6866946778711486,-1.9104306975013037,-2.6977912958740764,0.0,1,1,69,256,156,67,1
48,0.6863283775048481,-4.0,-5.0,0.0,3,0,174,256,0,256,1
7,0.6854449472096531,-1.3155143702469578,-2.0255744356148,0.20870996430123837,1,1,113,195,256,7,1
21,0.6846800258564965,-2.6434385912760323,-5.0,0.6694148277341706,0,2,17,245,208,192,1
18,0.6823960353372118,-2.247974185237265,-5.0,0.0,3,0,8,82,256,256,0
32,0.6797996121525535,-1.7487145814460767,-5.0,0.26260380721226895,4,0,203,256,256,67,1
26,0.6793471234647706,-0.6585002602602557,-5.0,0.2779808627276248,0,0,60,0,120,73,1
47,0.6788084464555053,-2.3697375332590513,-3.953243659644234,0.0,4,3,256,209,144,256,1
43,0.6785283344106873,-2.4699719572437195,-5.0,0.0,2,2,256,0,0,0,0
33,0.6766321913380736,-1.8290411424796584,-5.0,0.0,0,0,8,256,140,0,1
39,0.6714824391294979,-1.902306749477943,-2.7217313626156256,0.0,4,3,8,256,256,0,1
38,0.6692199956905839,-1.7160825382510185,-5.0,0.0,4,3,256,149,195,123,1
8,0.668939883645766,-1.911771394578842,-3.69706145176784,0.496563783367395,3,1,192,31,256,178,1
9,0.6682934712346478,-2.9284443294216,-3.9698132773709105,0.6333016732428396,1,0,126,195,208,169,0
4,0.6669790993320406,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
11,0.6658371040723983,-0.3,-1.825504584884773,0.0,1,1,9,245,256,85,1
24,0.663811678517561,-1.6101722276318862,-3.5177731299633628,0.7,0,0,256,256,256,0,1
44,0.6539215686274509,-1.3707892476153662,-2.5712774662052382,0.5653059426645161,0,1,111,129,220,41,1
45,0.6533182503770739,-1.8508200612407655,-5.0,0.0,0,0,8,143,256,0,1
15,0.653210514975221,-1.0915361850913277,-3.3129467702408304,0.21210997210234525,4,3,8,0,0,256,0
37,0.6525210084033614,-4.0,-5.0,0.7,1,2,215,0,0,193,0
13,0.6485671191553544,-0.7913645323345984,-5.0,0.18820790067946164,3,2,228,24,256,4,1
1,0.6459168282697695,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.6442900237017883,-1.3532890482332176,-2.37041019422161,0.27974762618874943,4,3,204,256,192,256,1
40,0.643040293040293,-2.6403156392723917,-5.0,0.7,2,0,8,90,150,85,0
30,0.6426093514328808,-1.680168252116279,-5.0,0.7,0,1,201,0,175,16,1
2,0.642436974789916,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
49,0.6341736694677871,-4.0,-5.0,0.7,0,0,256,256,256,124,1
5,0.6324929971988795,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
23,0.6090820943762121,-3.560381435020359,-1.0,0.2511545139952518,1,2,98,241,0,104,0
20,0.5997953027364792,-2.282415694356599,-1.0,0.7,3,3,24,150,0,12,1
14,0.5981900452488689,-0.3,-2.54767591134322,0.7,2,2,237,9,81,172,1
16,0.5947640594699418,-2.3117779655479422,-1.0,0.7,4,1,243,157,233,119,1
31,0.5868239603533721,-0.3,-5.0,0.7,0,0,169,0,194,0,1
17,0.570814479638009,-3.0637323885515615,-5.0,0.7,0,1,8,256,0,0,1
10,0.5179379444085326,-3.824836700852846,-3.885021167886727,0.1418345125132401,1,3,118,0,256,132,0
27,0.5,-0.3,-5.0,0.0,4,0,108,234,0,206,1
22,0.5,-0.8709906470397244,-1.0,0.6171772592983661,3,3,102,46,256,0,0
35,0.5,-1.4091198240215763,-1.0,0.0,0,0,76,0,256,256,1
12,0.42413273001508295,-4.0,-1.0,0.2985024552419575,0,1,241,80,206,160,1
