trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
39,0.8896587970070398,-2.6280594703949913,-5.0,0.22386617182558785,4,0,181,8,256,0,1
28,0.8862702792415253,-2.5509640851507855,-3.6118386385268253,0.15048890433876394,2,0,214,60,187,50,1
36,0.8855925756884222,-2.590615782427804,-4.4609783525594295,0.16945021052565085,1,0,76,21,107,256,1
43,0.8850393482981342,-2.1288019676872616,-4.396334081121223,0.17855386341178173,4,0,136,199,256,0,1
47,0.885025517613377,-3.0194032221635103,-2.739204273378606,0.20970870361144844,0,0,174,10,0,0,1
45,0.8834211581815417,-2.0946741987738338,-5.0,0.0,1,0,8,0,55,0,1
48,0.8832966820187267,-3.0834662557204604,-4.0311163068816365,0.2497038846870794,1,2,116,167,254,0,1
12,0.8820934124448501,-2.1769113272698615,-4.570227313407839,0.3210081385080153,3,2,189,47,252,201,1
46,0.881872121488735,-3.0131667173028753,-5.0,0.2754680013169401,1,0,163,56,28,256,0
24,0.8803230847959282,-2.152103039112302,-3.671279749174623,0.0,0,0,115,147,0,0,0
18,0.8800741324702985,-1.8932074622755923,-5.0,0.23458361191471833,1,2,87,37,18,186,0
41,0.8799911483617554,-1.347988695522646,-5.0,0.11712368155227537,3,2,152,256,191,35,1
3,0.8794655823409817,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
9,0.8780825138652614,-2.1935627960372512,-2.943615479885749,0.5196965161862915,3,0,19,216,115,86,1
49,0.8779027149634178,-1.9612063573326899,-4.43247113608029,0.7,0,0,130,0,223,256,1
31,0.8778750535939035,-0.3,-5.0,0.0,0,3,92,125,3,77,1
16,0.8776952546920598,-3.8410280029593773,-5.0,0.26829997731790806,0,0,227,193,57,200,1
44,0.8776675933225453,-1.9535195670831627,-4.077824356776955,0.7,2,2,100,149,256,0,1
34,0.877432471681673,-2.2279154941576036,-3.1581136036410786,0.6765459382659579,3,3,148,0,245,256,1
22,0.8771005352475002,-1.9509733938461014,-5.0,0.6373999852828369,4,3,87,26,210,189,1
38,0.8766441226505125,-2.139726815910385,-3.5167516393397196,0.2461877620540439,1,2,133,204,12,256,1
32,0.8763536782706113,-2.7390899178848853,-5.0,0.0,0,3,207,0,221,27,1
13,0.8759387577278952,-0.3,-4.879931132661028,0.06646034082592922,3,3,157,45,54,37,0
23,0.8749567791101337,-3.143675355825862,-5.0,0.0,2,0,256,224,100,88,0
11,0.8739333084381008,-2.376489860746752,-2.3103409084513236,0.007406308355076967,1,3,41,70,161,62,1
27,0.8729236684508251,-1.9086962653541555,-5.0,0.31220111478842766,1,2,8,214,134,147,0
4,0.8715682613446192,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
37,0.8706554361506438,-4.0,-5.0,0.0,3,0,77,0,256,256,1
26,0.8704548912216645,-1.7007959520049858,-5.0,0.0,0,2,142,207,87,197,0
25,0.8652752997800921,-4.0,-3.3084139613253747,0.0,2,3,256,134,244,139,1
19,0.863975215412915,-2.0521793628247247,-5.0,0.46695128794125595,2,3,254,59,34,148,0
40,0.863767755141557,-4.0,-3.5581022552378165,0.0,4,0,256,0,256,107,1
17,0.8599919782028408,-1.0296004430921317,-5.0,0.0,3,1,23,74,166,186,1
21,0.8543421434795236,-3.302657155911574,-2.0943988203909734,0.7,1,1,186,151,129,256,1
6,0.854252244028602,-2.937721557487601,-4.306315305541435,0.698738780989269,1,0,8,256,114,153,0
1,0.853920307594429,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.852689376651038,-4.0,-1.0,0.12352448889050652,0,0,8,23,165,221,1
50,0.8515414298161903,-2.4377113557278425,-2.703838497565574,0.2776686201165337,2,3,179,250,256,0,0
14,0.8512233240667747,-0.7647425956418079,-4.017955974665221,0.6655541258907063,3,1,166,53,184,102,1
5,0.849411504363581,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
20,0.8491487213531942,-0.4499789760455881,-4.253731121090816,0.05788591877057175,2,2,210,40,0,256,1
35,0.8474337164433011,-2.9032306039003535,-3.5135352497758605,0.6863192886287361,2,3,256,157,127,213,1
30,0.8470049652158278,-2.6985051249748104,-1.0,0.46115386453256313,4,1,256,233,233,110,1
10,0.8448819551055974,-0.3,-1.6417255434488665,0.20977241259515442,4,3,187,142,245,115,1
8,0.8443633044272022,-3.300596954618811,-1.2556781462090694,0.48788119581684974,3,1,149,256,256,189,0
33,0.8439552992268647,-2.8688723608789917,-1.0,0.5699853780818323,3,0,8,162,74,46,0
2,0.8411545855635313,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
7,0.8331742804586255,-3.54908477976248,-4.829107593455011,0.6346611901489618,1,1,89,67,34,27,1
42,0.8092402804862868,-1.3168126202645682,-1.0,0.15633952566225456,0,3,111,256,171,185,0
15,0.7643804544763012,-0.679560069489678,-1.0,0.5828186288661875,2,0,36,227,30,35,0
