trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
32,0.6753333333333333,-2.063401672279964,-1.0,0.5832047817014185,0,3,127,0,36,57,1
48,0.6690921985815602,-2.525375724173468,-3.277804506092624,0.6752896700859147,1,3,54,12,239,0,0
1,0.6674184397163121,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.6661134751773049,-2.5698318198982673,-4.3458671099824295,0.6329245193834525,3,3,256,112,55,94,0
2,0.6655460992907801,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.6651773049645391,-1.3510169051624659,-4.05514397145596,0.7,4,1,256,3,124,75,1
18,0.6650354609929078,-1.389219426942213,-4.161304353024127,0.33529915500567437,1,1,210,174,40,62,1
41,0.6640709219858156,-2.0956771037653192,-2.61042697048747,0.5586255162267404,0,2,11,166,174,129,0
30,0.6589929078014184,-3.2391068787947,-1.0,0.015949636304740892,1,0,130,0,11,250,1
47,0.6588794326241134,-1.1222253821426786,-5.0,0.5414321811067959,4,0,256,189,56,0,1
50,0.6580283687943262,-1.1574767640469936,-3.797339411788552,0.2474595127317997,0,0,249,206,0,53,1
43,0.6577730496453902,-1.1385930158178117,-4.002805348005477,0.4375579381071349,4,0,71,203,26,155,1
28,0.6574042553191488,-1.5104386719443856,-2.9924845023380247,0.6033034195869298,3,0,31,200,175,238,1
34,0.6567517730496454,-1.7890372461298756,-3.947327789157055,0.6094078252655243,2,0,243,0,237,0,1
40,0.6565531914893616,-1.2108478295446528,-3.891892019603958,0.21367830392992357,1,2,220,63,249,21,1
26,0.6557304964539008,-2.9865333579985274,-2.1459013050206277,0.0,0,2,256,0,0,72,1
44,0.6530070921985816,-2.8309639821990475,-3.8747462087377906,0.4893347197719857,3,0,230,108,56,208,0
3,0.6520425531914893,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
21,0.6514468085106383,-3.8133863195378783,-4.750341589230133,0.3923768158473614,2,3,211,108,251,0,1
22,0.6511914893617021,-1.146283329891558,-2.591625177528925,0.1699921776272736,1,1,99,32,70,67,1
49,0.6486950354609928,-2.2177717306505547,-1.8416228260861005,0.7,0,2,148,87,253,0,0
10,0.6470212765957447,-1.5095712562056889,-3.496283431312162,0.29282879309646914,0,1,132,131,62,0,1
35,0.6465390070921986,-1.4581226621930035,-3.7017561664909358,0.43047886523533657,2,2,126,128,0,201,1
45,0.6464539007092199,-3.520078262272106,-1.434194515416416,0.0,0,2,152,82,5,0,1
12,0.6452907801418439,-4.0,-1.2044677156095744,0.0,0,3,256,246,24,187,1
4,0.6435035460992907,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
6,0.6433049645390071,-0.5764213378526253,-2.688285257686612,0.3818745189984821,0,1,159,12,152,0,1
36,0.6401276595744682,-1.64801469446504,-2.5374471085662007,0.531281343246421,0,2,218,0,99,58,1
20,0.6385957446808511,-3.6860084869284426,-2.401901995786148,0.597763423988382,0,0,144,33,67,116,1
13,0.6385106382978724,-3.627343339582106,-1.2736994954124325,0.0,3,2,256,8,155,87,0
42,0.6372340425531915,-2.2540416498717635,-3.9396540981519417,0.1756050408788056,3,3,242,53,49,203,1
7,0.6365531914893616,-1.5612653123861144,-4.665304491135933,0.057374969359888936,2,1,131,256,256,191,1
9,0.6250638297872341,-0.3,-3.6631534739723124,0.06375918965898097,4,1,42,194,174,68,1
27,0.6234184397163121,-1.3426832453858384,-2.1456293247560607,0.0252458463996955,2,1,218,232,159,46,1
5,0.6219858156028368,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
31,0.6217446808510638,-0.3,-5.0,0.056619931618166655,3,1,31,224,256,61,1
39,0.6215177304964539,-3.528592987789163,-4.822506586223844,0.5964172739560146,2,3,78,233,256,20,1
46,0.6193758865248228,-3.1883460260594565,-1.0,0.14473668602901885,3,2,43,1,64,10,0
24,0.6191063829787234,-4.0,-2.6129014906577823,0.5715529462650106,0,3,207,109,253,82,1
19,0.6159290780141844,-2.5357848682872985,-1.0,0.554373097265269,1,3,204,205,7,182,1
17,0.6154468085106383,-3.818662502064352,-1.3555736328320367,0.5004440969227105,1,2,210,246,154,88,0
33,0.5576879432624113,-4.0,-5.0,0.6002789669867125,0,3,234,256,192,218,1
8,0.5369787234042553,-4.0,-4.378797802101242,0.7,2,2,8,70,100,170,1
23,0.5246666666666667,-1.2189982938432733,-1.0664581363482637,0.4307100134682959,1,0,8,215,126,0,1
14,0.5219716312056738,-4.0,-1.3192642944309179,0.0,3,0,42,239,151,252,0
38,0.5107943262411349,-0.9187794183831741,-1.0,0.0986380595205797,2,0,171,0,56,44,1
16,0.5077304964539007,-4.0,-2.7136890907541327,0.7,4,3,36,121,0,0,1
11,0.5,-0.3,-5.0,0.7,0,0,139,256,75,0,0
37,0.5,-0.34957409219286584,-4.422441863106838,0.7,0,2,146,137,85,124,0
25,0.49333333333333335,-0.3,-5.0,0.7,0,0,13,59,0,0,1
