trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
25,0.6783262411347517,-1.2242062950925297,-4.160842011699706,0.30401835430158053,1,2,228,93,116,236,1
36,0.6672198581560285,-1.1621817573056417,-4.893188785183719,0.1361662046779582,0,2,229,0,107,237,1
38,0.6562978723404256,-1.543920984208469,-3.7389333855229037,0.24515611928420364,1,3,233,30,134,181,1
10,0.6557588652482269,-1.2233711652866535,-2.9198386178381663,0.0,1,0,221,44,27,20,1
12,0.6547517730496454,-1.630773430532782,-4.1729374514715065,0.6378055913798584,3,0,120,84,2,42,1
5,0.6536879432624113,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
28,0.6536312056737589,-1.7168993234900456,-2.1105752754291327,0.07686983752890156,4,0,150,0,140,0,1
3,0.6526666666666667,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.6504255319148936,-2.814408357364659,-3.8086754098004754,0.14871295535550333,2,0,123,60,256,256,0
30,0.6486666666666667,-1.2186162381947296,-2.186236322843279,0.20088237406746667,4,3,43,205,111,215,1
13,0.6482695035460992,-1.4881509299157991,-1.0,0.05680779800195839,3,0,248,4,127,255,0
39,0.6463971631205674,-1.6368628257445579,-4.6167012419906355,0.3046066929981675,1,0,201,14,35,213,0
26,0.6415177304964539,-2.9455285238940396,-5.0,0.6699553610445106,3,1,194,0,8,218,1
40,0.6407092198581561,-3.1149103974628347,-5.0,0.7,4,1,247,125,17,170,0
21,0.6394184397163121,-3.068732440570646,-4.785651798323024,0.0,2,0,43,29,176,256,0
16,0.6388510638297872,-3.792278518401282,-4.286032608387311,0.5787882505547302,1,0,163,156,256,115,1
29,0.6359007092198582,-1.184974428568435,-3.544197930650681,0.6891724510443312,4,0,15,0,206,256,0
35,0.6354184397163121,-1.464144795531305,-5.0,0.4790597137878398,4,2,48,0,0,24,1
41,0.6348510638297871,-4.0,-1.0527202554670132,0.0,4,3,229,182,33,53,0
47,0.6333049645390072,-1.912554978660495,-1.7644176749291893,0.672902325131996,4,1,136,0,87,44,1
4,0.6328936170212766,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.6325248226950355,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
33,0.631418439716312,-3.5362181031590967,-1.969074906061377,0.5680748908844011,1,0,134,74,229,74,1
15,0.6289503546099291,-2.6524306417975136,-2.842945402352276,0.18075404897715527,0,3,40,79,256,150,1
2,0.6269929078014185,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
22,0.6263262411347518,-1.9364286440543834,-1.0,0.0,3,1,119,235,71,44,0
18,0.6245248226950355,-2.6448285134989282,-1.910151542380436,0.5885817265728162,2,0,256,0,162,101,1
20,0.6233333333333334,-1.839474726947242,-1.0,0.16637869435277125,3,1,218,118,229,256,0
50,0.6231347517730497,-1.1958088575445682,-1.887278437224555,0.6023500081447605,0,3,219,31,81,256,1
46,0.6147517730496455,-1.3558689484726583,-4.280145228703808,0.41063019103534537,0,3,222,132,124,256,1
32,0.6141985815602837,-3.003830650409434,-3.0686279182092755,0.10515134869809842,1,3,239,220,6,178,1
11,0.6129787234042554,-1.638180672083906,-4.582458256515897,0.668010168295997,0,3,124,92,0,136,0
27,0.6114751773049645,-1.3687764386600363,-3.2700399769413173,0.4822904934962382,1,2,86,141,138,180,1
24,0.6100851063829786,-1.6271226795164129,-2.9087745076392624,0.0002116997922262225,4,0,153,161,163,256,0
49,0.6088652482269504,-1.3408083625652072,-3.5834811762456362,0.36427146854518194,1,0,230,41,78,256,0
9,0.606595744680851,-2.7066415460339255,-2.982604594814687,0.657610874676176,2,0,29,166,157,114,0
31,0.606113475177305,-1.747556683724771,-3.4527974060624613,0.38345959099882054,4,1,195,256,192,0,1
7,0.6046950354609929,-1.920660669292308,-3.059824907531726,0.11317648948259693,2,0,157,162,256,256,1
44,0.6015177304964539,-1.3018033456313587,-4.3334569889226335,0.21619652875011572,3,2,229,0,160,256,1
45,0.5985673758865249,-3.194752260899565,-3.130552593838381,0.061815407928675375,0,2,35,148,210,256,1
17,0.59,-2.0347779313265306,-4.868617673715384,0.13378475549659563,1,0,101,140,12,241,1
43,0.5832765957446808,-1.2745556229105084,-5.0,0.19417922457009634,1,3,243,31,103,102,1
19,0.5469078014184398,-1.4436244692974562,-1.126895769156111,0.5112687411959002,2,1,256,122,38,4,0
48,0.530822695035461,-0.9194730842286738,-1.3278999804921008,0.03617724866147277,1,2,227,0,221,246,0
8,0.5162695035460994,-0.3028322361060205,-3.8596334437473416,0.7,3,0,158,0,97,199,1
14,0.5,-0.46819212808803456,-1.8258238509758118,0.0655521493439659,2,0,154,98,152,86,1
37,0.5,-1.1006991228160121,-5.0,0.14059979219822333,0,2,248,256,212,171,0
34,0.5,-1.2069569796427362,-1.3314628213872708,0.6986886924373258,0,0,69,165,90,256,1
23,0.475177304964539,-2.2113330288682667,-2.3860992949321957,0.7,1,1,43,212,171,0,1
42,0.44964539007092197,-2.0328742543959466,-1.0,0.0,1,3,69,14,75,31,0
