trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
30,0.832316715542522,-1.8453762740639181,-5.0,0.0,4,0,256,0,256,0,1
32,0.8303372434017595,-1.7165898565766122,-5.0,0.0,0,0,172,0,256,0,1
8,0.8255571847507331,-2.2530600893681716,-5.0,0.4438473988623485,1,0,61,65,256,15,1
3,0.8229325513196482,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
35,0.822624633431085,-2.2559472363527213,-5.0,0.7,2,0,152,256,221,0,1
34,0.8204032258064516,-2.185509597732403,-3.7263748839383446,0.7,1,0,58,256,256,0,1
38,0.8202272727272727,-0.8396125912284318,-4.273239010270229,0.0,4,3,256,0,39,0,0
41,0.8191202346041058,-1.3375510420559213,-5.0,0.0,2,3,255,0,53,0,0
33,0.8182697947214077,-2.2716921522376836,-5.0,0.7,3,0,150,211,38,202,1
46,0.8175953079178886,-1.2258598627322543,-5.0,0.0,4,3,256,0,199,86,0
40,0.8144721407624633,-1.6670101233280374,-5.0,0.0,0,0,256,155,256,0,1
48,0.814325513196481,-1.2965751209851621,-5.0,0.0,4,3,256,0,96,188,0
44,0.8128958944281526,-2.194515557635534,-5.0,0.0,0,0,113,0,213,0,1
36,0.8114956011730204,-2.2326918901104764,-5.0,0.7,1,0,8,256,256,0,1
19,0.8093108504398827,-2.4737121821141246,-1.0,0.30198453770111483,4,0,256,256,256,256,1
43,0.808782991202346,-1.3000566724019995,-3.273652908694893,0.0,4,3,256,0,14,1,0
49,0.8082697947214077,-1.2694034508657328,-3.4942449545162706,0.0,2,3,226,0,35,110,0
18,0.8070381231671554,-4.0,-5.0,0.6006802573597055,4,0,256,0,256,207,1
42,0.8061583577712609,-0.7637226313861274,-3.910733829379719,0.0,1,3,8,0,0,0,0
16,0.8059530791788857,-1.9049236966587824,-1.0,0.7,3,3,8,256,256,256,1
47,0.8053372434017596,-1.246731757603913,-5.0,0.0,2,3,256,0,256,0,0
28,0.8046480938416423,-3.5608566856380213,-1.0,0.7,4,0,121,0,256,256,1
27,0.8007404692082112,-1.8304905979374113,-5.0,0.7,4,0,8,256,47,256,1
6,0.8002859237536657,-0.3,-5.0,0.0,4,3,182,0,256,256,0
12,0.7997580645161291,-0.3,-2.4624891253000736,0.0,0,0,203,95,256,15,1
26,0.7972947214076247,-0.7321000031917873,-5.0,0.0,4,0,8,0,167,256,1
37,0.7972140762463343,-1.4055705157208713,-5.0,0.7,4,3,8,256,256,0,1
1,0.7942961876832846,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
45,0.7927272727272727,-0.893484145857371,-5.0,0.0,3,2,117,0,237,0,0
24,0.7917595307917888,-2.0003755645771983,-1.0,0.4666447857854779,2,0,122,256,0,256,1
29,0.7913782991202345,-2.014195186743485,-2.228027287954326,0.7,2,1,44,0,256,256,1
39,0.7887096774193548,-1.030731628557087,-5.0,0.22090145545451845,4,0,8,7,256,0,1
4,0.7886363636363636,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
14,0.7727419354838709,-2.7690162134642,-1.0,0.0,0,0,87,256,0,190,1
22,0.7722873900293256,-1.7977911177642087,-1.3505519416300031,0.5537911634420783,4,0,256,0,255,256,1
15,0.771041055718475,-0.31874577694149986,-2.4372524547267607,0.0,2,3,60,255,0,0,0
50,0.7690029325513198,-1.343201390862717,-5.0,0.0,1,3,190,0,14,220,0
21,0.7668768328445748,-2.858416357819313,-5.0,0.6270322333154966,0,0,8,202,0,256,1
20,0.7634897360703812,-3.0215501379094767,-5.0,0.7,0,1,234,0,256,3,1
13,0.7608944281524928,-0.33064702281449954,-4.945409640569398,0.21036868011242427,4,1,132,1,25,23,0
5,0.7567961876832845,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
7,0.7554545454545454,-3.9647380413997344,-5.0,0.0642905281041877,4,1,241,193,256,230,1
23,0.7510043988269794,-2.3740028702432143,-1.0,0.46104144782284184,4,3,8,256,256,135,1
2,0.7456598240469209,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
31,0.7341935483870968,-0.8212487106979358,-5.0,0.0,4,0,256,0,256,181,0
9,0.7191495601173021,-1.818664367555309,-1.0093496398165875,0.417620621794355,4,3,115,244,127,171,0
17,0.6157478005865102,-0.3,-5.0,0.7,2,0,256,0,256,256,1
10,0.5,-0.3,-5.0,0.7,3,0,186,0,256,256,0
25,0.5,-0.3,-1.484582523270821,0.7,0,3,256,256,256,0,1
11,0.25151759530791784,-4.0,-1.0,0.0,4,3,8,256,0,0,0
