trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
11,0.8284457478005866,-2.1649969378536853,-5.0,0.5011319281670822,4,0,240,81,179,256,1
18,0.8258357771260996,-1.58101164467841,-4.545481859774281,0.7,4,3,256,63,256,172,1
23,0.8258064516129031,-1.9994592541027525,-3.356247171503398,0.0,1,0,8,84,128,71,0
3,0.8250879765395895,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
15,0.8218914956011729,-1.2621005068491273,-5.0,0.2641933217428015,0,0,256,256,243,23,1
29,0.8202932551319647,-2.671903642693736,-3.3009722555447145,0.33277524903523714,4,2,256,35,19,195,0
27,0.8199413489736069,-2.675601346642935,-3.9749139321121096,0.6976400339365413,1,0,154,239,114,55,0
16,0.8199120234604105,-2.419571566488646,-5.0,0.0,4,3,256,256,256,0,0
47,0.8194721407624633,-1.896193579727779,-4.005986217024826,0.0,2,3,8,218,0,217,1
36,0.8186070381231672,-2.5637306062800738,-1.8876713437940449,0.41691863724059686,0,0,256,256,158,39,1
8,0.8184457478005864,-1.6745237553989165,-3.0993670918605343,0.1888487018675169,4,0,224,71,44,217,0
32,0.8166715542521994,-3.526648474419135,-3.140115839884804,0.5701218869642399,2,2,256,167,60,139,0
45,0.8138489736070382,-1.5968509298897215,-3.8821743649762417,0.6700892633605536,2,0,256,256,230,109,0
42,0.8134897360703812,-2.0991410805770716,-5.0,0.11926819411159588,2,0,15,0,73,38,0
26,0.8132258064516129,-2.0941529748154437,-4.422462754397415,0.7,4,2,155,256,37,227,0
13,0.8113049853372434,-2.8030266474989114,-5.0,0.183197568562189,4,3,256,0,0,256,1
41,0.8099926686217009,-1.1751344973414706,-4.1858189764784095,0.5277208776214616,4,0,111,172,172,124,0
25,0.8093255131964809,-1.888768530981121,-5.0,0.62077150348727,0,2,169,15,256,221,1
5,0.8077639296187684,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
12,0.8073460410557185,-4.0,-5.0,0.0,4,3,256,0,0,256,1
20,0.8042008797653959,-2.522905909838676,-2.380209743907226,0.7,3,3,8,153,256,124,1
7,0.8041788856304987,-4.0,-2.513952963905954,0.024336091533817744,2,0,256,191,101,88,0
39,0.7999120234604107,-3.2985435788301136,-3.34757543194795,0.7,3,2,64,154,89,185,1
48,0.7975659824046921,-2.371699719764194,-4.809447642444712,0.6030865476819918,4,2,8,58,81,55,1
40,0.7947360703812317,-2.0994533592003792,-1.8184870792706471,0.0,4,0,256,162,256,246,1
1,0.794266862170088,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
33,0.7940029325513197,-1.3618288906991594,-2.5554194083415527,0.7,4,1,194,166,62,202,1
43,0.7922287390029326,-3.234482486874,-4.047356148722401,0.0,1,1,8,17,2,141,1
35,0.7906158357771261,-3.5111750020794137,-1.103427234757146,0.11744677136185809,3,3,256,0,5,176,1
9,0.7876612903225807,-3.153124932522214,-2.7098972202655927,0.5552338127444887,1,1,50,18,40,35,1
2,0.7833797653958945,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
17,0.7827859237536657,-2.429178425194535,-3.855715442514459,0.4126258923839115,1,1,256,151,211,63,0
49,0.777434017595308,-1.9513980454543725,-1.8121245045484486,0.7,4,2,256,16,95,19,1
4,0.7744134897360704,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
14,0.7702492668621701,-4.0,-5.0,1.9428902930940238e-17,4,3,8,0,0,256,1
30,0.7697507331378299,-2.863417526604085,-1.99187245186143,0.0,4,0,8,84,236,256,0
37,0.7629178885630499,-2.754598858813403,-1.4752406350812413,0.0,2,0,8,190,256,0,0
19,0.7622214076246334,-3.6388886100038795,-2.9162871534325467,0.7,1,1,256,256,232,248,0
6,0.7601759530791788,-0.9068071640095239,-1.9901119397850455,0.22627586512890543,1,3,196,73,145,180,0
21,0.7581818181818183,-3.9241310690809312,-4.692023522973026,0.7,4,0,256,123,61,227,0
22,0.757991202346041,-0.6626631163837331,-1.0,0.0,4,0,8,0,0,0,0
38,0.7569061583577713,-2.278053755701797,-4.785786818847712,0.0,3,1,256,116,256,201,0
44,0.7549560117302054,-2.6333864105718883,-5.0,0.4623415717723832,1,0,8,154,176,95,0
46,0.7540395894428152,-3.446294145916601,-2.2169350313051837,0.7,1,2,8,18,256,24,0
31,0.7416129032258064,-4.0,-3.591493046823116,0.017831822712478615,1,1,8,93,162,134,0
50,0.7381451612903226,-1.8263808260457552,-1.602679859190546,0.1280106217503519,4,0,8,87,14,40,0
10,0.5,-0.3774559870894647,-1.2156377971269765,0.6144497036340543,1,0,256,119,44,11,1
24,0.5,-0.3387035746981013,-2.92878982769599,0.0,3,0,8,248,64,69,0
34,0.5,-0.3,-4.779933399384457,0.1854356834238752,2,3,256,94,181,86,0
28,0.442617302052786,-2.9376870790329646,-1.0,0.6835296689584718,3,3,115,250,40,179,0
