trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.6731014492753624,-3.2590231783099775,-2.6809842167944664,0.025100663883573193,2,1,135,231,98,35,1
48,0.6703188405797101,-2.5885536691941295,-4.766921469472069,0.5469322992522291,1,2,190,91,122,204,1
22,0.6682898550724637,-3.327384983875037,-2.1485775068786794,0.020784635500859735,0,3,71,130,70,53,1
50,0.6594782608695653,-2.6262740525525956,-4.723796827338265,0.5312462163662829,2,2,222,111,81,227,1
40,0.6444347826086957,-3.4102834290818254,-2.977162728912974,0.0,1,1,155,66,77,40,1
13,0.6370434782608696,-2.446217995121234,-1.6437714714833134,0.6167475033127328,3,1,151,109,1,70,1
1,0.6350144927536232,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.633536231884058,-3.3466776283177033,-2.7728248339001853,0.08070528543975498,3,0,76,0,170,1,1
30,0.631463768115942,-3.329976418617074,-1.885119485977767,0.20303499758083546,4,0,18,130,133,81,1
27,0.6258550724637681,-2.565248822761971,-3.2959259583396836,0.20410772293977053,0,3,115,126,0,228,1
2,0.6250434782608696,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.6248985507246375,-0.5967487910313767,-3.9277505894164513,0.058625035386219874,1,0,249,0,0,99,0
5,0.6248695652173915,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
21,0.6244927536231883,-1.6341223010996813,-2.1635928391550507,0.6649289533203115,1,0,92,174,0,222,0
14,0.6241449275362319,-0.3,-1.9619071298177744,0.49556651146094555,3,1,238,256,0,232,1
19,0.6226666666666666,-2.0235866860288976,-4.527857246731023,0.25509862667013966,4,3,148,0,144,170,1
24,0.6226086956521739,-1.8104726096667223,-1.593157832884672,0.0,0,3,60,21,84,244,1
43,0.6214782608695653,-3.31049278672584,-3.262099081782279,0.0,1,2,64,35,90,192,1
20,0.6212753623188406,-2.828607290523933,-1.1116940756853104,0.5954154813579173,3,0,131,0,134,231,1
38,0.620231884057971,-3.714722411343424,-4.267110776979714,0.45914629096495874,1,1,147,27,13,56,1
12,0.6194347826086957,-2.5404926922660844,-1.5008734733272515,0.1636431081970431,4,1,222,130,52,0,0
8,0.619304347826087,-2.940928391686984,-5.0,0.2985256388660414,0,0,8,71,33,85,0
36,0.6174202898550725,-3.8701406613130285,-1.3288992402657764,0.5812617500378546,1,1,190,0,234,102,1
17,0.6162753623188406,-2.0591779113703144,-4.74214026191321,0.5288370678630566,1,0,121,133,155,202,1
45,0.6158260869565216,-2.5171207816068657,-2.3448324621275307,0.05316884848019195,0,1,122,256,231,64,0
26,0.6151014492753624,-0.48022894169289065,-2.9684341725806362,0.0,0,3,112,123,232,244,1
35,0.614231884057971,-0.800276520213925,-1.9231667024388046,0.027646127720641803,1,3,89,55,0,247,1
34,0.6140579710144927,-3.351252206478076,-3.0556739694016177,0.0,0,3,54,77,235,0,0
37,0.6134782608695651,-3.501516235027672,-2.9216505688906897,0.26686838981651734,2,0,210,256,232,89,0
18,0.6134202898550725,-2.784631744782836,-2.7188461406654767,0.3527588819878914,2,3,17,0,193,12,0
32,0.6128115942028985,-2.461281375042665,-3.7872887954567345,0.059691847628881474,1,3,120,123,0,104,1
7,0.6123913043478261,-1.1570993207969535,-1.949225771521327,0.40867819183677717,0,2,8,61,94,62,0
4,0.610695652173913,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
10,0.6093188405797101,-1.1783590516318405,-1.6487394860220204,0.6190682108260901,0,0,97,0,256,93,1
29,0.6080000000000001,-3.3634820654909974,-3.39030756530679,0.07342044772280522,1,2,33,256,0,139,1
11,0.6053623188405798,-1.4600077594918992,-1.9647465229371726,0.32006677708632697,4,1,99,102,42,227,1
47,0.6034202898550725,-0.642820475144839,-2.5913522403322893,0.4089443802954533,3,0,126,190,51,49,1
46,0.5987391304347826,-3.3008042088787564,-4.61623684441935,0.0,2,2,222,143,91,0,1
41,0.5972753623188406,-3.3163844373807283,-1.3451401671294687,0.5517348652705659,2,3,98,249,79,142,1
23,0.5925507246376811,-3.6519594161363087,-2.3603452234543805,0.0,0,3,123,256,184,65,1
42,0.5919130434782608,-3.1589238318494695,-2.6300066959368524,0.0,0,3,58,218,72,93,1
6,0.5908115942028986,-1.8453066387146433,-4.8209717838764075,0.7,1,1,120,256,85,18,1
33,0.5836521739130435,-1.629117583099077,-4.850429127467878,0.16421004001462192,1,0,215,0,192,227,0
3,0.5765507246376812,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
31,0.5388985507246377,-3.828025083740767,-3.5207949267026417,0.41353255168830944,0,3,81,122,60,82,1
25,0.5266086956521739,-3.100128814554989,-3.338499708308106,0.0,0,0,164,175,34,178,1
9,0.5257971014492754,-0.6391723171080264,-4.254454935481464,0.5002467724858431,1,3,58,233,249,18,0
39,0.5,-0.5796353276250019,-2.8884992444680604,0.1927382569635418,1,2,205,7,247,182,0
49,0.5,-1.029149769195019,-1.1043459014269636,0.5851624504824364,3,2,215,247,68,216,1
28,0.49749275362318846,-4.0,-1.0,0.47790379132503485,2,3,209,130,79,0,1
