trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.9390178515107551,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
2,0.9389968249963204,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
18,0.9386919405370171,-3.7561002239200354,-3.2075389263625613,0.2572564278813464,3,2,237,148,171,35,1
10,0.9367837843520679,-0.3,-1.0,0.0,0,0,210,256,0,256,1
43,0.9366576252654597,-3.9099471034100994,-2.065789154322998,0.7,4,3,256,256,36,256,1
4,0.9364368468638954,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
40,0.9362528648625916,-2.0305959002739025,-4.95192910407958,0.0,4,1,186,135,200,0,1
30,0.9359900334321579,-0.3,-2.7567558655182203,0.4927973338289712,3,3,256,256,199,15,1
31,0.9353592379991169,-4.0,-1.0,0.22516990296193495,1,3,8,256,0,256,1
26,0.935243592169726,-1.7205724467622536,-3.072583095369567,0.06384780251597363,2,1,256,256,0,256,1
37,0.9352330789125086,-4.0,-1.0,0.11395725203173573,0,3,8,256,0,256,1
48,0.9350858933114657,-0.3,-1.0,0.47193802682285074,4,3,90,0,0,252,1
38,0.9349807607392923,-1.4401485436220263,-2.7382398915814052,0.42439519115332086,2,2,256,16,116,87,1
1,0.9343920183351206,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
27,0.9342658592485124,-1.5089007820184825,-3.693573821187414,0.48309295720415424,3,2,255,225,249,142,1
13,0.9342132929624256,-0.3,-5.0,0.0,4,0,201,0,0,0,1
39,0.9340345675897307,-1.5344409496054072,-4.052335097663923,0.12526129346933493,2,1,8,255,29,128,0
15,0.933897895245905,-0.3,-5.0,0.0,4,0,133,46,116,121,1
34,0.9337612229020795,-2.3717035584494983,-1.6252245848294158,0.31837726724961696,1,0,8,75,163,105,1
46,0.9335824975293845,-0.9369177816613248,-2.724075359294659,0.7,4,1,211,256,57,256,1
23,0.9335194179860804,-0.7140023903262822,-4.306476225134905,0.4303593900697875,4,1,137,153,250,120,0
28,0.9334668516999937,-1.1797479155399557,-3.892926856049092,0.37586406397173827,2,1,8,207,2,41,1
22,0.9327624634664312,-2.563713187474126,-3.1604306201254455,0.362626959462633,2,3,154,117,188,165,0
6,0.9326573308942577,-1.5888287007862236,-4.3750235429923325,0.4927600592647888,3,0,157,252,240,65,0
7,0.9325416850648669,-3.277646737648243,-3.846307421006915,0.11452400094760198,4,1,256,12,252,250,1
50,0.9324786055215628,-0.3,-5.0,0.6336288374162978,4,1,256,144,14,212,1
9,0.9321474379192162,-0.5770346962481425,-3.349955854222281,0.5701091749348856,1,3,256,229,231,73,0
29,0.9320160222039993,-0.9440341231069023,-3.9812051972609837,0.23995898193777082,2,1,8,226,242,9,0
21,0.9317952438024348,-2.2131785881194426,-2.8684718646781313,0.5418662342922913,2,3,256,256,205,71,0
42,0.9315534388864358,-4.0,-3.3921647575572385,0.33751582161429605,0,3,256,256,0,247,1
49,0.9314588195714797,-3.7095601365694963,-1.0,0.0,0,0,136,256,0,74,0
44,0.9314272797998276,-2.6773841129920313,-2.498425274022501,0.28242396472124554,3,3,128,103,214,44,1
45,0.9313642002565236,-3.1571251762795307,-4.341035046383685,0.24176908023403285,2,0,23,253,101,251,0
47,0.9312380411699153,-3.4095443673621353,-5.0,0.7,0,0,120,0,0,155,1
24,0.9311329085977417,-2.4936389563541184,-3.0572918910175164,0.060656054584448726,0,1,173,58,241,202,0
16,0.9310330326541769,-4.0,-1.0,0.0,4,0,256,0,0,256,0
5,0.9309909796253076,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
35,0.9306282722513088,-0.994086484572013,-4.469992062470095,0.0,4,0,8,169,0,76,0
25,0.9299974768182678,-2.0565114846057537,-2.121345716871067,0.19275113221621942,1,1,239,155,151,210,1
41,0.9297609285308774,-4.0,-1.0,0.7,0,3,256,256,0,0,1
19,0.9294613007001828,-4.0,-1.0,0.0,1,3,8,256,0,256,1
32,0.9293403982421833,-1.1281420689557642,-2.920622402062381,0.5886238893197462,3,2,256,80,0,9,1
33,0.9279211085178409,-3.7568410117469213,-3.261931675514462,0.30031591020746584,1,1,256,171,116,50,0
14,0.9253401038709812,-0.3,-5.0,0.0,0,0,8,256,0,0,1
11,0.9247618747240269,-4.0,-1.0,0.0,4,3,8,0,256,256,1
36,0.9156941903740616,-1.2859384874451076,-2.882030359189186,0.18115772012749362,2,2,256,70,217,75,0
12,0.895372064172922,-4.0,-1.0,0.7,0,3,69,256,256,256,1
8,0.5,-0.7039365762099479,-2.7262273105548362,0.6106011947497308,0,2,8,53,220,104,0
17,0.5,-0.3,-5.0,0.6901306971387408,0,3,229,256,256,76,0
20,0.5,-0.30000000000385274,-2.872438793616104,0.6999999999979382,4,3,8,256,256,0,0
