trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
17,0.925282280956286,-2.1677152353356894,-1.989866918884494,0.0,3,0,188,111,9,72,1
24,0.9246146891229842,-0.3,-1.8287274534809477,0.06511318128740136,0,0,256,88,102,92,0
36,0.9234845139721187,-2.301301873433613,-4.860587516667892,0.02092847087169096,2,1,198,138,47,201,0
5,0.9207878634958683,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
29,0.9123141781786833,-2.153165298066374,-1.7657509109110223,0.239875156335976,1,1,224,89,0,131,0
46,0.9116308164595555,-2.5171404835471267,-1.0,0.0,3,0,64,124,0,59,1
23,0.9063636745936626,-3.9381332112793945,-4.805174249433614,0.7,4,0,75,0,256,148,0
33,0.9061691793351416,-3.0537654641680687,-4.029639152814882,0.0,3,1,193,150,0,186,1
2,0.9047498896107993,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
28,0.9028101936541979,-0.3,-2.3256198009072113,0.0,3,2,127,184,253,178,1
11,0.9020847789062006,-1.6629592120497816,-5.0,0.3945424073714278,3,0,30,256,41,0,1
3,0.8972276540717845,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.8969227696124813,-1.5244681304639371,-3.680080959980984,0.04497327497148303,2,2,125,16,82,230,1
44,0.8963077440652664,-1.960224820403698,-5.0,0.44705183212997224,0,2,119,87,228,256,1
4,0.895955549948485,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
13,0.8908145671692004,-0.3,-1.9345510405084738,0.7,3,1,159,0,248,157,0
38,0.8897632414474652,-2.3306392138623773,-1.594170136255633,0.08461526685891912,3,1,193,85,30,84,0
8,0.8843699404949641,-3.1933503878126364,-1.8078055519803038,0.6724981992739156,1,2,256,253,130,20,0
25,0.8816470068756703,-0.3,-2.3930810747740177,0.0,3,3,256,184,235,160,1
7,0.88113185727202,-1.9314172886181096,-5.0,0.0,1,0,8,256,0,0,1
19,0.8776729956475116,-0.7695693971292505,-4.799614767297111,0.24687748719455824,0,2,118,196,18,256,1
14,0.8698406190205848,-2.6804618059400585,-2.634265922166106,0.3477363234272431,1,0,124,83,99,191,1
48,0.8612618011312264,-2.2002677147525533,-3.8706088889990298,0.5402610075902124,2,0,152,114,252,154,1
42,0.8406453037280011,-1.0145587575186945,-4.84997941288293,0.0,2,1,204,65,0,31,0
32,0.8391103681742678,-1.0127457559568382,-2.1812692582652056,0.0,3,1,29,24,0,226,1
39,0.8376385121638386,-1.743034606560808,-4.770046312964045,0.23209465589834416,0,0,137,182,220,196,0
41,0.8310887529174289,-1.9909484938861266,-4.000402397984904,0.04879250278301277,3,0,177,114,23,223,0
27,0.8183466851699994,-4.0,-3.4625986327621883,0.0,4,2,96,0,84,0,1
20,0.7974568430791227,-2.5165529726827565,-3.006815824772125,0.26157876000566294,3,2,103,123,116,0,1
1,0.7807512773607519,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
47,0.7608917344771757,-1.7175657464723537,-1.0,0.25358157650268587,0,1,137,92,89,50,0
15,0.753385268823987,-0.48351807955742476,-3.2048884493018335,0.32892012153875805,0,3,38,51,73,149,1
34,0.744459513446456,-3.8389362853369584,-1.4255477260182388,0.2095433863182301,3,1,106,256,0,203,1
49,0.7397180344414307,-2.691119409461043,-5.0,0.0,0,1,255,132,34,183,0
16,0.7190594840093357,-4.0,-3.3977942130373577,0.7,0,2,227,256,55,238,1
35,0.699857019701844,-0.491965469332754,-2.5916068636238836,0.0,3,0,190,176,0,19,1
50,0.6928236506234362,-2.3275094444113953,-1.4509577805265397,0.05468341603157267,2,2,96,120,0,247,1
22,0.6365041317100864,-1.2002942620827404,-1.6650304672146072,0.05858450792644335,3,1,8,174,245,84,0
18,0.6065939149267225,-4.0,-5.0,0.7,4,3,256,0,153,60,0
6,0.5494543619504195,-0.6428504352409719,-1.0,0.5991246735823771,0,2,251,107,73,66,0
21,0.5064656531886709,-0.3,-5.0,0.7,4,0,256,222,256,0,1
43,0.5060240963855422,-0.3,-1.4741531619170676,0.05240350472105845,2,2,94,16,0,256,1
37,0.5,-1.1772801325814783,-4.537789651018556,0.0,4,2,117,155,28,256,1
30,0.5,-0.3,-2.1907607394146362,0.7,1,0,256,254,202,200,0
12,0.5,-1.803889002599313,-1.0,0.7,4,3,186,0,136,256,0
26,0.5,-0.3,-3.0390883532760675,0.0,4,0,238,0,45,153,0
31,0.43931222271284087,-4.0,-4.757920007638205,0.7,1,1,20,209,208,22,1
40,0.3824355011669715,-2.3683326338142736,-4.894177268023808,0.5394242616848232,2,1,141,0,177,128,0
9,0.3212062911331188,-4.0,-1.0,0.0,4,0,8,0,256,256,0
10,0.2478763220420951,-2.937083065705732,-1.0,0.0,0,3,256,256,33,0,0
