trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
40,0.6899590605472958,-1.01036394022697,-3.6675606126329443,0.02738261186301065,2,1,149,154,69,256,0
34,0.6864468864468865,-1.4514648078853232,-4.780401644769837,0.17908895143568115,4,1,195,132,4,256,1
14,0.6858220211161388,-0.3,-3.2130120153341206,0.06894497378211265,3,3,176,0,45,0,1
21,0.6858004740357682,-1.4141677239312265,-3.786956419104957,0.0,1,1,74,0,156,256,0
29,0.6850570997629821,-0.31145969091313264,-5.0,0.22509326059546883,4,1,223,256,256,50,1
39,0.6846800258564965,-0.3,-4.154309296097544,0.7,2,1,198,67,240,121,1
33,0.6840659340659341,-0.6203468824846885,-4.648263138287201,0.24082663238571145,4,3,152,129,131,14,1
1,0.6825468648998061,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
41,0.6823313940961,-1.3689681076231546,-4.144857284993839,0.6272984243837164,2,3,142,39,27,0,1
27,0.6813294548588666,-0.3,-5.0,0.6467671138765314,4,1,256,133,256,6,1
13,0.6797241973712562,-0.3,-4.674348740228125,0.35558980699507536,3,1,199,143,218,101,1
47,0.6779573367808662,-2.6242603706981424,-2.5297262978609476,0.2849940609224599,4,3,52,0,136,172,1
2,0.6775479422538246,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
38,0.6769446240034475,-1.9738950106569773,-4.033630016826917,0.27103252534810807,3,2,256,0,235,237,1
20,0.6765136823960354,-2.834442490677378,-3.7750405969176106,0.5832835968260842,3,2,218,134,256,0,1
48,0.6754686489980608,-0.9439200435928514,-4.251841652180751,0.7,3,1,101,256,212,78,1
35,0.6751993104934282,-3.255847004287818,-3.8815731325780387,0.4324820635415909,2,2,184,35,246,80,1
50,0.6750700280112045,-1.6733540767177986,-2.18849470401033,0.20914513139255964,3,3,43,137,253,69,1
4,0.674703727644904,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.6741435035552683,-2.9974769812051933,-3.3032424154468165,0.0,3,0,217,0,51,57,1
3,0.6727644904115493,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
49,0.6671837965955614,-0.3,-2.958095091381157,0.0,3,3,22,0,184,11,1
25,0.6640702434820083,-1.2829038437164497,-4.1847738293856676,0.665945488022962,4,0,191,55,253,0,1
30,0.6622064210299505,-4.0,-2.628426378707853,0.6673994483335256,4,3,239,187,0,0,1
28,0.6621848739495798,-3.609548281402936,-5.0,0.514550570880456,4,1,245,0,256,68,1
42,0.658521870286576,-0.5568178110695254,-3.4558618568490553,0.0,3,0,248,0,218,198,1
37,0.6583710407239819,-1.166068910135356,-4.638591236064666,0.6286583642010461,2,2,246,89,149,6,1
12,0.6570782159017453,-2.2836292162747647,-4.196049224273325,0.06347458466978287,4,0,20,74,0,37,1
18,0.65229476405947,-1.9487638118266801,-2.545630960991592,0.5049367432966363,0,2,239,67,83,0,1
36,0.6400560224089636,-0.3,-3.133718823832343,0.44585223288315046,3,3,194,52,95,241,1
26,0.6374811463046757,-1.475581948084534,-1.0,0.5035775565308482,2,3,216,0,128,0,1
45,0.6373410902822667,-0.3,-3.6924735579404526,0.5918822229539417,4,3,82,0,156,112,0
10,0.6338073691014867,-2.351071843532843,-5.0,0.0,3,1,64,235,0,256,0
15,0.63357035121741,-3.592815944277535,-5.0,0.47223049841797193,1,3,35,0,256,0,1
5,0.6332471450118509,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
43,0.6228937728937729,-2.3378808124316057,-3.959503041531944,0.7,2,1,250,98,107,152,0
19,0.615653953889248,-0.7425788231724231,-5.0,0.6994420847569974,2,2,191,10,107,0,1
11,0.60353372118078,-4.0,-1.0199123625047775,0.7,0,2,256,252,256,75,1
8,0.5849493643611291,-3.159662613672164,-4.4889445285443,0.5765607653121247,1,1,142,152,35,180,1
24,0.5753932342167636,-3.8032746073528396,-3.5929959400078895,0.7,0,3,59,253,256,29,1
17,0.5366731307907778,-0.9300143016302749,-1.0,0.2963078942004225,4,0,51,226,77,0,1
23,0.5356711915535445,-0.3,-2.1715968596532793,0.0,1,0,165,0,256,256,0
16,0.5161818573583279,-3.0731798836289532,-1.0,0.6590992540698014,2,3,202,216,256,256,0
7,0.5,-0.3,-5.0,0.7,0,0,256,256,256,0,0
9,0.5,-1.245318709688974,-1.0359384890767034,0.5320915941086807,1,2,89,82,196,13,0
6,0.5,-0.3154239480643861,-3.3412065987759183,0.08186163489762005,2,2,13,254,79,250,1
32,0.5,-0.6015394448694531,-4.995580670770522,0.26896874555957384,1,0,77,0,163,256,0
31,0.5,-0.3,-5.0,0.3572936600609609,0,0,242,165,256,49,1
44,0.5,-0.3,-3.3143593910618554,0.6073182075131759,2,1,228,253,19,256,0
22,0.4095669036845508,-3.8926916440403496,-2.840693079402076,0.0,0,3,35,0,80,181,0
