trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
6,0.871914028463549,-2.570437892593814,-2.7680307404261897,0.5398759469873285,2,0,241,220,254,256,1
3,0.865330622519121,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
46,0.8637124324025283,-3.455654894593663,-1.751223195521891,0.027957887261661048,4,0,30,154,219,235,1
50,0.8632560198055406,-1.4898626025963573,-4.505068208192106,0.459569219562101,4,0,87,230,235,106,1
8,0.8598951634095404,-2.14032337219498,-3.098554105389275,0.28811866335567504,4,0,34,27,254,236,0
30,0.8577375765874168,-2.1397978774964814,-5.0,0.0,4,1,38,0,256,0,0
32,0.8574471322075155,-1.3824268834030118,-4.11218695110118,0.7,1,3,79,0,256,256,1
5,0.8568109207086843,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
7,0.8566726138611125,-0.3206039528660316,-3.0823030029165652,0.5685541252261187,1,3,159,153,255,229,1
11,0.8564098308507254,-3.9051668305200056,-2.1997982287289304,0.043741386752216276,3,0,238,211,230,1,0
48,0.8561193864708244,-1.4093089799361782,-1.4155829564201814,0.046380984612068445,3,0,191,7,180,249,1
10,0.8559879949656308,-3.7552644936339425,-1.2535975607752556,0.28170919323319044,1,3,246,120,8,253,0
45,0.8558842648299517,-3.0524526152288916,-2.9861946834872186,0.6228260539705188,4,2,8,0,127,256,1
33,0.855552328395779,-1.2905012808318954,-1.8930084270818512,0.7,0,0,240,0,190,20,1
25,0.85549700565675,-2.2563942081323183,-2.2518265875313497,0.0,4,0,104,0,186,0,0
44,0.8543490588219023,-0.6145761539250216,-2.4845475599439655,0.6012585120007069,4,0,256,0,256,256,1
37,0.8538234928011286,-3.6082836858039844,-4.3728659913203956,0.7,0,2,33,256,0,0,1
23,0.8534638949974414,-4.0,-5.0,0.0,3,0,163,256,256,32,0
21,0.8532771807532191,-1.8495959301695484,-4.386043847544739,0.5770358856324049,4,0,256,256,17,256,0
29,0.8531319585632684,-3.4256409406955135,-5.0,0.6726738839671332,2,0,157,0,256,207,1
28,0.8526617152815237,-1.6196432347883052,-1.0,0.343730692157974,0,3,8,256,256,256,1
17,0.8525234084339516,-4.0,-2.759885611561461,0.031418652680881225,4,1,59,74,188,129,1
4,0.85248191637968,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
38,0.8524335089830297,-2.3119936369841767,-4.226995367819445,0.7,4,3,256,127,0,196,1
12,0.85213614926075,-3.987327170663874,-3.888664781563854,0.20971228178636525,3,1,198,21,252,254,1
1,0.8519701810436635,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
40,0.851596752555219,-3.399726605510062,-1.0,0.0,1,0,8,161,256,0,1
34,0.8515137684466758,-3.467232839386641,-3.4767938615116,0.26511579765935384,4,0,256,256,256,62,0
42,0.8511887473548815,-0.3,-2.6750375914478153,0.0,1,2,8,0,0,0,0
35,0.8511126785887169,-1.7932770531293234,-2.492925265965116,0.463135584526445,4,0,256,256,256,0,1
43,0.85084989557833,-2.385173742658109,-2.834224000921353,0.6140366997022492,0,3,256,256,0,0,1
2,0.8506839273612437,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
22,0.8506562659917293,-0.811344969243935,-2.939758123513478,0.7,0,3,8,256,0,256,1
18,0.8505594511984289,-1.4936670756380934,-5.0,0.7,0,3,8,145,0,256,1
13,0.8497157794282395,-2.8574782927104034,-4.656869997315164,0.44208057632732994,3,2,256,118,41,125,0
9,0.849480657787367,-0.3111682468928967,-2.182129427973337,0.45935160409967535,1,1,256,124,241,17,1
41,0.8486093246476634,-1.017833718737244,-3.62563666740712,0.17337702861648666,4,0,256,0,256,0,1
31,0.8483603723220337,-2.9881055170595996,-2.3040902168162902,0.0,4,0,192,88,256,256,0
39,0.8481667427354328,-4.0,-1.6540794335584348,0.2144777947934051,2,2,8,0,256,256,1
26,0.847903959725046,-2.699840721575301,-3.546997665952863,0.020490771066659308,1,0,8,52,256,0,0
36,0.8474198857585439,-2.7076326610843666,-5.0,0.7,0,0,256,256,97,231,0
47,0.8448473783937044,-3.5428499864794585,-2.6347000578510125,0.21064363767806002,4,0,8,0,256,256,1
15,0.8442457436067659,-4.0,-1.0,0.5507897386556315,1,1,252,0,87,51,0
49,0.8401311148914983,-3.177150885858952,-4.08749610776141,0.11614111730239829,3,1,10,21,193,246,1
24,0.8259615783577445,-0.9943261010859672,-1.0,0.06487242397855737,2,1,8,0,127,256,0
20,0.8066470270943115,-2.5885751004444257,-1.0,0.0,4,0,256,256,256,256,0
14,0.804696900543546,-0.9280826518009166,-4.49286193443999,0.6054886293696238,4,0,27,254,11,188,0
27,0.7287871872536409,-0.3,-1.0,0.2268008811890311,1,2,225,53,108,64,1
19,0.5186783397646018,-0.3,-4.871790678510637,0.7,0,2,8,256,52,128,1
16,0.5,-0.3148691631043605,-4.976020593700602,0.26439921404425654,2,0,43,233,153,13,0
