trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
46,0.6862140502444014,-2.7397457515259656,-5.0,0.4360258246741888,0,2,170,66,242,111,0
34,0.6669176992156417,-2.798247364116897,-5.0,0.5345095375180936,0,0,119,253,207,0,1
19,0.6620012504262817,-3.334315809382612,-4.845770088847301,0.6220752211347798,0,0,256,103,256,65,1
37,0.6534756166875071,-3.3778582919733284,-5.0,0.5230699639256384,4,0,228,35,256,190,1
6,0.6476355575764464,-4.0,-1.0,0.0,4,0,256,0,256,256,0
3,0.6432448562009777,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
43,0.6430743435262021,-2.939125633829911,-4.40384111045915,0.39280735776513037,1,0,255,229,234,201,1
21,0.6323462544049108,-3.060559917478638,-1.0,0.7,4,3,237,63,256,200,1
16,0.6255115380243265,-2.4397396158431146,-4.1422898664396985,0.7,2,0,228,10,182,0,1
40,0.6242326929635102,-2.721996902275185,-4.224595937463097,0.7,3,1,45,201,226,42,1
38,0.6151955212004092,-2.5186516044112754,-5.0,0.5370045949334811,4,1,193,251,256,89,1
4,0.6144708423326134,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
27,0.6123820620666136,-2.9690525558891085,-4.570360589874379,0.7,0,1,227,177,187,8,1
25,0.6084602705467773,-3.0915382242101224,-5.0,0.7,2,2,226,149,256,140,1
41,0.6067551437990224,-4.0,-5.0,0.5285506845041128,2,0,30,242,92,256,1
39,0.6040553597817437,-2.944782591907086,-5.0,0.5894637117561096,3,0,159,79,256,139,1
17,0.6005882687279753,-2.3343360932581674,-2.7769717732207555,0.7,0,1,168,242,80,252,1
15,0.600076730703649,-2.0946254488415295,-5.0,0.2957887723486955,2,1,140,155,0,106,0
26,0.5957286574968739,-0.7419269928625956,-5.0,0.14669222404212517,2,0,158,248,97,56,1
10,0.5952597476412413,-3.1653586489493337,-4.408422275943744,0.16117391252252652,4,1,197,56,73,256,1
1,0.5924320791178812,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.5920342162100716,-1.1056335886258273,-2.070515317799653,0.3250882891326402,1,1,97,256,256,65,0
36,0.5917074002500853,-2.9827932622576574,-4.881804502993803,0.599408136950498,0,0,236,216,83,197,0
49,0.5901443673979766,-2.0136866617173554,-3.4359147433453066,0.4172395581639752,3,2,86,203,237,135,0
48,0.5896044105945208,-2.69686876247521,-4.2833383236061024,0.48283250221733703,0,1,200,72,256,157,0
47,0.5892349664658406,-2.776980590941885,-5.0,0.27990220132094307,0,2,143,35,256,194,0
29,0.5890218256223714,-2.31402731771853,-4.463024038644342,0.04723792021016812,2,0,113,68,256,4,1
9,0.5880271683528475,-1.0969502370221207,-2.8245223779654802,0.4936273492571881,1,2,36,8,210,90,1
12,0.5878282368989428,-3.309884183383697,-2.8891434143235304,0.0,3,1,50,143,256,160,1
5,0.587742980561555,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
28,0.5877145617824258,-3.340725507894692,-1.411458999461901,0.57129075446577,3,1,205,57,256,149,1
11,0.5876577242241674,-0.7153906509410621,-4.654145601511683,0.028855269904703076,4,3,100,241,256,60,0
13,0.5871177674207116,-2.45981475097706,-4.98893780185637,0.7,4,2,13,253,60,146,0
32,0.5868904171876776,-0.6936882373337885,-2.9919839472685053,0.7,0,0,238,241,47,0,1
30,0.5867199045129021,-2.7548326141341057,-4.811262945565163,0.0,0,3,39,101,89,80,0
14,0.5866630669546437,-2.691569407320772,-2.7519206632991056,0.0,0,3,216,3,216,203,0
50,0.5859525974764125,-2.667778587437316,-1.7479205272108582,0.2954058022378332,0,2,184,62,231,108,0
20,0.5858673411390246,-3.3960328695994355,-3.844503637731934,0.021331045363360168,3,0,201,236,256,21,0
23,0.5852989655564397,-3.6941025707439206,-5.0,0.19473842595599153,0,0,199,37,256,26,0
45,0.5852705467773104,-1.9237812250760453,-4.545407804948232,0.47243071213527704,3,1,63,233,190,0,1
22,0.584645333636467,-4.0,-3.0538051474099746,0.6985608533796347,3,0,256,0,256,30,1
18,0.5826844378765488,-3.122919378152847,-3.221039874381426,0.1232800373962262,0,0,19,115,190,256,1
24,0.5670825281345914,-2.0578579465100106,-1.0,0.026223574086063003,0,2,75,31,152,235,0
2,0.561910310333068,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
33,0.5538109582812323,-4.0,-1.906603901417454,0.7,0,0,113,15,130,54,1
8,0.5,-0.30673737868348283,-2.266767750346638,0.46189893229877943,2,0,237,178,80,89,0
31,0.5,-1.0982595115143674,-5.0,0.5411338626835812,1,0,45,6,256,122,0
35,0.5,-0.3042003502992765,-5.0,0.5073886153554404,3,0,85,241,5,129,1
44,0.5,-0.4163464775440513,-4.389101875512395,0.21072279855361997,2,0,86,34,256,212,1
42,0.48044787995907695,-2.698552148850191,-4.272899763217109,0.4916221355409979,0,1,120,145,12,128,1
