trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
20,0.8427072906239572,-4.0,-5.0,0.0,0,0,8,67,0,24,1
29,0.8339068234901568,-3.608645695211109,-5.0,0.0,0,0,106,0,256,122,1
32,0.8325721554888221,-3.2579406580830876,-4.4623115454852496,0.0,4,0,67,107,0,256,1
3,0.8305284451117785,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
10,0.8285055889222555,-0.3,-5.0,0.0,4,3,8,256,256,256,1
9,0.8264201701701702,-3.688308748197142,-1.0,0.0,4,3,201,32,256,125,1
40,0.823896813480147,-1.5530952636934723,-3.8574233503489896,0.21664637497475733,1,0,92,184,104,191,0
44,0.8232503336670004,-1.271146168934051,-3.7758421308369616,0.18022092933593004,0,0,72,55,0,141,0
14,0.8232294794794794,-4.0,-5.0,0.013179478643321633,4,3,105,256,256,256,1
15,0.8231460627293959,-2.8569271076395957,-4.775363683189439,0.46179326997776643,1,0,8,256,118,0,1
46,0.8227289789789789,-1.6228138281170672,-2.155659393056745,0.6393649460280182,2,3,196,84,256,256,1
39,0.8212066232899567,-1.45639439906228,-3.4440877167528186,0.0,1,3,42,2,256,78,1
7,0.8194965799132466,-2.8425754095886835,-1.0,0.0,4,3,256,0,216,256,1
38,0.8192671838505171,-0.9225812671679714,-4.5850178471025,0.0,3,3,8,137,111,233,1
48,0.814720970970971,-1.7335674523427382,-1.8518080784494169,0.7,3,3,95,211,256,0,1
16,0.8142830330330331,-3.0723452904253095,-2.963209707263243,0.0319945506996444,0,0,224,256,0,153,0
47,0.8138033867200534,-2.9242018079234255,-3.8362216127315127,0.0,2,0,192,20,0,256,0
18,0.8124687187187187,-1.2458582727445568,-4.696106621477025,0.0,3,1,8,256,256,82,1
11,0.80858983983984,-3.732450479089705,-4.957712504865748,0.15710843409228023,0,0,49,7,172,98,1
28,0.7995182682682682,-4.0,-4.274070419727244,0.14013907260848424,1,0,96,23,221,10,1
33,0.7994765598932266,-3.1444129105583256,-3.515576431017536,0.4790084354305129,0,0,116,113,126,53,1
13,0.7839818985652319,-0.3,-5.0,0.7,4,3,256,0,256,256,1
42,0.7835648148148148,-4.0,-2.8786846062953964,0.43478498654287207,1,2,19,256,0,126,1
26,0.7771312979646313,-0.3934573177764853,-4.377407367917668,0.5592803656015661,0,1,79,124,235,145,1
35,0.776954037370704,-4.0,-2.252342468388364,0.4295848407097679,3,0,13,195,45,239,1
19,0.7739510343677011,-0.3,-5.0,0.0,0,0,8,174,256,0,1
1,0.7718656156156157,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
37,0.7680492992992994,-2.4751892105077955,-5.0,0.0,0,0,8,256,256,0,1
4,0.7631277110443777,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
30,0.7572676843510178,-1.361085815221423,-2.140519151724769,0.37675597472802863,1,0,217,256,256,0,1
27,0.7555367867867868,-3.284503800432347,-3.1370267291137903,0.7,0,0,58,131,179,137,1
22,0.7513763763763764,-0.3,-5.0,0.7,0,1,8,0,0,256,1
34,0.7512721054387722,-4.0,-1.0,0.0036764220539498528,0,3,137,185,0,145,0
31,0.7509697197197197,-3.2260777369946916,-4.660415500814733,0.33880469137737956,3,1,41,0,225,256,1
50,0.7488008842175509,-1.8471086951021642,-2.611976340829805,0.29981510870441713,3,2,50,214,256,0,1
5,0.7428887220553888,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.7385093426760094,-0.3,-5.0,0.0,4,1,8,249,3,0,1
23,0.7380818318318317,-4.0,-5.0,0.7,4,0,37,112,0,162,1
12,0.735130964297631,-0.6262491577430627,-1.80788773634072,0.25775564635169496,0,0,46,253,236,12,1
2,0.7260281114447782,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
8,0.7227957123790457,-2.847907609292527,-4.028147840218954,0.05417273817095836,4,3,241,171,0,7,0
49,0.7185831664998331,-4.0,-4.4768431525023376,0.49901151078472816,2,3,162,119,172,256,0
17,0.7135364531197865,-2.784706966730585,-2.881075923841044,0.2919772301228423,4,3,8,0,256,248,0
21,0.7071967801134468,-1.8113630492821797,-1.0,0.6254883830791641,0,3,195,256,130,107,0
43,0.6514014014014015,-0.3,-4.277570563599856,0.23633654735463672,0,3,152,9,32,54,0
41,0.5207811978645313,-2.838363301888079,-1.530279674744158,0.1600610467537094,4,0,156,119,218,210,0
25,0.5189460293626961,-0.3,-5.0,0.18790587177547177,0,0,8,238,21,246,1
36,0.5118243243243243,-0.3,-4.486527519697144,0.42594774357983156,3,0,254,102,120,12,1
6,0.5,-0.3,-5.0,0.0,4,3,8,0,256,256,0
45,0.5,-0.33535721757981385,-3.297819804080726,0.3688852492316263,3,0,106,223,111,40,0
