trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
47,0.9361570465557194,-3.889443289092477,-1.3230366353126595,0.5939293549285813,3,1,256,0,38,195,1
28,0.9329313250473983,-1.4359368792300593,-3.0609181615492487,0.5163254272232279,2,1,169,175,0,138,1
17,0.932536338740257,-4.0,-1.0,0.0,2,3,8,0,256,256,1
20,0.9324836738993048,-2.6773188274797204,-2.908161066811216,0.3771291285392118,4,0,240,256,0,94,0
35,0.9318648620181167,-1.7108111716826442,-2.3489914523279167,0.7,1,1,167,151,44,256,0
37,0.9309168948809775,-2.494210009971368,-2.5561399836649494,0.0,2,2,31,227,164,119,0
44,0.9306272382557405,-3.3328426189287885,-1.387933598220406,0.25578394209343513,1,2,252,188,50,220,0
23,0.93049557615336,-2.1155655439580263,-4.98568496811996,0.35015015359125984,4,0,256,256,137,100,0
13,0.930232251948599,-3.6466609971609847,-4.523862599745578,0.6561976096353037,3,0,256,256,0,147,0
48,0.9300610912155046,-3.7371595680234546,-1.208287994726561,0.5392837545538449,0,0,181,0,0,239,1
31,0.9299425953233621,-0.3,-1.0,0.003612198891454174,1,3,256,256,0,51,1
12,0.9298635980619339,-3.1616137695321243,-5.0,0.7,3,0,256,256,91,8,0
1,0.929323783442174,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
42,0.9292974510216979,-1.6399671710954813,-2.9080963253537546,0.5543495943603839,3,0,55,125,256,142,1
36,0.9291131240783653,-2.9834724920700633,-4.588456725726441,0.4456518524283605,2,0,82,182,155,256,0
6,0.9289419633452707,-1.9179667136173446,-2.2011745770003244,0.45868842235834645,2,0,214,252,67,140,0
43,0.9286786391405099,-2.0205183416086205,-2.186477097496737,0.7,3,1,36,214,0,197,1
9,0.9285996418790815,-3.9055415625709453,-1.1898521147335983,0.5369713038617531,4,1,250,215,34,188,0
5,0.9280729934695597,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
50,0.927875500315989,-1.0544411207253757,-1.0522361230818755,0.1610093593126913,2,0,110,96,0,228,1
41,0.9274541815883716,-3.3825267155504077,-1.7796555643294272,0.0,4,0,64,47,256,173,0
46,0.9273620181167053,-0.9027067804474607,-5.0,0.0,4,1,147,0,256,254,1
7,0.927269854645039,-3.2794760059179016,-4.181417079004612,0.5589247870069111,3,3,76,16,204,139,0
30,0.9270196966505162,-1.1810756680258727,-5.0,0.39617871919683645,4,1,12,171,0,0,1
16,0.9258874025700442,-0.766820984950686,-4.706179677390922,0.03968990098515803,4,1,21,65,196,49,0
29,0.9254529176321887,-3.733189080054726,-3.6604472848827028,0.40265772225596164,1,3,65,50,102,0,1
14,0.9251500947967137,-2.300145612990555,-3.5462701002682895,0.597222233612383,1,0,171,152,241,76,0
26,0.9251105961659996,-1.2654522859083137,-4.931999935729547,0.0,4,1,214,47,214,256,0
39,0.9246497788076679,-3.7188608406235715,-1.104384773283273,0.0,1,2,40,0,0,45,0
2,0.924044133136718,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
18,0.9237939751421951,-3.7150140318590217,-3.366974996498385,0.02585730939658828,2,3,194,256,27,240,1
3,0.9229381714767222,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
25,0.9216610490836318,-2.6601385879228396,-5.0,0.7,0,3,8,129,0,0,1
24,0.9212265641457763,-2.4107045599438175,-2.352203048186616,0.32996756987519094,0,0,256,227,0,60,0
15,0.9210883189382768,-0.3,-1.0,0.21722615357075695,1,3,198,216,88,159,1
33,0.9195149568148304,-3.026045821935753,-1.1703554951687427,0.08426719740714575,2,1,35,222,194,256,1
34,0.9188698125131661,-1.5886995968282829,-4.587497329406228,0.3330320429350397,0,0,170,192,203,256,1
40,0.9182378344217401,-2.710569208079217,-4.738969700538787,0.16226646763372937,3,3,205,25,256,111,1
4,0.9181193385295976,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
22,0.9169541289235308,-4.0,-4.910230240925859,0.0,0,1,141,29,71,65,0
21,0.9167632188750791,-2.059959624485467,-3.986189998844868,0.2921744195485453,0,3,35,99,35,142,1
49,0.9156967558457973,-0.3,-4.8161141487525665,0.0955954839553665,4,1,237,216,256,238,0
32,0.9156309247946072,-1.219186000332841,-4.343563678020723,0.5696897280416697,1,3,198,2,0,41,1
38,0.9069017274067831,-2.082822639128395,-4.946922152991272,0.0,4,1,148,121,84,16,1
10,0.8364888350537182,-4.0,-1.0,0.6049045808216036,3,1,256,256,256,256,1
45,0.8309326943332631,-4.0,-1.0,0.22796326739707093,4,3,8,256,0,256,0
19,0.5226063829787234,-0.3,-5.0,0.7,3,0,256,256,0,0,0
8,0.5,-0.7039365762099479,-2.7262273105548362,0.6106011947497308,0,2,8,53,220,104,0
11,0.5,-0.3,-4.450165019564792,0.6465257597769012,0,0,243,256,19,256,0
27,0.5,-0.3,-3.7708108340026136,0.7,4,0,134,169,235,256,1
