trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.7028545436664044,-0.35804437516451504,-5.0,0.6676513782266419,1,1,256,178,170,0,1
12,0.6974331235247837,-0.3,-5.0,0.4153726769181888,3,1,256,136,174,194,1
22,0.6948023210070811,-0.9172165046996632,-5.0,0.3222940304424942,0,2,251,223,210,122,1
8,0.6941630605822187,-3.7900506876365445,-3.5826734593387943,0.2850121126993102,0,0,243,256,253,254,0
30,0.6896882376081825,-1.627256901013563,-5.0,0.2736608890179196,4,1,46,16,0,3,1
25,0.6881884343036978,-1.3060857899642597,-5.0,0.572550008066184,3,3,256,61,0,16,0
48,0.688065499606609,-3.5785132120365106,-3.2831723217962696,0.24021257014709813,0,0,112,256,191,79,0
42,0.6870082612116443,-3.582751421341556,-5.0,0.26620597037286253,0,2,233,164,183,26,0
44,0.686934500393391,-3.6070684209244286,-5.0,0.048886889091060974,3,2,88,91,22,8,0
34,0.6863444138473642,-2.001996702412325,-5.0,0.11740875989878789,3,2,240,113,64,158,1
6,0.6835906766325728,-2.6269181538972433,-3.990646411517123,0.11108996014575052,4,2,209,0,9,67,0
18,0.6801976789929189,-1.2076879069082933,-4.044263295012449,0.6897158813473675,2,1,135,84,0,24,1
38,0.6795092446892211,-2.9253842632737515,-3.303748243432415,0.009412081731044217,4,3,54,241,0,13,1
11,0.6789437450826121,-0.3,-5.0,0.47602293890753716,1,1,241,63,57,6,0
37,0.6768292682926829,-0.33694302245320573,-3.2870819514034406,0.3184316529845849,1,1,256,241,206,198,0
27,0.6767309205350118,-3.683103736708966,-3.1887996062508477,0.5153644110541296,0,1,256,0,0,94,1
46,0.6736329661683713,-0.3080985326389172,-5.0,0.7,0,3,60,158,165,160,1
35,0.6730428796223447,-1.0216992303912642,-2.818623055537443,0.6890248950519694,1,3,256,119,135,134,1
4,0.6730182926829268,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.6727232494099135,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.6723790322580645,-0.5669073961182143,-5.0,0.7,0,1,256,232,245,256,1
7,0.6682484264358772,-0.34124940573880247,-5.0,0.06887206641723086,4,1,43,160,91,239,1
3,0.6676091660110148,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.6654946892210858,-3.4776733015591232,-5.0,0.032718373096537245,3,0,23,158,187,197,1
23,0.6586349331235247,-4.0,-5.0,0.14579818465552033,0,1,228,256,256,174,1
40,0.6584628245476003,-2.5291725076421963,-2.000142777465096,0.6362133870420438,1,3,236,47,151,28,0
28,0.6544305664830843,-3.732626142286046,-5.0,0.3303991934104141,2,3,256,163,224,139,1
13,0.6504720692368213,-1.9296182825728332,-4.334421376223892,0.5190771670294287,0,1,172,189,132,115,0
50,0.6495869394177812,-2.2963783146829915,-2.3596017842908235,0.12312550818023947,3,2,217,76,38,214,1
16,0.6440179976396538,-3.0249212931996583,-5.0,0.054203576009006806,1,1,256,216,0,62,0
49,0.6377852084972463,-1.7863076062582328,-2.10259052132762,0.06194785284398975,2,2,111,48,25,40,1
20,0.6329169944925255,-0.6058291592401357,-5.0,0.0,4,1,141,206,0,79,1
39,0.6302616050354052,-2.281950732265539,-2.5445410409869154,0.06142413463782139,0,1,256,203,178,119,0
2,0.626917781274587,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.6244467938631,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
15,0.622184795436664,-0.6073612471102487,-4.678877627074965,0.0,1,0,254,172,228,254,0
36,0.5800550747442959,-0.7384063870084199,-5.0,0.7,2,1,256,114,118,52,1
17,0.5672698662470496,-3.2651274284967675,-5.0,0.5857147461789143,4,1,244,15,157,149,1
24,0.565868410700236,-0.3,-5.0,0.15682320397622662,1,2,144,37,150,169,1
41,0.5449940991345397,-3.939982570300678,-5.0,0.7,1,1,256,213,139,119,0
21,0.531926140833989,-3.611018901165914,-2.4457567181634543,0.47381668364672397,3,1,39,149,248,253,1
9,0.5224970495672699,-3.8411452130386934,-4.0952945505256055,0.6055879450808037,4,1,119,44,133,256,0
19,0.5192761605035405,-4.0,-4.890537636746163,0.1810318891740018,4,0,256,68,256,16,0
10,0.5,-0.41208008613474334,-3.307136760754948,0.12055922946566917,4,2,120,0,182,109,0
14,0.5,-1.0313556009023501,-1.0,0.1400778752546355,2,1,8,256,224,152,1
31,0.5,-0.3,-1.0,0.5870087996081375,3,0,256,256,183,256,0
33,0.5,-0.3,-5.0,0.48106231536981714,2,0,226,222,163,31,1
32,0.5,-0.3,-2.790185262701,0.0,1,2,138,0,0,31,1
43,0.5,-0.3100587382240483,-4.5396882456235215,0.6494117588085574,1,0,58,249,199,0,1
47,0.5,-0.9653512738450205,-4.978226318692615,0.003794505251188167,3,2,8,42,23,71,0
