trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
32,0.6817220692368213,-1.1058477779043896,-3.236896404144052,0.7,1,0,26,188,162,66,1
49,0.6749483674272226,-1.2166720881011455,-5.0,0.6820180617399704,0,0,95,171,249,131,1
14,0.6686664044059796,-1.6050052011071223,-2.190213081768582,0.544341015130134,1,0,72,185,247,138,1
24,0.6675845790715972,-3.8926497299811857,-4.5950410855576616,0.44214272422917245,3,1,47,0,0,59,1
30,0.6674124704956728,-2.011514836506298,-2.411355958519309,0.7,0,0,99,140,152,164,1
46,0.6669453186467349,-1.1838976837977877,-2.6221105723180753,0.6085514162919257,1,0,256,256,171,32,1
31,0.6639457120377655,-3.360717265883686,-3.7748239610635452,0.472550171927601,3,1,146,171,256,75,1
12,0.660749409913454,-1.6297179114423872,-5.0,0.6801435255809096,1,0,256,256,256,256,1
9,0.6581431943351692,-2.2202336343547695,-5.0,0.7,3,0,8,36,0,0,1
47,0.6571843036978757,-2.001163831146486,-3.8593973629471363,0.5905678939902721,0,0,256,122,221,251,1
21,0.6562745869394178,-1.4023648739719188,-2.520868838067169,0.7,2,0,150,206,203,251,1
3,0.6559795436664043,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
4,0.64816089693155,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
22,0.6481117230527145,-0.3350198981437571,-2.6130232266664795,0.49989342235217044,1,1,137,52,74,246,0
5,0.6433049763965382,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.6432680959874115,-4.0,-5.0,0.02981912256679259,2,0,58,36,103,207,0
39,0.6427763571990559,-1.6617383074389496,-2.956640033665712,0.6748880401233267,1,0,13,111,158,210,1
8,0.6425550747442959,-2.0314364504422024,-5.0,0.0,4,3,8,0,256,0,1
26,0.6405881195908734,-0.685274397821364,-4.855596085690549,0.31877816293406935,3,2,58,0,0,5,1
50,0.6405635326514556,-1.5772493684758868,-4.492664858816596,0.4297330801646782,0,0,256,256,114,25,1
36,0.6391374901652243,-1.5907262511463753,-2.591535398092778,0.7,2,0,97,57,148,68,1
41,0.6345397324940992,-0.8410886504966939,-2.1902001665886655,0.3182968904872154,2,0,31,90,164,40,1
25,0.6316753540519277,-1.4833344188344526,-2.935755664068923,0.40649471514612323,0,0,38,0,16,212,0
7,0.6305566483084186,-3.6032000894225775,-3.7738557738235263,0.5191777222022087,2,2,185,20,256,20,1
1,0.6248524783634933,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
2,0.6239673485444532,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
17,0.6202055468135327,-2.237698975550742,-4.85174162863385,0.22548789803916866,2,0,163,129,5,150,1
34,0.6201809598741149,-3.5987759777857113,-3.3225877725529838,0.7,2,0,161,256,203,208,1
18,0.6161732887490166,-3.017752058532398,-2.2363871318984114,0.6845115051610213,2,3,180,190,246,192,1
29,0.6161364083398899,-1.581078742452556,-2.1582698547849897,0.0826007408524103,2,1,133,150,166,95,0
48,0.6130261605035405,-3.6273355445671327,-1.2349551879656184,0.39707494456024167,0,1,256,241,79,90,1
44,0.6047157749803305,-1.0866488616912924,-2.575851458471066,0.018209352833767106,0,1,226,63,162,19,1
45,0.598913257277734,-0.3688471882580395,-1.7560236278558952,0.45588140284552486,1,0,63,171,192,120,1
19,0.595889063729347,-1.6717951838629492,-2.164408025953228,0.0,2,0,84,181,14,14,1
20,0.5911191974822975,-0.3,-1.4669607826542888,0.4874761672056198,3,0,103,59,87,93,1
43,0.5848987018095988,-3.983730719102515,-4.385256209306817,0.5027138564963736,3,0,13,188,163,41,1
42,0.5842102675059009,-2.926750767962431,-2.401613016970622,0.4151326709672263,0,1,10,0,132,114,1
40,0.5840996262785209,-0.3,-5.0,0.7,1,3,149,192,157,13,1
35,0.5813335955940204,-3.7101439119721293,-4.6700748187270955,0.020625515064381816,1,0,20,149,202,9,1
16,0.5801780094413848,-4.0,-3.890349279795407,0.0,3,2,242,15,175,134,1
10,0.5794035208497246,-2.9943445901270125,-1.0,0.7,4,3,8,30,0,0,0
23,0.5721749606608969,-2.511883468961454,-4.954087488245257,0.6032009582467324,2,1,123,50,224,253,0
28,0.5700850708103855,-4.0,-4.66544900238289,0.08420280945598145,1,1,33,0,23,209,0
11,0.5662249213217939,-2.3726949612984223,-1.0,0.0,2,3,253,256,105,256,0
37,0.5655119000786782,-3.8903184163928155,-1.5310363414911299,0.06353535298882758,3,1,222,2,24,52,1
15,0.506294256490952,-1.3721684013638793,-1.0,0.7,2,2,8,256,256,256,1
6,0.5,-0.36962823246278287,-3.211118859190542,0.13041502188074278,3,0,208,47,256,132,0
27,0.5,-0.49676005757021935,-3.4125010016625366,0.6208069471683577,2,0,98,256,63,206,0
33,0.5,-0.3,-2.710746753171419,0.7,0,0,213,15,72,248,1
38,0.46429976396538164,-4.0,-4.466853613070604,0.7,4,1,10,151,22,181,1
