trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
45,0.8838277191218368,-4.0,-1.0,0.0,4,0,250,0,256,256,1
31,0.8828892240656947,-2.9180345590458225,-5.0,0.33197059655545397,1,0,256,92,0,10,1
41,0.8811463046757164,-3.1492970037236336,-5.0,0.2017208454630541,0,2,60,0,0,256,1
23,0.8809033014915368,-3.09733397944655,-4.260168499951074,0.5604163730762576,3,2,210,256,256,18,1
42,0.8780124015418133,-3.2220420851915663,-5.0,0.2729285090049509,0,2,256,223,15,256,1
11,0.8779621250209486,-2.817737255501088,-4.995064216295802,0.6589913190395681,1,2,238,176,179,105,1
14,0.8776772247360483,-1.310666273608149,-4.882102607336829,0.7,0,0,256,256,73,0,1
32,0.8748449807273336,-2.0028237360278087,-5.0,0.0,0,0,256,46,0,239,0
33,0.8746103569632981,-4.0,-5.0,0.0,0,0,256,256,248,256,1
29,0.8742249036366685,-1.2616121125985118,-5.0,0.0,0,0,256,0,80,149,0
3,0.8728004022121668,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
1,0.8722641193229429,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.871945701357466,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
36,0.8704709234121,-3.565136535346333,-5.0,0.26444560731944444,0,0,256,134,0,256,1
15,0.8698340874811463,-3.1669598317946006,-1.0,0.20540957960217165,0,3,256,256,0,256,1
21,0.8697670521199932,-0.6698282030499798,-4.138240494107429,0.06016171644317896,1,2,256,115,150,88,1
28,0.869482151835093,-1.5480821292902558,-5.0,0.13320386771883988,4,3,147,0,0,0,0
12,0.8690129043070219,-2.357781326730742,-3.0673925053698494,0.5527265465981398,1,2,237,66,157,188,0
6,0.8681079269314563,-4.0,-5.0,0.0,4,0,256,256,256,256,0
20,0.8679403385285738,-2.5482819083009174,-3.294898572587438,0.20617076801329323,4,3,142,4,0,77,0
44,0.8675884028825206,-4.0,-5.0,0.7,0,0,256,256,0,256,1
39,0.8670353611530082,-2.4054819861993737,-5.0,0.7,0,0,8,256,215,29,0
7,0.8657281716105245,-1.0114477736069625,-5.0,0.01522552555546996,4,3,153,0,59,35,0
46,0.8647310206133736,-1.2711435949939718,-5.0,0.7,0,3,10,0,247,256,1
8,0.8646891235126528,-3.3972986051332486,-3.8458114229304776,0.6597184954142995,0,0,192,189,171,158,0
35,0.8643036701860232,-1.168965791155804,-1.0,0.7,0,3,256,256,256,256,1
40,0.863968493380258,-1.7912404309715941,-1.0,0.6567960429911673,0,0,256,256,34,0,1
18,0.8638679403385288,-0.3,-5.0,0.7,0,0,256,54,0,14,1
27,0.8637003519356461,-3.0067031903526997,-5.0,0.05039060694473661,0,2,223,138,122,117,0
50,0.8637003519356461,-3.0736352365534683,-5.0,0.7,2,0,8,0,0,0,1
48,0.8625104742751801,-1.377928319935044,-1.0,0.0,1,0,165,32,223,172,1
24,0.861974191385956,-3.28709367755545,-2.140702274449868,0.38643816740634745,4,3,47,97,220,67,1
10,0.8612200435729848,-2.43223525603634,-1.0,0.3424457946643991,1,2,178,0,21,43,1
37,0.8603150661974192,-2.833023438500697,-1.0,0.0,4,0,8,115,246,8,1
22,0.8602480308362661,-0.32489478712392117,-2.3574883135288363,0.41968563596019487,0,0,69,53,256,152,1
47,0.8581699346405229,-0.8135624273318336,-1.0,0.0,4,0,110,0,256,256,1
5,0.8562761856879505,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
49,0.8561085972850678,-2.991736613377175,-5.0,0.0,4,0,223,175,256,256,1
30,0.8554717613541142,-1.9231241566638553,-5.0,0.0,0,0,256,256,256,256,1
2,0.8519021283727166,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
16,0.8471845148315736,-0.3,-1.0,0.7,0,0,8,256,0,0,1
34,0.8466398525222055,-2.863766308749592,-1.0,0.0,0,0,130,0,256,202,0
25,0.845081280375398,-4.0,-1.4229051772942443,0.3977231871398271,1,2,59,125,57,38,0
9,0.8405982905982906,-1.8186643662893824,-1.0094344616627344,0.41762062144580286,4,3,115,244,127,171,0
38,0.8396681749622926,-3.6954823662651908,-5.0,0.03869790228679428,0,3,215,0,0,165,0
43,0.835570638511815,-3.317160587510494,-1.0,0.2636520571176395,4,3,41,248,236,82,0
17,0.7744595274007039,-1.191866455058253,-1.0,0.31897936658471804,4,3,8,256,37,0,0
13,0.5,-0.46234873342448735,-2.2012567917081105,0.14185821794051107,1,2,76,0,101,242,0
19,0.5,-0.3,-5.0,0.7,4,0,92,256,256,78,0
26,0.5,-0.3,-4.7484739216224385,0.5627955121431588,1,2,256,44,256,23,0
