trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
27,0.8695072900955254,-0.3,-3.9596860715010864,0.21044473474512104,3,1,235,256,20,94,1
6,0.863097033685269,-0.6791440972056004,-4.1096606513382765,0.5863781327440475,4,3,164,66,227,255,1
49,0.8621585386291268,-2.2969002744394746,-4.227226581337256,0.6188922673360214,4,0,212,256,0,0,1
15,0.8621250209485503,-0.9484966291337615,-4.89763265536533,0.39333854271437624,1,3,205,174,234,240,1
44,0.8612703200938495,-0.3,-3.6938452764502934,0.0,3,1,63,173,116,17,1
10,0.8606083459024636,-0.3108234837916912,-4.337446283089382,0.6711318980336808,0,0,250,228,234,172,1
30,0.8596279537456009,-1.608404578079472,-5.0,0.7,0,0,186,256,256,256,1
28,0.8594603653427183,-4.0,-4.333589944318122,0.14538747208340522,1,1,153,256,192,67,1
3,0.8593933299815653,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
9,0.8591084296966651,-1.0307292908255903,-3.9956524614717885,0.6984499063663583,2,2,136,246,186,254,1
20,0.8587062175297469,-0.7298031665762572,-2.5632335247933247,0.6865909562867347,1,3,154,3,19,199,0
43,0.8582202111613877,-2.29448827216148,-5.0,0.6618582829807901,1,3,8,22,158,0,1
2,0.8581699346405229,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
1,0.8580861404390816,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.8579688285570638,-3.2740879094702215,-1.0234149949019558,0.6988396926463349,2,3,237,110,253,120,1
38,0.8577174459527401,-0.5138506161042855,-2.7099177507515595,0.7,1,2,198,256,0,107,1
12,0.8576001340707222,-1.0044887996771807,-4.980389628542385,0.688384548463233,3,2,156,244,1,203,1
24,0.8575498575498576,-0.3,-2.5100199719264067,0.02703373444706993,4,1,25,256,0,90,0
4,0.8575330987095694,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
22,0.8572984749455338,-0.3790996873123169,-4.74065027588391,0.29641433265975126,0,3,37,70,167,12,1
42,0.8572146807440926,-4.0,-5.0,0.1975264180765604,0,0,256,256,0,256,0
7,0.8571979219038043,-1.8780411934146914,-3.6998508805107635,0.516836908755768,2,1,153,242,196,0,0
39,0.8560750796044915,-0.917180979391663,-3.584429571833848,0.27812449188839117,2,1,80,140,0,51,0
46,0.8555890732361321,-4.0,-5.0,0.04746791623759275,4,0,8,83,256,54,1
13,0.85532093179152,-3.2920048862829203,-4.9693198378506525,0.17797985255077928,1,3,101,4,16,5,1
14,0.855119825708061,-3.233132777938413,-1.0250189475754072,0.4079261032526664,3,2,140,127,113,255,1
5,0.8548181665828725,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
47,0.8539802245684599,-0.38621108782069413,-1.0,0.0,4,3,256,256,0,0,0
19,0.8538545332662979,-3.4157025483940053,-3.9183205069044904,0.0048310523967680435,1,2,242,15,4,229,0
45,0.852723311546841,-4.0,-5.0,0.37687734942462714,2,0,8,238,66,40,1
25,0.8520194402547343,-0.3,-4.705078186265089,0.012786922928134678,4,2,139,256,195,0,1
50,0.8520194402547343,-2.958915445667492,-5.0,0.22891698796417415,0,3,145,139,88,26,1
18,0.8515669515669516,-2.9019126736923573,-4.550871627147849,0.24117904039078128,0,2,108,228,255,7,0
48,0.8508463214345567,-0.8816353409367541,-3.1154727215563525,0.0,3,3,105,256,0,136,0
33,0.8501592089827384,-0.3,-1.0368496875477433,0.7,2,1,8,0,15,79,1
17,0.850067035361153,-1.3770147692080381,-4.6931532846826505,0.4274123283809069,1,2,71,206,0,255,0
34,0.8491536785654433,-4.0,-1.0,0.0,2,0,256,256,256,0,0
32,0.8474275180157533,-2.9035535504583287,-5.0,0.20425755148674707,3,1,256,256,99,87,0
21,0.8473856209150327,-3.8482515744214933,-1.4005527883630933,0.47687995552251905,2,0,182,141,254,154,0
8,0.8471928942517178,-3.639856140789634,-1.4680325657772628,0.014174425372994393,3,3,243,255,141,246,1
26,0.8465057817998994,-0.3,-1.2268112985669681,0.6237928850356425,2,3,180,0,160,185,1
11,0.8451231774761188,-1.7023580870199222,-1.2876826477910894,0.004696508581409554,0,3,233,144,227,226,0
40,0.8318166582872465,-2.7236384431745875,-1.0,0.0,0,3,256,256,211,39,0
31,0.830987095692978,-4.0,-1.0,0.7,1,2,8,0,256,154,0
36,0.8268057650410592,-0.3,-1.1384981348947898,0.5434259860405144,4,0,8,60,85,141,1
35,0.8167588402882521,-4.0,-3.5796748220537746,0.20838755675850243,3,3,8,4,119,70,0
41,0.8161387631975867,-2.4896336489062847,-1.0,0.6675300473970931,4,3,256,24,38,119,0
23,0.7628959276018099,-0.5703888670691764,-2.6731688128599913,0.5992020372760728,1,0,248,33,41,5,0
29,0.5,-0.3,-2.2338838097771183,0.6563816023140012,2,0,25,0,79,256,0
37,0.5,-0.3,-4.15221623821913,0.532462909006443,4,2,256,78,247,64,0
