trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
22,0.6633679189614478,-3.6428135303255678,-5.0,0.7,0,2,45,72,0,187,1
31,0.6614009638080252,-2.3432745917302746,-5.0,0.7,4,2,210,129,256,11,1
34,0.6587455743509049,-1.1962641562513405,-5.0,0.7,2,1,256,141,256,175,1
42,0.6584997049567269,-1.6594560392361912,-5.0,0.6186049022401284,4,0,256,53,86,0,1
41,0.6557705546813533,-3.1515112330468655,-5.0,0.424686879539601,0,1,8,0,0,0,0
8,0.6554017505900867,-1.56060030015672,-3.8236351611151993,0.6851745440198975,0,3,256,117,243,210,0
20,0.6550329464988198,-1.8747382976697704,-5.0,0.535319395180184,3,0,230,63,256,98,1
3,0.6528938827694728,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
35,0.6524021439811173,-3.9890923277763584,-4.1642758863578315,0.06845516523403328,0,1,256,251,256,55,0
26,0.6510990361919748,-4.0,-4.7630898471505825,0.7,1,2,240,73,104,0,1
4,0.6494025373721479,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
2,0.6489599724626278,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
40,0.647484756097561,-1.164831760239653,-5.0,0.6976256125904756,0,1,256,33,62,0,1
11,0.6448539535798584,-0.3,-5.0,0.0,4,0,256,0,256,69,1
39,0.6394325334382376,-2.4588370633614476,-5.0,0.5352217511955089,0,0,8,256,0,0,1
27,0.638940794649882,-2.1679702461463424,-5.0,0.29912342633917033,2,3,147,41,0,91,1
1,0.6388793273013376,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
33,0.6382154799370574,-4.0,-5.0,0.6016238400656019,3,0,8,81,22,0,1
14,0.637699154209284,-1.9833378183254027,-1.5066183414570844,0.52546093847987,2,1,256,246,2,133,1
30,0.6372320023603462,-2.2500193775076465,-1.3906202319560133,0.3792309185748794,0,3,256,74,256,39,1
36,0.6370353068450039,-3.5346619043174736,-5.0,0.49947045092966974,0,2,256,135,256,0,0
38,0.6362239378442173,-2.744712038228111,-1.0,0.051215439642496516,0,1,8,0,0,256,1
45,0.6351421125098348,-1.4476466774830752,-5.0,0.056067404420454124,0,0,75,129,108,158,1
46,0.6348101888276947,-2.378089061260824,-2.6991202488425627,0.3620222323073354,0,2,8,226,93,27,1
47,0.6333718528717545,-2.343151444482384,-5.0,0.46992737970357523,0,1,219,163,115,204,1
17,0.6308639850511408,-2.072536006399504,-3.5261317445670706,0.13744168142288646,2,3,159,187,40,0,1
13,0.6301509638080252,-1.8299754119491496,-2.503679096671098,0.6323332307740966,1,3,256,151,27,150,1
19,0.6287986821400473,-2.0427535089592856,-3.6710273437901497,0.20334863036642942,1,3,157,166,256,206,0
37,0.6258728363493311,-1.907185671629041,-2.226866114284866,0.008001957374835727,4,2,256,206,98,0,1
15,0.6244222069236821,-1.1496373801015936,-2.60241836696442,0.12448831923174725,4,0,255,245,238,196,0
6,0.6241763375295044,-2.1373207876949016,-3.2670411169625293,0.10821241390573094,2,0,256,0,47,256,1
21,0.6207587529504327,-0.5104765744835262,-2.143660303831953,0.0,4,1,189,94,0,214,1
48,0.6204882966168372,-3.897990190256609,-4.083153358253914,0.10927505367032316,2,1,256,54,53,68,1
49,0.6191728953579859,-0.7219880345913592,-4.224268101434756,0.7,0,1,256,98,241,192,0
24,0.6094241738788356,-4.0,-4.918264239736301,0.5993842801630295,3,3,47,222,123,98,1
29,0.6061786978756885,-2.819154437278757,-3.776411754157607,0.7,0,1,256,256,256,2,1
5,0.6024168961447679,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
32,0.6023431353265145,-1.9644470568257946,-5.0,0.6952081625822144,4,1,8,90,256,15,1
18,0.5976470298977183,-1.1492053612129767,-3.1414403237459405,0.21611811346214974,2,2,248,157,151,201,0
9,0.5976224429583006,-2.3083980125261028,-1.659042747214396,0.0,1,2,256,224,0,14,0
50,0.5972782258064515,-3.3655960319319647,-5.0,0.5872601880458699,0,0,55,180,68,34,0
23,0.5857100708103855,-4.0,-4.062200352147619,0.7,0,1,98,229,123,0,0
10,0.5780266522423289,-2.72073080822269,-2.865837005618945,0.46081625819188377,0,0,8,144,225,256,1
43,0.5378392997639654,-3.3258821165726427,-5.0,0.7,2,3,8,0,0,223,0
12,0.5277709480723839,-4.0,-1.0,0.0,4,0,256,256,0,256,0
28,0.5147521636506688,-2.96823047512271,-3.06386084815539,0.7,0,1,28,60,149,187,1
25,0.5121705350118018,-0.5309390461062895,-3.749089637913338,0.07169799434587878,1,2,215,0,212,256,0
7,0.5,-0.7405776532268256,-4.991448586104233,0.621471116328938,1,0,8,17,228,235,0
16,0.5,-0.3,-4.997577533296533,0.7,0,3,256,0,160,256,0
44,0.5,-0.3666704695766989,-1.0,0.6883628736510279,0,2,8,144,0,112,1
