trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
29,0.935432904992627,-4.0,-4.484159861087243,0.46985851102602444,0,1,129,163,108,0,1
30,0.9339714556562039,-4.0,-2.7430603514402585,0.5410714500393068,0,1,226,71,113,0,1
1,0.9339582894459658,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
49,0.9335106382978723,-1.2939932369406617,-4.607325232580039,0.7,0,1,209,95,146,24,0
31,0.933155150621445,-2.8434446943082303,-1.0,0.06968902062110588,1,0,157,0,0,256,0
33,0.9331419844112071,-4.0,-3.039498430489048,0.4325340490934729,2,2,243,45,0,89,0
5,0.9328786602064462,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
26,0.9328259953654939,-4.0,-1.8393108294939764,0.38248707542205773,1,0,256,194,238,247,0
32,0.932510006319781,-0.7902837520979049,-2.3114682272872495,0.7,0,1,181,54,28,61,0
28,0.9321413524331157,-0.3,-1.0,0.0,0,0,138,0,0,0,0
20,0.9321018538024016,-4.0,-1.4368411254682418,0.0,0,0,256,0,256,256,0
10,0.9321018538024015,-0.3,-1.0,0.0,0,0,87,0,0,0,0
24,0.9317858647566883,-1.2870540347011938,-4.301450781056134,0.5279151553641042,0,2,12,6,9,193,1
16,0.9317331999157362,-4.0,-1.5661836089804266,0.0,0,1,256,256,0,0,1
14,0.9315620391826417,-0.3,-1.3962937743275945,0.7,0,1,8,0,0,19,0
12,0.9313645460290709,-4.0,-1.0,0.0,0,0,8,256,256,0,0
2,0.9308378976195492,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
15,0.9307194017274067,-0.3,-1.4130224946398786,0.0,4,3,256,0,0,0,0
48,0.9306272382557406,-2.6885284547231185,-2.9564735197633647,0.66324794119354,3,2,122,54,44,101,0
9,0.9302454181588371,-4.0,-1.0,0.13990888584705874,0,3,256,256,0,0,1
39,0.9297648514851485,-2.9403539326793116,-5.0,0.6882354698357421,1,1,153,191,161,206,0
35,0.9295739414366969,-4.0,-1.8068161763227462,0.424701242562483,0,1,94,6,0,0,1
43,0.9295344428059827,-3.8964449054935972,-1.947398494133982,0.31768267280946594,0,2,115,90,256,0,1
45,0.9294817779650305,-2.5452252419683594,-1.0,0.7,1,0,57,24,14,34,1
25,0.9292316199705077,-1.9935161781218964,-1.7859056415522598,0.5579209218854713,3,1,8,0,225,168,1
34,0.9287708026121761,-4.0,-1.2268668747340867,0.7,4,0,256,256,146,256,0
47,0.928165156941226,-2.2107309567011493,-3.8860624572079527,0.006730368847772604,1,3,29,203,43,86,0
18,0.9271776911733727,-3.8227044655287994,-4.469561638798684,0.0,4,2,256,0,0,0,1
11,0.9268024541815884,-3.153798256850871,-1.574691434595341,0.0,2,0,256,256,0,256,1
40,0.9251500947967137,-2.7737726937659426,-3.8274151049730936,0.04819390062363802,2,3,234,191,22,166,0
46,0.9227275121129135,-3.0415162515772223,-4.956059433874595,0.14624601516968977,4,0,8,31,256,29,1
50,0.9224641879081524,-3.88275293792657,-2.260679664556751,0.0,0,1,249,118,209,18,1
8,0.9205814198441121,-1.4821148823862393,-1.0,0.5544976810381707,1,3,17,231,168,56,1
3,0.9203970929007794,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
7,0.9201403518011375,-3.060301648743219,-1.0,0.13298301286571654,3,1,231,256,168,234,0
19,0.9175268590688856,-0.3,-1.9058891082882448,0.35172394489156,0,3,8,29,0,0,0
17,0.9166578891931746,-4.0,-4.0198773755117205,0.23371488207313873,0,0,256,128,256,256,1
38,0.9165393933010322,-0.672444408323424,-3.598943551443954,0.014297473658121914,2,1,120,217,63,118,0
42,0.91473562249842,-1.682269542424705,-5.0,0.14759428308435,2,3,199,30,108,175,0
44,0.9109700863703392,-2.7972076743053966,-3.355997025395129,0.0,4,1,142,112,174,61,1
36,0.9075468717084475,-2.156638034699159,-2.6608748578365873,0.49728545876756025,1,0,93,132,59,248,1
22,0.9041631556772699,-1.0864264755868849,-4.649281172879558,0.1282602661525463,3,3,194,170,51,42,1
37,0.9040314935748894,-0.5416818781340731,-3.077553286063144,0.0,3,3,8,0,63,139,1
23,0.8904307983989889,-2.7253809723104103,-1.4047492053891246,0.08279272685851,1,2,201,184,64,256,1
4,0.8853486412471034,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
41,0.8819320096903307,-2.696457957384893,-1.0,0.4992547248091672,3,3,232,187,236,89,0
21,0.6088253107225615,-0.3,-1.5433307343872662,0.0,0,2,8,0,0,0,0
6,0.5,-0.9502084520853633,-4.303795554539861,0.4163432869464723,1,2,50,81,142,88,0
13,0.5,-0.3,-3.725709297101151,0.4803046058507783,0,0,8,0,256,256,0
27,0.5,-1.4630150204513788,-2.026301536933353,0.6425536572465087,1,2,8,143,191,42,0
