trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
50,0.8638679403385285,-0.6383019319935954,-4.659488011757825,0.1246688881769952,1,3,212,55,0,0,1
49,0.8635327635327635,-1.219557387055378,-3.643533966063551,0.2110701155865367,4,3,57,251,236,0,1
31,0.8627618568795039,-3.754574208117377,-1.5532004568895261,0.7,4,0,8,0,0,0,1
27,0.8626445449974861,-2.0702437314975963,-5.0,0.10351294405895652,4,0,8,0,0,211,0
28,0.8626277861571978,-3.473504717843137,-1.9932203077167565,0.48332132986682363,4,0,8,116,0,256,0
2,0.8620244679068207,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
48,0.8614379084967321,-3.6479132454470373,-2.800577000553001,0.5269785783609634,4,0,91,0,73,256,1
37,0.8586559410088821,-0.9945081391593216,-5.0,0.0,2,0,256,0,256,256,0
29,0.8582704876822524,-1.4750144317988712,-4.013840110963164,0.6566301949320329,0,0,256,256,0,252,0
12,0.857851516675046,-3.961416751491355,-3.5985715711739443,0.6032938972858494,4,0,8,180,111,225,0
30,0.8576504105915871,-3.123096191112146,-4.107996364936479,0.7,4,0,8,256,17,0,0
5,0.8576168929110105,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
7,0.8573152337858221,-1.5465233004817196,-4.862951349602867,0.17052133855282897,4,3,203,255,171,229,1
24,0.856913021618904,-0.3,-5.0,0.7,4,3,256,0,256,256,1
13,0.8565946036534271,-3.9979066265997423,-4.189505854689242,0.41141698118738496,2,2,254,77,105,89,1
1,0.856527568292274,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
20,0.8563264622088151,-2.11127980258461,-1.0,0.0,0,3,256,256,0,0,1
9,0.8561588738059327,-2.9367871971527966,-3.055980756840446,0.5101336395050964,3,2,166,255,3,212,0
4,0.8560248030836266,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
44,0.8557231439584381,-4.0,-1.0,0.0,0,0,11,0,256,256,1
35,0.8555052790346906,-3.3772811570647474,-2.59853589820435,0.7,1,0,8,256,42,0,1
14,0.8554717613541142,-0.3295719223880509,-4.5620380895332024,0.0026299240113561886,3,1,239,214,254,212,0
18,0.8552706552706553,-1.8506671992657506,-3.9457394693503183,0.0,4,1,8,0,113,0,1
10,0.8552203787497904,-3.028698667978156,-2.3058184242160613,0.2415413825566532,4,0,166,256,256,106,1
46,0.8549689961454667,-4.0,-4.9864331176030765,0.20543079104516912,1,0,213,256,35,0,1
41,0.8547846489022959,-1.8992196313010319,-2.660734123147859,0.7,0,0,8,0,256,256,0
40,0.8542986425339367,-1.8832414291590922,-1.0,0.7,4,0,8,0,256,256,1
8,0.853393665158371,-2.652115728766962,-1.490395375512234,0.03186861586481912,3,1,23,2,158,228,0
6,0.8531758002346237,-1.4326568193100204,-4.870525863977919,0.4207991668039914,4,3,170,122,256,216,0
3,0.8531422825540473,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
43,0.8526059996648232,-0.9384654556578407,-5.0,0.0,0,0,147,256,0,0,1
39,0.8524384112619408,-1.9162574383624742,-5.0,0.203652615930456,0,0,256,0,159,0,0
23,0.8520529579353109,-3.457757683054359,-3.3022907295182184,0.0,0,3,256,0,85,0,1
21,0.8518853695324283,-2.1234022458001576,-1.9375945514329729,0.0,4,1,256,74,0,64,1
17,0.8515501927266633,-4.0,-1.0,0.0,4,0,256,256,256,0,0
36,0.8515250544662308,-3.094032225065852,-3.567105372996381,0.0,3,0,256,0,225,256,1
11,0.851265292441763,-1.6473739808050425,-2.803161267340763,0.6639904173035824,3,2,214,200,85,111,1
16,0.8512317747611866,-0.5919547081949514,-5.0,0.0,0,0,129,256,0,0,1
38,0.8508463214345566,-2.420941117759723,-1.0,0.43866654977424857,4,0,244,0,256,0,0
33,0.8500083794201441,-2.9762421893878397,-5.0,0.0,0,2,256,0,161,33,1
22,0.8424166247695659,-3.3267255928804422,-1.0,0.6667293952629273,0,3,256,0,0,256,0
25,0.8418133065191888,-4.0,-2.383031774463028,0.0,0,3,256,0,256,240,0
34,0.841159711747947,-2.4515555325817493,-3.6236492311972937,0.0,4,0,8,256,125,0,1
45,0.8409418468241998,-1.5151926923816985,-5.0,0.0,3,0,52,0,0,55,1
19,0.8400703871292108,-3.3823257324070974,-5.0,0.0,4,3,8,249,0,256,1
47,0.8347578347578347,-2.0943431089276583,-1.0,0.0,4,3,100,215,155,256,1
26,0.8321937321937323,-4.0,-5.0,0.7,4,0,8,256,0,0,0
32,0.7953996983408747,-3.66384515043079,-4.087647641300289,0.7,4,3,8,256,0,153,0
15,0.5,-0.35607301323730667,-1.714876639723717,0.1016999100170433,3,2,8,38,76,249,0
42,0.5,-0.3,-5.0,0.0,4,0,8,256,256,256,0
