trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
19,0.6863324468958272,-2.036233674997991,-1.6025605450792937,0.34877471951223016,1,0,219,122,120,121,1
32,0.671952460684855,-1.8329578964821622,-1.8772807670613378,0.27834017884043305,2,1,221,190,82,105,1
27,0.671886798647362,-1.6365263847513316,-2.318039629348292,0.4767997501431694,1,1,217,160,237,116,1
1,0.6678157523227947,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
47,0.6656817361042713,-1.7138076563992275,-2.815108018441153,0.3507875361167732,0,1,238,255,234,109,1
36,0.6635148888670016,-1.5846711574916106,-5.0,0.5929953570247914,3,3,40,127,2,179,1
3,0.6602974490298434,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
23,0.6592796874487017,-1.989558212826958,-1.0,0.4173794065250696,1,1,223,82,227,72,1
2,0.6576053054926293,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
42,0.655142979086641,-2.0041437939690705,-2.563689675338249,0.3292426869971646,1,1,204,112,55,43,1
45,0.65327161101809,-1.971611727244782,-4.419748287372026,0.2837711449025736,3,3,237,52,38,46,0
22,0.6511375947995666,-3.8924976276932903,-3.0385525656532897,0.3595039647964656,1,0,39,127,139,156,0
14,0.6492990577497619,-1.898346699069541,-2.1207390490474873,0.07259872950882545,0,1,37,1,92,84,0
50,0.6485111132998457,-2.0011791000573202,-4.327378404962003,0.29797379829666404,2,2,242,135,82,91,1
11,0.6477231688499294,-3.3318606710809107,-4.516392724835262,0.3202445741805035,2,2,217,201,0,87,1
15,0.6438819396565876,-0.5799865174858523,-1.209273147106308,0.09360850736995224,2,1,28,163,178,239,0
29,0.6438162776190945,-0.6790463934397084,-3.9741050964032896,0.30855666550215216,3,2,33,60,176,158,1
12,0.6406316688006829,-3.541913938698924,-3.7117017170499547,0.6961499012250536,3,2,191,25,211,41,0
28,0.6405660067631899,-0.965899935067311,-3.1112123085046868,0.24522607733709068,0,0,222,87,56,81,0
43,0.6396631537476608,-2.3145325189616233,-2.283783289137987,0.5993810447363392,3,1,37,117,57,104,1
10,0.6394497521258085,-2.011617927442876,-3.8568911491128945,0.15296081951816606,2,0,218,115,231,226,1
4,0.6370202567385667,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
46,0.6369545947010735,-1.973955892730757,-3.1517777694205704,0.11395772982430755,4,2,38,30,114,176,1
38,0.6361994812699038,-1.3121268866215892,-4.601372247127536,0.7,3,0,219,256,198,130,1
34,0.6341639581076199,-3.3795311499920264,-1.6075486817359028,0.31879727880024783,0,2,221,119,111,65,1
41,0.6339341409763944,-1.7591747536542504,-2.5887191810597674,0.45417482678146365,0,2,211,61,7,157,1
20,0.6323582520765619,-2.1047872600876074,-1.817513489851585,0.5148147356132298,2,2,221,126,256,44,1
16,0.6305853770642502,-0.39739452324021496,-4.93767285251957,0.5722660715490696,2,1,183,34,204,218,0
44,0.6293049673331363,-3.2365509353368975,-2.5032449144503675,0.42998306140942266,0,1,158,62,58,71,1
30,0.6266784858334153,-1.3455321758253853,-3.2510902563171267,0.6862757907965404,0,0,37,92,30,34,0
49,0.6256607242522736,-1.1429125106442388,-4.879333538463076,0.4548378184978784,1,3,38,38,184,8,1
9,0.619980958009127,-2.4385186756261623,-4.448463001757154,0.681493757022471,1,0,152,75,145,140,1
35,0.6175514626218852,-0.4414096864043384,-3.0897273982534195,0.212305308688678,3,1,29,177,249,21,1
17,0.6167306871532222,-1.1221638358802868,-3.266801997049326,0.43166388874179573,3,3,8,2,50,2,1
25,0.6056666338356479,-3.0045215512288754,-4.8437426627589115,0.12379686721527229,1,1,216,124,127,97,1
31,0.5995436488394235,-2.116019724315312,-2.66460609164849,0.7,1,1,157,101,232,176,0
21,0.597524541186513,-3.641635012059792,-3.4669495781669246,0.5067544617536308,1,3,186,200,65,4,1
5,0.5971633999803013,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
33,0.586230670737713,-2.242854475275249,-1.0,0.43940537106847394,4,2,222,207,68,194,1
7,0.5588496011031222,-1.095905510640188,-5.0,0.7,0,0,68,61,256,76,1
26,0.5570767260908106,-1.1036096660926464,-1.6904130194925253,0.3688170447709418,2,0,88,205,45,14,1
18,0.5546472307035687,-3.079402944936271,-1.6488806532503975,0.644903129616239,0,1,172,210,224,77,1
39,0.5433533602547688,-0.4781613321034692,-4.461305090994605,0.689557273190493,1,2,44,12,101,256,1
48,0.5243113693817919,-0.9365680722043774,-3.1349350547450534,0.5946132750113451,3,0,15,91,97,30,0
6,0.5,-0.3,-4.875428109594095,0.7,3,0,8,221,63,198,1
8,0.5,-1.2550167754638109,-2.171233647004255,0.6317029782014111,3,2,146,89,108,65,1
13,0.5,-1.0351966939551382,-4.419159304937793,0.510435084768115,2,0,91,221,71,121,1
37,0.5,-1.4056983566980499,-1.0,0.46763885735475236,1,1,224,113,121,188,1
24,0.4270330608358778,-3.2116064890959986,-4.377611006981369,0.6756410822895585,2,1,13,122,7,210,0
40,0.4269509832890115,-3.7140951076947624,-4.233668000543637,0.3190911729063207,1,1,212,80,124,117,0
