trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
49,0.8911944385927955,-2.2910257933777993,-2.900733273548519,0.5623691967682648,4,0,88,241,122,0,1
31,0.885230145354961,-2.648081844366465,-4.039995055865457,0.7,2,0,8,96,0,0,1
46,0.8775937434168948,-2.0947305716467577,-1.40232880316798,0.7,0,1,157,103,0,0,1
24,0.8756188118811882,-3.1607943938399594,-5.0,0.0,4,3,83,256,256,256,0
38,0.8753423214661893,-4.0,-2.6545440973561574,0.7,4,0,104,0,105,256,1
19,0.8745655150621445,-3.1096678267463633,-1.0,0.1970832303093732,4,0,8,223,176,151,1
30,0.8742363598061932,-0.6817274068869703,-1.0,0.0,2,1,256,0,224,59,1
29,0.8734990520328628,-3.28597905421399,-3.2936385880390695,0.2368143837925387,0,0,256,156,13,65,1
34,0.8727222456288181,-4.0,-5.0,0.7,0,0,256,0,0,0,1
2,0.8726169159469137,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
36,0.8726103328417948,-0.7876415580676093,-1.52523299561869,0.6444546407401913,4,0,165,170,5,6,1
23,0.8706156519907311,-2.2251567564975123,-3.4902664050497103,0.4927236828566075,0,3,8,7,232,215,1
47,0.870589319570255,-2.1481097491428573,-5.0,0.0,0,3,256,0,57,0,1
9,0.8693977775437118,-3.0861964553910686,-1.0,0.0,4,3,256,256,256,256,0
41,0.8690027912365705,-4.0,-5.0,0.0,4,0,182,256,84,42,1
15,0.8677454181588372,-3.8179589649212864,-1.0,0.30576669622287433,4,3,256,256,256,207,1
3,0.8654676637876555,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
37,0.8637955550874236,-2.4837647987973996,-1.0,0.7,3,0,256,202,256,256,1
21,0.8637165578259953,-0.3,-2.0508904197990425,0.28263419875608864,4,2,226,34,248,31,1
48,0.8635058984621866,-2.8500651784729474,-5.0,0.5522071893199831,4,0,256,0,0,0,1
28,0.863084579734569,-3.217772994464719,-1.870193379375789,0.33852126570582913,0,2,8,158,198,171,0
12,0.862162945017906,-2.7787075778690498,-5.0,0.3579492711692549,2,3,194,84,65,147,1
20,0.8606093322098167,-4.0,-4.102752117648328,0.044198745586245466,4,1,8,156,204,234,1
35,0.8602538445333896,-1.2626131015745115,-1.6715454051293408,0.20162397414401237,4,3,256,246,218,67,0
6,0.8599510216979145,-3.9994579840101308,-2.8367508929092624,0.6316584735607275,0,1,101,43,79,239,0
4,0.8566989677691172,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
1,0.8559748262060248,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
32,0.8546055403412682,-1.8894150947085224,-3.0452989074251957,0.09179967636147389,1,1,8,256,159,0,1
5,0.8528544343796081,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
18,0.8526701074362756,-2.083448205311221,-2.4945956673286025,0.1345568021095485,1,1,256,256,247,95,0
11,0.8514061512534232,-1.4745332240666715,-5.0,0.7,1,0,256,57,0,0,1
22,0.8513798188329471,-4.0,-3.1964952650066647,0.0,4,3,256,256,207,256,0
42,0.8511296608384243,-0.3,-3.736420708863877,0.7,2,0,256,256,0,184,1
45,0.8508860859490205,-1.6004706137416025,-1.0,0.17666455195025105,2,1,256,256,109,0,0
14,0.8495760480303349,-2.8027341287440026,-1.0,0.0,4,0,256,0,0,256,0
26,0.8493653886665262,-3.224046153791174,-1.0,0.0,4,2,98,0,256,256,1
8,0.8491481461975984,-4.0,-5.0,0.7,0,0,8,0,0,256,0
44,0.8485095850010533,-1.0883174246290586,-1.0,0.0,4,0,256,256,9,256,1
33,0.8482133452706974,-3.5409941044797866,-5.0,0.05966248150141851,0,0,8,256,0,9,1
27,0.8468374763008215,-2.5945823516565545,-1.1438202802813482,0.0,0,3,143,256,0,162,0
13,0.8465544027807035,-3.4297410104266404,-1.0,0.6910380827752034,0,3,198,256,256,10,0
39,0.8434932589003582,-2.6662715051323085,-1.0,0.0,3,2,8,179,118,223,1
40,0.8423609648198862,-3.182668965856835,-1.0,0.7,4,1,8,30,256,256,1
25,0.8063777122393091,-0.3,-4.729784933744986,0.44174528466281415,0,2,8,97,226,142,1
10,0.7843045607752264,-2.2710301195056575,-1.002254126394031,0.0,0,3,8,256,210,256,0
17,0.5039498630714135,-0.3,-1.0,0.7,0,0,8,256,3,256,0
16,0.5,-1.227320585820857,-1.0,0.0,4,3,8,158,254,256,0
7,0.5,-0.3008944076991691,-4.620591698423264,0.4280088018630547,3,3,46,82,231,79,0
43,0.5,-0.3,-4.294792882427757,0.37213643779535244,1,2,256,80,136,160,0
50,0.15907415209606068,-3.556118897496236,-3.1791058343106826,0.4789420696186324,4,1,67,198,199,256,0
