trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
26,0.6175624508261212,-1.7946942486809365,-2.6764010925063246,0.22953457081487905,2,2,137,184,15,247,1
2,0.603080743509048,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
4,0.5828702793076318,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
24,0.5808418568056648,-1.3283501631381234,-1.045707897004844,0.5401364570977689,2,3,165,194,24,28,1
11,0.5794526947285602,-1.1262227460067153,-2.7342398684692557,0.49018798298720523,1,3,182,62,134,0,1
40,0.5782602281667978,-1.9809463501115019,-2.780577378000101,0.07473718997249275,2,2,144,101,19,220,0
1,0.5703186467348544,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
30,0.5701588316286388,-1.966423803553218,-3.2015605454688005,0.5202562262570817,2,2,122,15,127,256,1
23,0.5679460070810385,-2.360802525466701,-3.3403745835967458,0.5441358267447494,2,2,8,102,2,72,0
3,0.5671838119590873,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
9,0.566077399685287,-4.0,-5.0,0.012916438517029701,2,3,21,224,256,0,0
47,0.5650447482297404,-1.733636022770602,-2.9255583715913644,0.3414654333023394,4,2,140,155,0,123,1
50,0.5648480527143981,-3.411299163068621,-2.8223822966589447,0.20016605964495196,2,2,139,9,171,225,0
45,0.5636678796223445,-1.6839469690198565,-2.766191273124869,0.23668050543057886,4,2,43,106,256,36,1
22,0.5629056845003935,-2.0650994512750644,-1.0032419678086488,0.38926218964886944,4,2,168,69,188,34,1
42,0.5609756097560975,-3.167848886831958,-2.2122620825131087,0.7,4,1,230,185,0,133,1
31,0.5566851888276947,-2.375282442611086,-1.758278500841144,0.476537597207886,3,0,53,244,18,239,0
27,0.555418961447679,-3.1201930326763705,-3.605419324420933,0.3586972039822925,3,2,148,210,67,95,1
36,0.5548903422501967,-1.5156959854621967,-4.981851720967957,0.6291568036783066,3,3,77,126,4,186,0
33,0.5542510818253344,-1.4041381848760812,-1.4899791481721323,0.3848303854829914,1,3,74,182,194,155,0
49,0.5542264948859166,-1.2289149545481513,-2.9735191682684,0.37584465584056104,1,2,143,174,8,198,1
20,0.5538331038552321,-1.3716714847851077,-4.913270393023852,0.289601836039512,4,0,8,24,106,93,1
12,0.5536855822187254,-4.0,-3.046716940513555,0.7,0,3,145,256,0,0,1
28,0.5533413650668765,-2.7874636269237363,-2.1507051872097893,0.3592103820146033,2,2,128,133,15,95,1
19,0.5528988001573565,-3.9534174754287466,-1.540715364353754,0.5354867146457364,0,3,108,143,0,120,1
10,0.5518415617623917,-3.0651437198009885,-5.0,0.5270738580983225,2,1,256,224,0,256,0
41,0.5517923878835563,-1.3359380781682466,-2.9135134510994276,0.06250681330147677,3,2,130,138,0,251,1
17,0.5511777143981118,-1.666044132300736,-2.9695732555384713,0.6364422065086186,1,3,142,117,85,29,1
43,0.5498869000786781,-2.2908878795936785,-2.2662356373314445,0.5373260956360179,4,3,150,179,0,113,1
48,0.5447113493312352,-1.6379057797753274,-2.4327005347799204,0.2589699858425928,2,2,187,106,213,212,1
25,0.5441950236034618,-1.9495750272010044,-4.281101890484638,0.3843070018603925,2,1,90,59,142,33,1
44,0.5412445908733281,-1.698340821861183,-3.5101633136798283,0.0,1,2,92,184,200,225,0
16,0.540015243902439,-2.019623891993412,-1.6037138648275766,0.07502342431556626,4,3,246,0,65,0,1
15,0.537654897718332,-2.891138665653373,-3.9484303689914753,0.3410181135437049,0,0,200,141,0,0,1
6,0.5353806058221873,-4.0,-1.0,0.7,0,3,256,256,256,33,1
29,0.5336964004720692,-1.7564897810649596,-4.6956955290217826,0.4160091625580832,0,0,148,86,184,256,1
37,0.531704858379229,-2.504874361792882,-3.2803747597229913,0.13815156219849326,2,3,132,122,109,240,1
46,0.5315696302124312,-1.7976768576562168,-1.6168989063902117,0.3886173547302763,3,2,145,176,2,253,0
7,0.530450924468922,-0.7990796881956705,-1.0,0.13129871122727932,4,3,238,36,0,209,1
32,0.5272300354051928,-3.905148243795959,-4.266964318304561,0.32940983776351923,3,0,8,151,209,73,0
35,0.5200506490952006,-1.4840781908778293,-1.0658730336380855,0.4075953346320631,1,2,8,21,124,201,0
34,0.5158708693941778,-3.477475152302347,-3.058318352535113,0.5018820506702139,3,3,255,74,137,37,0
8,0.5,-1.2309071659799722,-1.0971890716570813,0.0052100215560635845,3,0,54,18,256,256,1
21,0.5,-0.8196557820211812,-1.806500474660381,0.47550328862821806,0,0,226,168,105,40,0
39,0.5,-1.3729458987322873,-1.1280511191228948,0.2917561970075881,3,2,141,120,12,103,1
18,0.5,-0.3,-5.0,0.6956266356562417,2,0,221,214,256,224,1
38,0.5,-0.6211501669816295,-2.408750649194018,0.3429434929949054,1,2,180,14,167,174,1
14,0.49819285995279305,-4.0,-5.0,0.7,4,2,8,27,0,0,1
5,0.48781717151848936,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.4345126868607396,-2.615056726663988,-3.360983380904247,0.002618533225343964,4,1,177,10,237,173,0
