trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
49,0.8825121501592089,-1.754948158421604,-3.641120513424228,0.1652300289133496,2,3,252,80,82,24,1
48,0.881791520026814,-2.2488248329016214,-5.0,0.5725057479063356,3,3,256,102,31,0,1
27,0.880517848164907,-2.9070353657651276,-5.0,0.7,4,0,256,256,142,14,1
18,0.8794788000670353,-2.127480397626427,-5.0,0.25625138819819626,4,3,41,174,117,28,1
42,0.8785905815317581,-2.2715094133306875,-5.0,0.1740153075942106,3,0,256,3,11,0,1
3,0.8769146975029327,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
40,0.8766465560583208,-3.276679484738771,-5.0,0.7,3,0,256,0,256,0,1
30,0.874400871459695,-1.5076991834608537,-5.0,0.7,4,0,256,194,256,0,1
12,0.8740824534942181,-1.861293546658188,-4.693337065161846,0.23905899901631208,4,0,167,177,0,25,1
50,0.8740154181330653,-3.1194925452241105,-4.95521717223456,0.6500592271050859,0,2,230,67,53,249,0
17,0.8736467236467236,-2.029461953540613,-3.0672699282954405,0.3670183724538235,3,0,163,200,256,209,1
34,0.8707809619574326,-2.632410616555315,-5.0,0.0,4,2,141,0,256,0,1
33,0.8703955086308028,-2.090191766381712,-3.9542036743614335,0.0,4,3,256,256,0,0,1
44,0.8698089492207141,-1.676640477365115,-5.0,0.7,0,3,256,256,0,256,1
6,0.8694737724149489,-0.3,-5.0,0.0,4,0,8,0,0,256,1
47,0.8694570135746607,-2.8477407923262916,-3.7552179675870088,0.02836296620302303,0,1,256,14,233,0,1
45,0.8694067370537959,-3.271486501026341,-5.0,0.10083050693571884,2,1,256,252,0,256,1
1,0.8674962292609352,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.8670940170940171,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
9,0.8660382101558572,-4.0,-1.7823404452302327,0.2702210167348302,3,0,247,247,256,214,1
23,0.8645466733702029,-2.738538226932044,-5.0,0.0,0,3,8,256,0,123,1
37,0.8644126026478969,-0.3,-3.5989311825110875,0.6264531156958068,4,1,70,229,218,256,1
28,0.8625020948550359,-2.6879181714844087,-3.965745080486051,0.7,4,0,8,256,0,0,1
35,0.8611111111111112,-1.0984926699607391,-3.7894234719396964,0.571306852697803,4,0,256,256,0,0,1
41,0.8587313557901792,-2.0037830324547845,-2.098661625302349,0.7,4,0,256,0,128,0,1
32,0.8556477291771408,-0.3,-5.0,0.7,0,0,256,0,0,0,1
46,0.854725992961287,-1.02549582910139,-5.0,0.5758749050851536,3,2,256,106,199,256,1
24,0.8525305848835261,-0.3,-5.0,0.0,4,3,8,256,0,256,1
16,0.8518267135914195,-4.0,-5.0,0.14749888410061973,1,1,73,242,59,54,1
38,0.851525054466231,-1.2040409365257219,-2.8997301139699734,0.4181058352890541,2,2,240,225,18,256,1
31,0.8511228422993129,-2.4518756376319892,-5.0,0.7,4,0,8,256,256,256,1
25,0.8494804759510641,-2.1136695510728987,-4.0705785457854455,0.04551949118977235,0,0,8,0,256,256,1
13,0.8466314731020612,-0.3,-2.724706512362656,0.32489642557556,2,3,243,36,89,54,1
15,0.8461119490531255,-4.0,-3.8460871269710353,0.445000028445925,4,3,256,0,256,256,1
29,0.846011396011396,-4.0,-1.0,0.7,4,0,8,0,256,0,1
43,0.8459862577509637,-0.3,-3.9995213357171107,0.5121895518365338,4,0,8,0,256,0,1
11,0.845743254566784,-4.0,-2.8179772611340224,0.3556634746160532,1,0,8,164,0,0,1
8,0.8403469079939668,-0.3,-5.0,0.0,4,0,256,0,256,256,1
2,0.8346991788168259,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
10,0.8199346405228758,-2.9514315385919208,-1.1386955248026234,0.6785455291238441,2,3,53,230,256,102,1
21,0.7903133903133902,-3.8285564121696507,-1.0,0.6956180196011957,0,3,155,174,0,256,0
26,0.7875230434053964,-4.0,-3.2437603674643976,0.7,0,2,31,256,0,256,0
22,0.7851935646053294,-4.0,-5.0,0.7,4,1,8,100,0,256,0
7,0.7812887548181665,-2.135014045927246,-4.076648759818255,0.6347573317762472,1,1,82,256,126,188,0
5,0.7792860734037204,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
36,0.7765376235964471,-2.72566789085035,-1.0,0.630005088565338,0,1,8,66,5,0,0
19,0.7692978045919222,-4.0,-1.0,0.1872150692317959,0,3,163,249,256,15,0
14,0.7273001508295627,-0.3,-1.0,0.21857185897456752,1,0,93,61,56,29,1
20,0.5,-0.3,-5.0,0.393062305302876,1,0,112,243,256,72,0
39,0.5,-0.3,-1.0,0.451681680803698,4,2,145,204,180,256,0
