trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
47,0.6438819396565876,-0.9873857249225844,-3.466446791066255,0.19616825309621083,4,3,8,0,55,131,1
3,0.6308151941954758,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
44,0.6278932335270363,-2.5637673119172026,-2.7266976641746377,0.6355249793946337,0,0,193,35,160,32,1
32,0.6209987195902689,-2.5948521428394216,-2.4411904787217074,0.6807239429780139,0,0,118,146,81,122,1
12,0.6193571686529433,-2.593523172394118,-4.696140172831484,0.39639776192082393,1,1,45,156,241,107,1
19,0.615483108440855,-1.8411896990631411,-1.862610541763901,0.30395427968317007,1,0,52,9,80,224,1
10,0.614334022784727,-3.217739382112696,-2.037680094397803,0.6139258521796265,2,0,96,0,127,3,1
1,0.6126268098099084,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
2,0.6084572704291015,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
40,0.6071111986604945,-2.338524768816253,-4.307204774942645,0.28056283718895014,0,0,206,0,197,58,1
26,0.6069798745855084,-1.9798672373626722,-1.6085755009336014,0.36193347727384895,2,0,180,32,28,36,1
17,0.6051085065169571,-3.8010812354089327,-4.711855793082333,0.6639675869600492,2,0,256,46,140,33,1
20,0.6025805180734759,-4.0,-3.292151993954765,0.4410740853387271,1,0,45,177,142,40,1
16,0.6012016152861223,-4.0,-1.059834843956903,0.5042511940938034,1,2,124,62,40,0,1
41,0.6011031222298828,-2.2621484726527092,-5.0,0.5104803804546612,0,0,256,0,256,207,0
25,0.5967694277553433,-2.854549095469218,-1.9760499016839446,0.1648863599297492,2,3,136,6,58,33,1
38,0.5964411175678781,-2.4991647375720127,-4.488993528102914,0.49276899092285115,0,2,195,38,148,123,0
33,0.5955546800617223,-2.5512815572832093,-4.913934217578236,0.48192743185683157,2,2,161,161,198,151,1
7,0.5925834728651631,-0.821329334120934,-2.9983446506991265,0.545525496877123,4,1,143,131,256,49,0
5,0.5921238386027119,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
30,0.5919760990183526,-1.9489348197167695,-3.3439490181188125,0.054474540709346674,1,0,181,125,41,0,1
4,0.5897435897435896,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
21,0.58898847631242,-0.9355877219398998,-2.3050055734981343,0.0,4,1,256,65,23,50,0
45,0.5887586591811944,-3.5744754705575557,-1.508518235791708,0.26021827986338,4,2,104,0,94,21,1
13,0.5878065596375456,-3.1686441707812567,-4.083250660428469,0.33682919102242354,1,2,229,165,100,238,1
43,0.5853114022128106,-2.7339558360879543,-4.863766949532234,0.22605392047798498,2,0,57,0,214,237,1
42,0.5843593026691618,-1.0836019829081343,-4.710759915117827,0.14616207973463574,2,0,113,210,78,37,1
36,0.5837683443317246,-2.5729706633814633,-2.5115972735431686,0.2959299263881038,3,1,214,132,179,67,1
6,0.5835056961817525,-3.3213325190575627,-2.5515616899965665,0.14985559501938772,3,1,114,204,256,3,1
31,0.5822252864506385,-2.519436880209601,-2.7083718547213786,0.6080244825138678,2,2,8,63,179,98,1
29,0.580715059588299,-2.6130793562709416,-4.3530935403172695,0.14218562091957657,2,1,256,146,256,220,1
23,0.5762172100200269,-1.581328427874341,-3.889675103616408,0.7,1,2,8,15,206,190,1
50,0.5738862076890247,-1.5771130528079595,-5.0,0.24669443030361574,4,3,254,253,0,94,0
9,0.5626908302964642,-0.3,-5.0,0.0,0,3,8,0,0,256,1
27,0.5626579992777175,-3.1318807232013737,-4.209692812204807,0.6590188363406,4,0,8,172,71,253,0
46,0.5616074066778293,-4.0,-4.59703740412054,0.16443871335738908,4,2,256,242,238,171,1
14,0.5601628418529827,-1.5986220298126184,-2.1386159732407863,0.7,4,3,70,0,256,0,0
37,0.5582093962375652,-3.091599641072775,-1.0,0.7,3,1,8,178,192,0,1
35,0.5577661774844873,-2.448853166440989,-3.4587629007590994,0.7,1,0,18,42,256,115,1
28,0.5496733313634722,-0.3,-2.8576925353567795,0.35030326801665873,3,3,24,22,90,256,1
24,0.5384615384615384,-2.2509819433043154,-2.575940437704386,0.6704502012970853,0,1,30,22,169,71,1
34,0.5375586854460094,-3.2147750209234944,-4.847963977396588,0.32754320021937916,3,1,8,219,52,111,1
48,0.5268721888440199,-0.9703907010392951,-3.4987560538844145,0.29532724308783626,4,2,8,0,74,135,1
39,0.5023966643684953,-2.6244371401481104,-1.1049536724703275,0.46981897300914865,3,2,82,120,4,34,0
11,0.5,-0.3,-5.0,0.38097591354965554,0,0,161,255,192,167,1
8,0.5,-0.3,-5.0,0.32030573224531467,0,3,147,38,252,131,0
22,0.5,-0.3,-2.598969466931132,0.12657654461831136,3,0,115,238,241,90,0
18,0.5,-0.3,-3.467565399326435,0.5980983628309239,0,0,211,118,254,137,1
49,0.47632883548376503,-4.0,-1.4135167006961735,0.6772878486414943,0,1,8,155,55,214,0
15,0.45830460619193014,-3.2188342969215618,-2.389978973413475,0.4914287004208425,1,1,256,22,47,77,0
