trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
43,0.8996998104065725,-3.679021985734546,-5.0,0.4525629179130111,1,2,12,8,254,0,0
35,0.89311670528755,-2.346420381809309,-1.9716952219269608,0.7,4,3,205,0,72,244,0
38,0.8920502422582683,-4.0,-3.893483357328523,0.7,0,3,23,256,67,256,0
11,0.8873038234674531,-1.6772351886731474,-4.137317331409158,0.5066490159544951,2,0,60,105,35,37,0
8,0.8871129134190014,-0.3054069659737704,-3.5415330649390215,0.19184932768874252,2,0,30,14,5,226,1
2,0.8871129134190014,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
17,0.8863624394354328,-1.2424081668878504,-3.199962500606963,0.11146127666014288,2,0,158,41,28,26,0
30,0.8862439435432905,-0.833594761733663,-3.0025152237761636,0.32563495105413715,2,0,30,0,256,234,1
32,0.8858621234463872,-1.234712364995418,-4.531474927825929,0.2910167805863078,0,3,122,211,22,87,0
13,0.8857831261849589,-2.5138907028296993,-4.270302845511414,0.09670982702503438,3,1,242,114,53,41,0
25,0.8841505161154413,-3.5544585184557818,-3.37484007299025,0.024507448970874677,2,2,123,149,190,196,1
18,0.8841505161154413,-3.7349364201011284,-5.0,0.262298994968445,3,0,119,153,61,170,0
21,0.8839135243311566,-0.8508974738793333,-2.4645351819390253,0.4549511494378105,1,0,12,163,234,11,0
5,0.883479039393301,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.8833737097113965,-4.0,-5.0,0.0,4,0,256,0,256,0,1
27,0.8832815462397304,-3.8909742967125847,-4.934020162021946,0.6838329256117901,3,0,168,0,43,227,1
26,0.8829523909837792,-1.6404149788152171,-2.049564226273267,0.6814807870727404,2,0,176,5,227,169,0
6,0.8829128923530651,-2.040251788883375,-1.5668025268105383,0.017803051234565437,3,2,197,128,53,220,0
14,0.8826495681483041,-2.098328461061365,-4.934110591652993,0.29154632858593665,2,0,250,237,16,237,0
7,0.8825442384663997,-1.235475809110416,-1.8249159830203556,0.6537652422041429,1,3,112,2,53,3,0
1,0.8817147672214029,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
12,0.880845797345692,-2.6085002372728976,-1.8411927794803309,0.36010349249608076,1,1,190,135,249,208,0
40,0.8807668000842637,-2.1255373394341763,-5.0,0.7,2,3,238,0,256,0,0
50,0.8803718137771224,-3.675656113897006,-5.0,0.6595416640063207,0,3,110,256,220,0,0
24,0.8792329365915315,-3.6296987898261635,-1.889683999246532,0.5511912503791977,1,3,71,56,152,90,0
42,0.8789103644406994,-2.9419483196953955,-1.0,0.7,2,2,53,0,71,256,1
28,0.8785680429745103,-1.5192346107093058,-3.493117867838195,0.18449822752860176,1,3,183,74,250,87,0
29,0.8781467242468929,-0.7512093374764635,-2.7202348526548192,0.4468974423314097,1,0,34,0,92,24,0
47,0.8766062776490416,-1.2885153321308556,-4.835177925035101,0.26316943002105564,3,2,256,256,192,256,1
16,0.876158626500948,-3.371579445113694,-5.0,0.6822886024135856,3,1,256,214,43,0,0
37,0.8757899726142826,-4.0,-5.0,0.7,4,3,256,256,0,0,0
19,0.8749473351590479,-1.6500131857065536,-2.018408647651956,0.045487791219871954,2,3,16,226,1,90,0
41,0.874723509585001,-2.1956699735063476,-3.9666820572815804,0.3655791980603535,3,3,68,0,77,0,1
9,0.8742758584369075,-1.831667118314047,-4.855221994290417,0.1544772261499817,0,0,193,223,110,106,1
10,0.8737887086580999,-1.523418309796417,-2.832981400213711,0.6412427699888972,0,0,206,27,75,19,0
3,0.8730382346745313,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
48,0.8724852538445333,-4.0,-5.0,0.0,1,1,104,0,0,149,0
45,0.8709711396671583,-3.338379879419166,-3.4580910333499415,0.15751503113109125,1,0,202,0,156,256,1
36,0.8697335159047819,-4.0,-1.55056600955389,0.7,4,3,220,191,256,256,1
46,0.8684563935116916,-2.4364125515328174,-1.0,0.6654644867205431,1,2,256,256,27,256,1
33,0.8668435327575311,-1.3097675020732793,-5.0,0.0060566047129717035,1,0,8,256,82,140,0
20,0.866534126816937,-1.9301547535356147,-4.556314168343335,0.3195810782194615,0,2,8,16,187,216,1
31,0.8641510427638508,-0.3,-1.5776946429698926,0.08446789852695355,3,1,52,221,170,144,1
4,0.8590820518222035,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
15,0.853394248999368,-3.2280886301592915,-4.843371210787134,0.02157495459290639,1,0,256,122,20,39,1
23,0.8473377922898673,-0.5893733651772761,-4.634070529836823,0.0,3,0,256,0,159,0,0
22,0.8270091636823256,-3.359148322227233,-1.291725485402821,0.6164439559476883,0,1,45,107,222,75,0
49,0.7996300294923109,-0.847444367317729,-5.0,0.22472020437159554,4,2,256,0,3,220,0
34,0.5198019801980198,-0.3,-1.194079883302574,0.43492444480497044,2,2,27,175,0,216,0
39,0.5,-0.3,-3.1974111208126494,0.7,0,0,191,256,109,256,0
