trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
1,0.6971995141009226,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
18,0.6887619422830691,-1.2808728994521217,-4.076640171365508,0.5368484040993388,0,3,64,51,249,92,1
44,0.68574148855839,-4.0,-3.428298075880401,0.4085006913382795,0,2,200,160,96,0,0
36,0.6850520371647133,-2.337331206956017,-2.568169186295702,0.23486038414757987,0,2,217,50,50,34,0
48,0.6846908959585015,-3.312318887089097,-4.018850759990517,0.4228174581584864,1,2,244,115,173,221,1
22,0.6827866968712039,-0.9771478787760377,-3.0443217221484433,0.5513097947225669,0,3,161,174,256,115,1
39,0.6819659214025411,-3.902714047286914,-2.352129730669766,0.5065357145702071,0,2,177,182,95,5,0
17,0.6809153288026527,-1.3209341615165795,-4.7751394157777085,0.5454924894076176,2,2,90,142,221,154,1
13,0.6796677500902852,-1.0926286790368223,-4.391183067167168,0.49939220657728034,2,0,91,221,71,121,1
46,0.6793394399028202,-3.001765332883214,-3.4588519853076347,0.48428739329696163,4,0,203,238,0,204,0
32,0.6793066088840737,-0.9133079326919646,-4.661496505968884,0.5977547737685308,0,3,61,52,156,150,1
38,0.679011129715355,-4.0,-2.7596018194178358,0.5196835190795739,4,0,255,203,222,143,0
50,0.6782231852654388,-0.3,-4.31509558690274,0.4201622039171522,2,1,55,153,73,75,1
24,0.6728717292097574,-1.1786292581119167,-3.621250379585292,0.5126763163624576,3,0,87,143,213,146,1
21,0.6723136018910667,-1.0948042589863345,-4.101661055319212,0.5364031680100105,3,0,39,256,256,146,1
19,0.6720345382317213,-1.258101349387573,-4.026075083906743,0.5388440625605159,0,0,108,251,0,12,1
29,0.6715913194786435,-3.768202264530432,-5.0,0.4773219497161168,3,0,186,256,179,9,1
30,0.6708033750287272,-0.8697734157684445,-4.161988566880434,0.4464923642400618,2,1,228,256,49,126,1
7,0.6688335139039364,-0.3,-4.66022923851149,0.38496257821721674,4,1,205,227,132,249,1
34,0.6679470763977807,-2.982955929856338,-3.0840461153710157,0.2223676463050408,1,1,165,122,140,154,1
26,0.6599034768048851,-3.2834190102063268,-4.258225657836566,0.5965469299614221,0,2,123,216,33,128,0
27,0.6591811943924621,-1.7909395040475093,-4.032577310825687,0.5504085974635334,2,0,190,187,226,3,1
3,0.6585574050362782,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
33,0.6584589119800388,-2.5174885929322874,-3.9648366531167123,0.22443217802171025,2,0,73,114,120,182,1
23,0.6540267244492597,-1.2938278124497233,-4.344853204853836,0.5358468466685505,0,0,73,251,256,0,1
20,0.6524508355494271,-1.297025904598756,-4.039259666982602,0.5343158937564364,2,3,46,0,67,140,1
45,0.6498900160871992,-1.7497960655226361,-5.0,0.5959433200321304,1,2,56,115,150,66,0
14,0.6481828031123805,-1.0945628822195612,-2.836801073748349,0.532765901384378,1,3,129,26,66,104,0
16,0.6462457730063363,-0.9785316473824137,-4.759030534978121,0.5201660969307278,0,2,25,219,72,102,1
37,0.6459174628188712,-2.6890565332956613,-2.7168236889709707,0.1415987784209049,0,2,208,0,180,171,1
2,0.6415837683443318,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.6373157359072852,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.6333103516202108,-2.7784278414990236,-1.0,0.21178323965862225,3,2,35,238,220,250,1
15,0.6307823631767293,-1.2131079689658066,-5.0,0.5457380587917908,4,1,41,78,27,27,0
4,0.6301257428017991,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
11,0.6300272497455596,-1.0777883841717086,-4.256416239948432,0.14986387241109797,1,0,104,14,213,247,0
42,0.62710528907712,-4.0,-3.4356592533669006,0.5181072194323803,2,2,254,174,127,47,1
43,0.6228372566400735,-1.565684329139692,-1.6455898095380745,0.27323097767084487,2,3,161,47,256,76,0
47,0.6182737450343084,-1.938350091709148,-5.0,0.7,1,1,104,120,98,86,0
31,0.6175514626218851,-2.8903079247600463,-5.0,0.4934386299532919,2,3,26,207,149,163,1
40,0.5917134508683806,-4.0,-1.0,0.5388747289155789,2,0,222,62,0,60,0
41,0.5559604714534293,-2.3778092549761416,-2.544954197219716,0.25871614344554966,0,1,162,38,16,243,1
35,0.5406283856988082,-3.81791254676332,-3.4980090203841785,0.23880169918294097,1,1,100,179,250,13,1
9,0.5340293509307594,-1.8213877143958181,-1.0,0.6791424926446693,0,2,192,204,232,215,0
12,0.5283824157063594,-1.0336847569281886,-4.3120946619317655,0.7,3,0,35,36,143,25,1
49,0.525985751337864,-2.8979441216868693,-4.917876553480852,0.42473317380470893,2,1,42,116,252,187,1
28,0.5226369874257198,-3.8986961198024472,-5.0,0.7,0,1,126,10,3,131,0
10,0.5,-0.3,-4.073536976932429,0.5984784079096015,4,2,33,199,25,111,1
6,0.5,-0.3,-3.9823176520625427,0.6425923317098156,3,0,195,57,65,167,0
25,0.5,-1.0680515358531513,-1.0,0.5474606995329795,3,1,94,13,114,5,1
