trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
28,0.8895223298925637,-3.0048195658190386,-3.7698295859040605,0.2833215381390095,0,3,8,124,0,29,0
27,0.8890549294291132,-1.2256540038684487,-1.0,0.7,0,3,8,58,256,127,1
23,0.8860727828101959,-1.6339524115222916,-1.0,0.7,0,3,8,0,0,15,1
40,0.885796292395197,-4.0,-4.288693503268763,0.7,2,2,187,40,185,192,0
46,0.8855461344006741,-0.3,-2.3658344494932217,0.48236695230683435,1,2,232,191,256,0,1
41,0.8854144722982937,-3.2404652127903124,-1.0,0.4305058395703389,4,2,117,19,256,0,1
2,0.8841505161154413,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
22,0.8829128923530651,-4.0,-1.0,0.7,0,0,256,0,0,158,0
50,0.8825244891510426,-1.8600424991293107,-1.0227837379107418,0.0,3,0,8,192,0,119,0
13,0.8823204128923531,-3.14211970062975,-4.011677065421183,0.7,3,3,77,208,24,2,0
25,0.881714767221403,-3.263835437229081,-1.0,0.7,0,1,224,0,0,75,1
18,0.8801479882030756,-3.510263514055052,-4.785284856065904,0.6645532007360022,2,0,225,252,42,13,1
48,0.8797530018959343,-4.0,-5.0,0.12751883811316214,1,1,224,188,256,0,1
44,0.8793448493785548,-2.1077362450879766,-2.787676821051257,0.0,4,3,8,191,0,0,0
42,0.8792000210659364,-2.484403790975052,-3.7533389480436385,0.0,3,1,256,23,133,119,0
43,0.8775344954708235,-0.4245045791960571,-1.0,0.0,0,2,8,254,12,256,1
15,0.8775213292605856,-0.5245176448056053,-2.475268840610792,0.023483132444335447,2,3,59,255,1,14,0
34,0.8773830840530863,-4.0,-3.0549439237092626,0.7,1,2,23,102,0,192,0
20,0.8768169370128502,-2.1867587163975903,-4.844753170228511,0.6752700489932384,2,0,63,66,192,14,0
10,0.8765009479671372,-1.0286584967299985,-1.8310623163119408,0.5991407807073943,0,1,256,199,0,0,0
39,0.8742758584369075,-4.0,-2.2053913259741376,0.41108601722138954,2,3,256,107,0,168,1
16,0.873551716873815,-1.3915759931895249,-3.54426732591567,0.6834836329079325,3,0,158,22,24,19,1
5,0.8727749104697704,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
11,0.872656414577628,-1.7833422990605317,-3.8511890205780115,0.29047062207096036,2,0,122,256,0,0,0
3,0.8724457552138192,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
49,0.8722285127448915,-0.5781702641592212,-5.0,0.0,0,3,8,66,0,0,0
9,0.8714582894459659,-3.5816997129945545,-1.4246566954414153,0.07698143139404824,0,0,256,194,0,250,1
19,0.8713529597640616,-3.5168047913797227,-1.1732968578888117,0.6880868018834555,0,3,123,250,51,205,1
32,0.8710369707183485,-4.0,-4.567615515760919,0.0,0,0,256,0,256,0,0
33,0.8701021697914473,-4.0,-1.0,0.5763996584720086,1,0,156,77,100,253,0
8,0.8699178428481147,-0.42927024517648205,-1.2230369032737163,0.6570875979791535,4,3,219,75,74,107,1
17,0.8692726985464504,-0.7770241037432188,-3.6596132995508794,0.005192579775123541,0,1,168,70,256,76,0
37,0.8686143880345482,-4.0,-1.1675370156123313,0.0,4,3,8,222,0,134,1
14,0.8683642300400253,-3.4282524472471896,-3.6130599643436367,0.4440128824661666,1,3,249,233,256,225,1
6,0.8681009058352644,-4.0,-2.836750920167664,0.6316584976180596,0,1,101,43,79,239,0
35,0.8674952601643142,-4.0,-4.667135132717221,0.0,0,1,8,208,256,245,0
31,0.8667447861807458,-4.0,-2.523494878988656,0.0,0,0,8,0,22,38,0
1,0.8663366336633662,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.8663103012428903,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.8632030756267117,-0.3,-1.0,0.7,0,0,256,0,0,70,1
38,0.86099115230672,-4.0,-1.4626997758475984,0.0,1,2,131,99,256,242,1
36,0.8605961659995787,-4.0,-4.541881111420422,0.7,3,1,256,212,256,124,0
45,0.8596218664419633,-4.0,-1.785896257323416,0.005986456161696305,2,2,16,28,231,93,1
47,0.8567384663998315,-0.3,-2.8548790032270013,0.48754672607125,1,1,234,74,256,256,1
29,0.8502606909627133,-2.964503284577815,-5.0,0.37127878405299564,0,0,8,160,0,140,1
7,0.8498393722350959,-0.3008944076991691,-4.620591698423264,0.4280088018630547,3,3,46,82,231,79,0
12,0.8263969349062565,-0.6280867644047214,-4.081499679818094,0.297335222720705,4,0,254,246,137,13,0
24,0.7802559511270275,-4.0,-1.0,0.7,0,3,8,0,256,0,0
30,0.6061525700442384,-1.4549050911668893,-1.0,0.6954429772871537,0,3,256,145,256,112,0
21,0.5129818832947124,-0.3,-3.8761650864103987,0.15829011299504153,1,2,51,36,0,256,0
