trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
31,0.639395653029111,-1.1995864873984488,-1.555441523063731,0.10711444767242707,0,3,35,142,34,203,1
28,0.6113419551534225,-0.7037895436535386,-2.3579300011837883,0.7,1,1,164,163,202,256,1
4,0.6076293273013376,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
33,0.6074572187254131,-1.622994973474651,-4.473454447811068,0.11714202430505663,0,3,10,183,59,163,1
26,0.6071498819826908,-1.320609536732666,-4.209367133014055,0.6598526792749693,1,1,128,18,203,35,1
1,0.6047034815106216,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
41,0.6009908536585367,-1.238335148814535,-2.124082551149511,0.0,1,1,116,154,33,171,0
42,0.5986305074744296,-1.1796115265258988,-1.820138375469266,0.1947861037879274,0,1,136,19,32,42,1
29,0.5976224429583006,-3.2658647563060885,-2.0666755380594783,0.0,4,2,89,0,79,215,1
17,0.5957415420928402,-0.3,-3.8402916573680947,0.576472507066474,2,1,73,32,124,27,1
35,0.5872959284028324,-1.216526685945316,-1.825413848245033,0.0,3,3,161,79,98,132,1
24,0.5869517112509834,-1.2017470491258173,-4.705771475615929,0.08739848654678202,0,1,63,191,43,59,1
40,0.586337037765539,-1.149113632542977,-2.061947104291739,0.6810618779793886,2,1,186,247,41,170,1
10,0.586312450826121,-2.44814292809157,-1.914770844737999,0.10105805414080578,3,3,65,154,74,168,0
27,0.58599282061369,-2.005368969591654,-1.53251092398117,0.584726554240583,4,1,204,196,245,256,1
38,0.58555025570417,-1.7273960820604461,-1.0,0.08517377772907476,0,3,104,182,0,241,1
12,0.5848372344610543,-2.984271208796925,-3.777150657033066,0.018186874988750372,3,3,59,130,64,8,1
3,0.5847880605822187,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
14,0.5831653225806451,-3.8623895559866357,-3.2933311954027316,0.12937656433597128,4,2,144,167,12,183,1
7,0.5829932140047207,-0.3,-4.620591777170762,0.42800881005620306,3,3,46,82,231,79,0
21,0.5824523013375296,-2.230457017057797,-1.0185866015274967,0.09707107085067357,3,2,162,25,101,0,1
32,0.579477281667978,-0.583223909806597,-2.753696313847101,0.04997257012699225,3,3,85,102,153,119,1
20,0.5776578481510621,-1.5128631093753508,-1.9489038324110406,0.16378966416983112,3,1,236,181,223,153,1
30,0.5767481313926042,-0.7030139886824553,-4.910885821006139,0.13479461087203007,0,3,205,162,147,135,0
11,0.5758138276947286,-1.646863499508275,-5.0,0.46073606809166495,3,3,83,240,106,53,1
15,0.5754450236034618,-3.884952226126651,-3.885469476996579,0.5165484172459258,2,1,8,14,30,26,1
22,0.5716586349331236,-1.4533419575829551,-4.96501324831231,0.0,3,2,90,51,90,0,0
46,0.5698883752950432,-2.88186489621015,-2.7280042983341497,0.6616372181675784,3,2,20,156,2,189,1
6,0.565315204563336,-4.0,-2.280783760705626,0.2854256241359655,1,3,13,210,175,52,0
48,0.5644792486231315,-4.0,-1.4078528986925933,0.30823754043024276,4,0,38,89,136,205,1
36,0.5644423682140047,-1.4872690109965099,-1.0,0.06464317584548174,2,3,9,157,60,189,1
37,0.5639875098347757,-1.9134573563927675,-4.750623774028205,0.004921161821150556,1,3,197,122,149,187,0
43,0.5624631195908733,-1.182865446335862,-1.6435138581973159,0.44945251537628844,0,3,8,48,52,211,0
18,0.5580251770259639,-0.3,-2.273551647888783,0.08479734836242367,4,2,110,4,180,70,1
23,0.5558000590086547,-1.086087085833766,-2.667123231440864,0.5875305983473303,2,0,235,171,181,75,0
5,0.5553452006294256,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
50,0.5552837332808812,-3.923187942748309,-4.382703339781525,0.5783642775922126,0,0,159,142,77,24,1
9,0.5532430173092053,-2.0660708646636126,-1.52885882874051,0.09727489687036427,1,1,59,3,223,205,0
19,0.5513252360346184,-0.3,-3.6678137247014737,0.041455092992393486,3,2,53,50,15,161,1
34,0.5443671321793864,-0.3,-1.981564004643285,0.2096204502740658,0,3,42,11,158,235,1
2,0.5407774390243902,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
45,0.5334259441384737,-3.2391570891312402,-1.9381102256981206,0.6660238864073273,2,1,81,90,7,129,0
49,0.5331309008654603,-3.9897919425037633,-1.1569827114252882,0.6417641559393655,2,0,106,35,104,73,0
13,0.5160921518489379,-1.8513070103669476,-2.0332831481050198,0.3269141195922255,4,2,14,108,72,20,0
16,0.5,-0.8439969962772143,-4.8551691704068745,0.11795294963870502,2,2,59,199,173,72,0
8,0.5,-0.3371594959012829,-3.710603446778243,0.3158555646383566,2,0,218,37,19,45,1
25,0.5,-0.3008749707306433,-3.8314996401321126,0.16694836773179536,0,2,105,71,6,38,0
39,0.5,-0.5727038578228236,-1.0,0.0,0,2,8,9,17,168,1
44,0.5,-1.179944984301025,-1.2247794371897314,0.04956239648129179,3,1,139,142,26,220,0
47,0.48821056254917383,-3.369355372246225,-1.779740072788179,0.001998186044501327,4,1,160,99,37,25,0
