trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
30,0.9034785127448915,-4.0,-5.0,0.0,1,0,8,71,197,0,0
32,0.895736781124921,-3.589942484843394,-1.7756706431452645,0.6411891488775893,2,1,254,63,156,90,1
33,0.8947493153570677,-4.0,-1.0,0.7,4,3,8,105,256,256,0
34,0.8930772066568358,-3.681134346126084,-3.60572077239662,0.6126185611178855,0,3,21,94,149,66,1
25,0.8914314303770803,-3.4904026973993476,-4.0125953567329615,0.04906059134492131,3,2,29,0,160,71,1
41,0.8881530440278071,-1.4461433860785209,-1.5402525884396403,0.34631815487854156,1,2,236,85,162,236,0
46,0.8881267116073309,-4.0,-5.0,0.7,0,0,256,168,0,174,0
15,0.8871655782599537,-4.0,-1.0,0.7,4,0,256,256,256,0,1
22,0.8864414366968612,-3.476756758031196,-5.0,0.49607028433912115,0,0,245,256,256,14,1
36,0.8863229408047187,-1.882503696019132,-5.0,0.7,0,0,100,0,117,0,1
31,0.8858884558668633,-1.5847766408931125,-1.3002356719189283,0.5020799398931537,0,1,249,102,154,227,0
27,0.8856382978723404,-2.4852088789662936,-4.190345714804961,0.0,4,3,8,173,178,86,0
23,0.8849273225194859,-4.0,-2.0271349700064083,0.6144489939780171,4,0,256,0,256,256,1
6,0.8839925215925848,-1.5010034812251551,-3.30155259395804,0.5192936022202183,4,1,166,36,228,5,1
20,0.8838081946492521,-3.1074084111197076,-1.0,0.7,4,0,256,122,0,43,0
37,0.8837555298083,-2.6315853448118864,-2.636189080319183,0.11261485716097913,4,2,113,256,222,39,0
26,0.8835317042342532,-2.742106157504864,-1.868193185567847,0.5367735789802931,4,3,256,116,79,60,1
40,0.882596903307352,-2.176036057743807,-1.0,0.32366907460593547,0,3,256,116,256,232,1
24,0.8818727617442594,-2.9453103881508955,-2.69107865983053,0.6321341920572927,2,1,229,256,238,0,0
10,0.8817937644828312,-2.9937546069594996,-3.191832097122595,0.5484684809062124,0,0,235,200,75,188,1
49,0.881411944385928,-3.5053940366755896,-1.0,0.6790054066167035,4,0,72,146,233,0,0
28,0.8809642932378345,-4.0,-1.9122035180514705,0.11242236581286781,3,0,256,170,25,0,1
9,0.8807536338740256,-1.066061943105045,-3.0447714228058818,0.4734820748949612,2,1,204,123,66,195,0
38,0.880003159890457,-2.72315180420918,-3.053802243767573,0.6364296368418163,4,0,8,207,0,0,0
35,0.879963661259743,-3.2095039343075924,-2.3194688724691215,0.08493715901599336,0,0,15,88,54,92,0
21,0.8798319991573625,-1.4100387065081663,-1.0,0.7,3,1,256,82,0,227,0
29,0.8790288603328418,-1.9489119050222676,-4.865392323460862,0.26854938558537444,1,1,38,140,75,165,1
17,0.8789630292816515,-2.8654257195340067,-1.0,0.5347352943291236,2,0,84,0,80,15,0
48,0.878831367179271,-3.2268279013908563,-4.428495723348959,0.5887736220199218,4,0,159,256,163,0,0
3,0.8776727406783231,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
5,0.8776595744680851,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
18,0.8771197598483254,-3.9725032896659,-4.2438001940637164,0.6245045714185476,1,3,112,213,225,106,0
2,0.8763429534442806,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
50,0.8757504739835686,-3.150251034093099,-1.9421063640364054,0.28470435351084433,4,2,256,0,205,0,1
39,0.8753818200969032,-2.1804269420458247,-5.0,0.0,4,3,8,0,0,0,1
43,0.8745786812723825,-3.81101303622401,-1.0,0.22718569733907576,1,0,8,0,0,0,0
11,0.8743811881188119,-1.262178230174118,-2.4036432687940303,0.21878178938653223,2,0,9,79,222,20,1
8,0.8729855698335791,-2.0010617604854604,-2.5095682323259014,0.37347974644156723,4,3,174,23,75,36,1
19,0.8720507689066779,-2.4631425537414686,-1.0,0.6997680668155062,1,0,211,0,191,66,1
1,0.8716821150200127,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.8715504529176321,-1.782146152531631,-4.455342802331274,0.06572180884648493,2,2,109,59,199,221,1
45,0.869773014535496,-2.802580938530541,-3.667479682916418,0.0,2,3,8,256,256,0,1
12,0.8673043501158626,-1.2438522562324574,-4.665275538808561,0.22473903877184476,2,0,253,132,177,136,0
42,0.8648883505371814,-4.0,-5.0,0.0,0,1,93,51,256,256,1
4,0.8648488519064672,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
44,0.8641115441331367,-1.6450680195809109,-4.947714206166408,0.2678784958006503,0,1,37,253,107,77,1
47,0.8067463661259744,-1.3734110557654784,-5.0,0.0,2,1,31,256,256,0,1
14,0.5013297872340425,-0.3,-5.0,0.7,0,0,8,0,256,256,0
16,0.5,-0.3,-1.0,0.7,4,0,8,179,256,0,1
13,0.5,-2.06184534985505,-1.0712117692470025,0.44678422161085635,2,2,216,253,139,210,0
