trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
38,0.680418961447679,-2.245832374811572,-4.613575932482588,0.6760674172659263,4,3,106,153,218,0,0
10,0.6796813532651456,-2.7981775564370293,-3.840204616253165,0.7,4,2,63,125,207,14,0
9,0.6762391817466562,-0.47895924977887505,-4.617809128656592,0.7,0,1,166,125,222,178,0
17,0.6669453186467349,-3.483354433846106,-4.717648620318696,0.5206114985756934,3,2,234,69,0,75,0
28,0.6650029504327302,-1.6617591017048388,-2.6664049906117446,0.3005997253158558,1,1,243,2,0,173,0
23,0.6643145161290323,-4.0,-4.54734027040977,0.10695649134145295,4,0,249,256,256,0,0
50,0.6623967348544454,-1.9161099067480833,-5.0,0.4122106417929684,0,3,252,73,252,127,0
25,0.661413257277734,-2.5523482369756243,-4.324106484610088,0.7,4,3,116,211,213,0,0
27,0.6612657356412274,-2.8010516455003125,-2.6374270063776164,0.6036207397310787,2,2,8,149,205,131,0
11,0.661093627065303,-4.0,-3.189195502745741,0.02847850242629925,4,2,99,208,256,0,0
20,0.6592741935483871,-3.4951751079614013,-3.8848583006684327,0.20670829055927326,2,0,162,117,256,57,0
19,0.6526848937844217,-2.04497898799697,-5.0,0.2572298864102198,1,1,72,77,237,15,0
8,0.6504228953579858,-1.7740292165885676,-4.253920121606001,0.7,1,2,104,0,113,17,1
46,0.6498082218725414,-2.637410531990912,-1.7831262360198958,0.12833325576005827,3,3,61,138,202,122,1
30,0.6463906372934697,-2.2917269245792515,-4.4848261715299165,0.41811356059168053,4,1,132,42,129,0,0
1,0.6461201809598741,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
3,0.6460464201416208,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
34,0.6457513768686074,-2.640567699768747,-3.193408328593299,0.40042574357033767,2,1,240,132,0,111,0
37,0.6455178009441385,-1.228804251108576,-4.5902810121427144,0.7,3,3,149,152,244,121,0
15,0.6413626081825334,-0.9837536329578671,-1.9511673743318956,0.3129391267673564,0,1,8,147,0,2,1
47,0.6387195121951219,-1.8282437949251458,-3.9035094180048544,0.7,1,3,147,99,215,118,1
49,0.6371951219512195,-2.293984706858578,-3.974434359217427,0.04066928792540561,4,2,57,11,206,105,0
26,0.6346872541306057,-1.1286308218817593,-3.5544231729820055,0.4371745597596345,4,2,240,131,223,8,0
40,0.6298190401258851,-2.386387925479811,-4.195712170467494,0.7,2,1,67,253,214,0,1
14,0.6291797797010228,-2.224151547298261,-1.2980385644970038,0.06142524523056682,0,0,112,0,256,66,1
4,0.6276553894571204,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
45,0.6171567663257278,-2.482162053232156,-2.7250316622668804,0.6716061207176218,3,1,54,160,215,20,0
7,0.6161978756884343,-3.1505996298966945,-2.5496526062103806,0.00104361095083512,2,0,92,26,62,202,1
2,0.6148210070810385,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
44,0.6120180959874115,-2.0831943464996785,-4.644177657648741,0.0,4,0,143,202,232,7,0
6,0.6098544453186467,-2.0668443376900307,-5.0,0.0,4,3,8,256,11,170,1
22,0.6076662077104642,-0.3,-2.6890229096533513,0.0,0,0,256,0,0,198,1
39,0.6018882769472855,-0.9798310168546696,-4.697562332135087,0.6532091527366448,3,2,199,132,249,0,0
33,0.6003392997639654,-2.379374776494716,-3.8841754127441677,0.6223612482034595,4,1,102,99,164,9,0
35,0.5856977773406766,-0.3,-2.607452400407311,0.3444556308711928,0,1,24,77,228,89,0
43,0.5845790715971675,-0.9419590083114588,-5.0,0.7,2,2,78,170,227,221,0
42,0.5830300944138473,-0.5688181001587047,-5.0,0.17696434820129162,2,2,33,182,227,241,0
5,0.5797108575924469,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
21,0.5722856018882769,-1.7035129308529169,-4.545847885049057,0.6377426181828926,2,1,36,168,199,217,0
48,0.5385523210070811,-0.3,-1.0287578152717893,0.6301288662766776,1,0,210,185,223,160,0
31,0.538331038552321,-3.0075470377579614,-3.696729693788865,0.5447395206894964,2,2,9,196,110,118,0
32,0.5327498033044846,-4.0,-4.1510952851408085,0.4211490641019581,4,0,21,210,84,23,1
36,0.5259146341463414,-0.4616288649911895,-2.9066942026341875,0.4956807791080936,2,1,27,42,217,167,0
16,0.5249188630999213,-1.4368367647134423,-1.3967217198662287,0.5873225060680538,4,2,24,133,256,32,0
41,0.5046469315499607,-3.7069718228185686,-4.385818000798077,0.2889834162348252,3,1,226,197,100,49,0
12,0.5,-0.5040760634536197,-5.0,0.1681716049113976,3,2,244,253,172,253,0
13,0.5,-2.5681203275947166,-1.2228774035280305,0.4532894750910632,2,0,19,118,253,109,0
24,0.4932877655389457,-4.0,-4.268083475489374,0.6241387076618208,3,3,145,142,80,0,0
29,0.46516030684500387,-3.777845110250517,-4.126263178976347,0.6857164444123311,3,3,129,120,211,12,0
18,0.4585587136113296,-3.210063159940341,-1.0978285403929564,0.26812511408301454,3,2,46,85,85,142,0
