trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
44,0.883710407239819,-0.3,-4.065282353716367,0.0,0,3,256,202,102,242,1
42,0.8828389475448298,-4.0,-3.9902792308850277,0.0,0,2,249,150,194,17,1
20,0.8806602983073571,-0.3,-3.7385144729348827,0.49642712789353716,1,1,57,132,64,96,0
9,0.8794369029663147,-0.6735845082791858,-4.6675318813657745,0.2745124605783913,2,3,44,0,158,22,1
33,0.8794033852857382,-1.8009196508342997,-2.5714313239183153,0.0,0,0,233,211,123,9,0
10,0.877258253728842,-3.0631097910348237,-4.992492955558747,0.15080471898216527,2,0,36,19,252,97,0
27,0.8768560415619239,-0.5201065385487489,-5.0,0.0,1,1,51,19,85,52,0
30,0.8765376235964472,-4.0,-5.0,0.0,4,0,154,110,256,256,0
40,0.8742584213172448,-3.80334432798834,-2.6117755369464852,0.1990263065937836,4,0,256,218,200,256,0
3,0.8735713088654264,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
43,0.8734037204625439,-4.0,-4.449717404635481,0.19503960687585833,4,0,256,97,222,102,1
50,0.8722976370035193,-4.0,-2.2647813046895875,0.0,0,2,256,256,0,238,1
1,0.8717278364337188,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
45,0.8713926596279538,-3.231889576891116,-4.260628630477547,0.2663926645325442,1,3,147,71,77,109,0
21,0.8709234120998827,-0.3,-3.9605978398783357,0.1035934260484101,3,0,121,212,116,223,1
7,0.8705044410926763,-4.0,-4.879774545875447,0.0643004792108306,4,1,241,179,256,230,1
19,0.8703536115300822,-4.0,-2.048115725041902,0.4902540885839562,4,0,251,151,189,139,1
49,0.8696329813976873,-0.9060133278805287,-5.0,0.0,2,0,256,256,0,256,0
31,0.8695324283559577,-4.0,-5.0,0.0,1,0,8,0,219,91,0
4,0.8694989106753813,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
24,0.8688117982235629,-0.3,-3.8822142388408576,0.29303051003492814,1,0,113,184,125,256,1
48,0.8678900620077091,-4.0,-2.1699856583324206,0.0848869779282885,2,3,245,96,122,3,1
5,0.8669850846321434,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
39,0.8664152840623428,-3.180606624852362,-1.6389936354662686,0.2329853284318551,4,0,172,58,156,68,0
8,0.8652756829227417,-0.3,-1.7704141573237573,0.5997023625761251,1,1,151,90,0,222,0
36,0.8635160046924752,-4.0,-4.101537989395471,0.7,3,2,227,70,199,22,1
28,0.8625272331154684,-0.518079289103238,-5.0,0.0,4,2,65,69,35,113,1
34,0.860105580693816,-0.44037313893536867,-4.031731470392877,0.034813405868573316,4,2,84,149,117,162,1
35,0.8579855873973521,-3.23056003470679,-4.021268590048108,0.325751929338655,2,3,28,131,43,138,1
38,0.8571141277023631,-1.4276778969121868,-2.4332596684678895,0.7,0,2,122,86,81,2,1
41,0.855455002513826,-0.3,-1.0,0.38163271906440016,4,1,256,0,256,0,1
6,0.8550863080274845,-0.3,-2.0561481153374013,0.0004984228707035512,1,1,35,240,256,226,1
26,0.8483324953913189,-3.2617509120739685,-2.210047352471931,0.7,1,3,164,0,116,162,1
15,0.84774593598123,-4.0,-3.2572143309130546,0.5550737002453195,2,0,44,157,103,22,1
2,0.8460868107926932,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
47,0.8432880844645552,-4.0,-4.6239812520705295,0.0,3,3,152,88,31,170,0
37,0.8384447796212502,-0.39669762572247436,-1.250362773331232,0.0495540867875304,2,0,47,254,203,174,1
14,0.8345902463549523,-3.730899901408553,-1.8530132269536486,0.684343809841191,4,1,157,107,245,114,1
22,0.8336852689793867,-4.0,-3.3342702535995246,0.278086409959116,4,1,189,159,143,230,0
17,0.8285570638511816,-0.3,-4.312946028963034,0.4718904914509446,4,0,172,90,14,203,1
16,0.8232947880006702,-4.0,-4.655278993288078,0.1389901001525225,2,1,79,74,4,126,0
32,0.8224568459862577,-3.87445590595475,-2.539813626105934,0.7,4,1,75,256,223,223,1
13,0.8212334506452152,-4.0,-1.871832317991145,0.3974250437665455,2,1,22,47,191,9,1
25,0.7967739232445115,-0.3,-3.151420760647099,0.1149917681099433,1,0,160,225,115,82,0
23,0.6669096698508463,-0.3,-4.1838624315421535,0.4650589271320862,4,0,134,129,222,154,0
12,0.5,-0.3,-3.673375708650468,0.5170183052412053,2,0,8,0,256,23,0
18,0.5,-0.3,-1.9387084593599906,0.5651178055790596,0,2,224,106,39,250,0
11,0.5,-0.3,-1.0,0.6753797707651912,2,2,8,36,210,140,0
29,0.5,-0.9769167553546225,-1.0,0.7,2,2,94,182,80,234,0
46,0.5,-0.3,-4.420645177321198,0.7,4,3,8,32,249,213,0
