trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
32,0.8917605856330315,-1.0994640294175198,-5.0,0.7,0,3,8,256,0,0,1
39,0.8891668422161365,-1.074252592405006,-5.0,0.7,4,3,8,256,0,256,1
24,0.8885216979144723,-3.8031999047261356,-3.7115204912320037,0.36165595928346755,4,3,8,256,256,0,0
40,0.8863624394354328,-1.5655935082160148,-1.0,0.7,4,1,8,229,256,0,1
38,0.8863031914893617,-1.0931359672021461,-5.0,0.6646963413906934,1,0,35,74,0,256,1
1,0.8854144722982936,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
29,0.8850458184116284,-2.4154110247834635,-1.0,0.6721667103082971,0,0,167,211,0,0,0
2,0.8846771645249631,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
16,0.8845191700021067,-3.074598720392721,-1.0,0.0,4,0,8,0,256,0,0
7,0.8838937750157994,-2.5134594918690003,-1.2441029851894965,0.053850536905812735,4,0,200,256,140,49,0
22,0.8836633663366336,-2.5894133039208667,-1.0,0.0,0,0,158,256,45,0,0
8,0.8833473772909205,-2.0261744022129085,-1.1870855735260113,0.048182142512520364,1,0,146,251,143,256,0
13,0.8832947124499684,-2.6857440043192744,-3.5414143850968385,0.7,3,3,136,155,43,209,0
28,0.8832552138192542,-1.803334712676207,-5.0,0.684333738476403,0,3,20,236,57,118,1
18,0.8830050558247313,-1.1822259856645223,-1.0,0.6151636359705452,1,0,256,256,155,256,1
26,0.8826232357278282,-2.4715902030564303,-1.0,0.42137084035508426,4,0,8,90,0,134,0
15,0.8822545818411629,-3.4295170728680837,-1.0,0.0,4,0,256,247,256,0,0
34,0.8820834211080683,-2.336343716580279,-1.0,0.7,4,1,8,256,0,0,0
19,0.8808062987149778,-3.7132522318242085,-1.0,0.44176198719067716,0,0,8,0,0,256,0
31,0.8806878028228355,-3.3424287038523635,-1.0,0.7,4,2,8,256,256,0,0
48,0.8797925005266485,-4.0,-5.0,0.7,4,0,8,0,66,256,1
33,0.8796608384242679,-4.0,-5.0,0.19979545456979797,1,1,126,78,29,215,0
17,0.8789235306509374,-3.5882643587870957,-1.0,0.0,4,3,256,64,0,256,1
45,0.8782520539287972,-2.9762299590425503,-5.0,0.0,4,1,8,119,256,0,1
12,0.8779755635137981,-4.0,-4.103321907480278,0.5742152506136257,2,3,256,0,24,157,0
47,0.8774225826838002,-3.3685144643781264,-5.0,0.3120626524211591,4,0,256,228,192,0,1
10,0.8772382557404677,-2.578674516876189,-2.9220479475563317,0.3677698605807794,1,1,155,92,167,79,1
14,0.8772250895302296,-3.3216102644641765,-5.0,0.7,1,0,9,235,234,15,1
3,0.8762902886033284,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
21,0.8760269643985674,-2.087510670587144,-1.0,0.0,2,0,8,256,0,0,1
50,0.8757373077733306,-3.3003461499752933,-1.0,0.3286654514696944,4,3,8,256,256,0,0
20,0.8754739835685694,-2.2156179766036033,-5.0,0.7,0,3,8,0,0,0,0
37,0.8747103433747629,-2.3369050349554805,-1.0,0.7,4,3,200,0,0,22,1
25,0.8735385506635771,-2.802663206573847,-5.0,0.2620139417602695,0,3,256,256,256,0,0
36,0.8727880766800084,-3.7518704290660474,-5.0,0.0,2,3,119,93,256,0,1
27,0.8725708342110807,-2.930510797768754,-5.0,0.7,4,3,230,12,94,44,1
4,0.8712344638719192,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
5,0.8709448072466821,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
44,0.8707473140931115,-2.0367036158367093,-3.4304636749451913,0.3005504646437431,0,0,233,256,0,0,0
23,0.8692068674952601,-3.248041643706655,-5.0,0.00669973589993419,0,0,256,256,0,256,0
42,0.8689040446597851,-2.0449566483350763,-5.0,0.0,4,3,220,0,0,0,0
35,0.8686407204550243,-4.0,-1.0,0.0,4,0,8,0,256,256,0
46,0.8639008847693279,-1.6416879730165017,-5.0,0.3602169617794228,4,3,8,256,256,0,1
11,0.863295239098378,-4.0,-1.0,0.4482975935996751,0,3,256,256,0,214,1
30,0.8618337897619549,-1.1936191960412237,-5.0,0.0,0,3,8,10,256,0,1
49,0.8539077311986517,-3.685457925591324,-5.0,0.7,0,3,8,184,53,0,0
6,0.8361925953233621,-0.674264663733084,-1.3755529942133689,0.30496551449114295,3,2,197,114,256,195,1
43,0.8244220033705498,-0.3,-5.0,0.7,0,0,8,256,0,0,1
41,0.7894459658731829,-1.9252144139999015,-1.0,0.7,1,0,194,21,223,226,0
9,0.5,-0.556560101233909,-1.24512504519201,0.3731550774815533,4,0,192,217,15,11,0
