trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
23,0.6258084638366328,-0.3,-5.0,0.6165711654255219,1,3,129,0,81,230,1
33,0.6179126038280968,-3.68397355684732,-3.6651154173015303,0.7,4,0,230,97,211,0,0
25,0.6154174464033619,-4.0,-5.0,0.7,4,0,118,256,173,256,1
6,0.614268360747234,-0.3,-4.11095994791384,0.5863965580626886,4,3,159,61,227,256,1
32,0.6142355297284875,-3.866667521530809,-5.0,0.5257800278828636,3,0,131,167,91,256,1
48,0.6124298236974293,-0.3,-4.67668791461157,0.5676882236376135,0,3,151,71,206,111,1
42,0.6116090482287665,-0.5449498523038061,-5.0,0.7,3,3,240,77,250,133,1
29,0.6080632982041433,-0.3,-3.247966246890638,0.7,0,3,158,198,232,195,1
3,0.6049607669325979,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
30,0.6025476870547294,-2.3929772505123372,-5.0,0.7,3,0,208,1,94,234,1
18,0.60169408056732,-3.26845792981551,-5.0,0.5326290134084493,1,0,133,0,195,124,1
12,0.5989034439738664,-2.51483045204425,-4.161735430323576,0.6629847860059985,3,0,84,186,17,90,0
2,0.5959486522866805,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
11,0.5944712564430873,-3.247268595118296,-4.081129448380084,0.05041988553795779,0,3,240,106,206,177,0
15,0.5919760990183526,-0.9364079780525203,-4.154968356620115,0.2606394578407616,1,3,186,19,104,256,0
21,0.5916477888308874,-2.734268036801301,-1.0,0.12856569522322545,1,3,91,0,81,54,1
4,0.5914508027184083,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
26,0.5913851406809152,-4.0,-1.0,0.7,2,0,118,256,208,235,1
38,0.5847861059128664,-0.4415732658325662,-2.1830162425878177,0.09051620741643743,2,1,167,240,58,12,1
47,0.5843921336879083,-2.0631487294211546,-3.5071667526892036,0.7,3,0,180,124,234,55,0
22,0.5837355133129781,-4.0,-1.0,0.30846639542531,3,1,176,0,41,0,1
41,0.5826192586755967,-2.679935437077434,-5.0,0.0,2,3,114,14,181,105,0
19,0.5824551035818641,-2.6513000702942278,-5.0,0.3050593671256365,1,2,211,0,194,0,0
9,0.5782199021635641,-1.0038223120300929,-3.831476034759487,0.42635466046192927,2,3,154,114,4,199,1
45,0.5775961128073803,-4.0,-3.7335588166199987,0.6674682332043234,4,0,180,95,175,255,1
1,0.5770708165074363,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
50,0.5756590827013361,-1.1967704017020604,-3.353213070609492,0.0,1,3,207,22,83,169,0
20,0.5752651104763781,-0.3,-5.0,0.21290470161012415,4,3,97,0,223,37,1
35,0.5722774877704455,-3.7410225509387423,-5.0,0.0,3,2,167,40,138,223,0
27,0.5706031058143733,-4.0,-5.0,0.0,2,0,92,256,199,256,1
43,0.569618175251978,-4.0,-3.2624592656057088,0.5194310991775831,3,0,96,19,152,20,0
10,0.5682392724646246,-2.409460389765771,-4.141664378956029,0.4577200820984736,2,2,150,201,248,245,1
14,0.5670245247710035,-3.960540710735683,-4.147175314545916,0.25202291840012475,3,3,221,125,186,159,0
49,0.5572080501657967,-4.0,-1.6140789858376703,0.24480971490251643,2,3,207,63,0,8,1
17,0.5564201057158804,-1.4792358422085394,-4.074644463846638,0.2717114833702472,2,3,184,241,138,255,1
16,0.5563216126596408,-1.5912969106791923,-3.550155976948066,0.290983298034956,3,3,78,182,256,256,1
31,0.5544830756098361,-0.4047133649435599,-5.0,0.0,1,3,92,70,99,181,0
5,0.5528743556912571,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
13,0.5525132144850454,-1.0765263618644423,-1.1470922857089274,0.4948197382201719,3,3,203,15,218,254,0
24,0.546390229488821,-3.5028833977384437,-3.3686349477842246,0.7,4,3,147,78,12,207,1
44,0.5284809087625989,-3.645626240676516,-5.0,0.7,3,0,41,251,107,68,0
28,0.5274959782002036,-4.0,-5.0,0.7,3,1,234,256,248,165,0
34,0.506549788239929,-0.340729848115624,-2.479895664706019,0.0,2,2,192,89,47,256,0
7,0.5,-0.3,-5.0,0.0,4,0,256,0,218,256,1
8,0.5,-1.2024974919365992,-5.0,0.4812389126029375,0,0,137,60,256,256,0
40,0.5,-0.3,-4.6877914221760495,0.7,4,2,149,135,191,39,1
36,0.5,-2.4746715613290573,-1.0,0.7,3,0,93,223,47,0,0
39,0.5,-0.3,-4.816420660174209,0.7,2,2,50,33,167,256,1
46,0.5,-0.3,-1.7649561844163961,0.6701071655593519,0,3,241,218,189,19,1
37,0.48517679503595,-3.7735719378090353,-1.0,0.06669499194299379,0,3,40,177,139,13,0
