trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
6,0.6071768606979875,-1.1664282451472712,-5.0,0.45157053382772455,2,0,15,208,188,75,0
38,0.5994779868019304,-0.9744908525726816,-1.5214980819613584,0.38892778972846154,4,3,8,98,110,184,0
37,0.5990019370301061,-0.957792621801433,-2.40957548180933,0.5126074411550834,0,3,71,253,136,103,1
49,0.5985094717489083,-0.7426297227496237,-1.735836345871682,0.7,3,3,139,166,94,253,1
32,0.596244131455399,-1.1495610425764498,-4.206961346796367,0.4533482232395319,1,3,36,149,65,21,0
25,0.5939623756525165,-1.1174581805082417,-2.965938936977762,0.2925135104019085,2,0,8,20,36,174,0
11,0.5937325585212909,-1.4426848893673943,-3.5095740970117997,0.5160327225985518,0,2,86,110,81,76,0
17,0.5910568304934501,-1.2657024545178377,-5.0,0.7,0,1,214,256,169,167,0
36,0.5874454184313339,-1.190700330127266,-5.0,0.610609632527943,4,1,79,236,154,53,0
1,0.586624642962671,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
44,0.5860993466627269,-0.9957630557319153,-1.9838585979935548,0.6121757576755867,3,1,44,212,222,228,1
3,0.5804524114383269,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
19,0.578088578088578,-1.2657281135641463,-3.593390055273308,0.7,1,1,100,152,256,0,0
12,0.5770708165074362,-1.0770594610489987,-1.3115832130057972,0.3022308499057553,0,3,126,208,101,69,1
31,0.5766440132637316,-1.104713393273082,-5.0,0.4431808157972776,1,1,189,208,204,51,0
34,0.5760530549262943,-1.4367267233905645,-3.6224396647916475,0.249738570580637,3,1,103,20,30,131,0
33,0.5758560688138152,-1.4791363832119386,-2.4461144889828796,0.5475790739982356,3,3,232,7,94,250,0
24,0.5757247447388292,-1.1390485546586886,-5.0,0.7,3,3,8,198,249,78,0
35,0.5728684461078828,-1.165593112415968,-3.6403187205461043,0.43205574428415905,0,1,227,114,256,164,0
13,0.5726386289766571,-1.8957214654372905,-1.5298090109026687,0.7,3,0,167,52,237,96,0
27,0.5702091335894153,-1.6025984404926876,-1.3111944333375773,0.7,0,1,239,91,161,228,1
21,0.5696510062707246,-1.1286103422374811,-1.4151105651506306,0.3590416912746993,3,1,249,256,41,97,1
7,0.569552513214485,-2.7971772810147555,-4.600738528985257,0.3494524799643134,2,0,231,32,32,65,1
23,0.5693883581207525,-1.2783556921262105,-4.579982098577146,0.7,2,0,68,227,174,56,1
26,0.5679766243146525,-2.343836452491963,-1.2653549196025442,0.25338126518399356,4,1,31,38,165,42,0
16,0.5672543419022291,-1.5454914529857886,-1.7544624093034504,0.40987887443069076,1,3,8,109,114,168,1
43,0.5664335664335663,-1.122612584638305,-3.377489826992839,0.6599858848335287,3,0,86,109,65,0,0
30,0.5662365803210874,-1.1562345399419045,-4.486096713987277,0.13823586429078494,3,1,8,87,149,142,0
41,0.5661052562461012,-3.486919510734691,-5.0,0.30742259478882555,2,0,110,256,161,12,0
14,0.5642995502150432,-4.0,-3.6325560178725134,0.0,3,0,29,88,7,149,0
46,0.5634623592370072,-0.9808791896604081,-2.337575300186516,0.3422110499111911,2,3,108,28,73,39,0
18,0.5615417446403361,-1.2186126957284515,-5.0,0.33421841633384186,0,1,101,170,37,169,0
29,0.5598345316655176,-1.1978075928725822,-2.426387516499941,0.7,2,3,84,70,164,28,0
20,0.5591779112905872,-1.1671383186715545,-3.5004399838080777,0.4797549229543118,0,0,72,129,245,64,1
47,0.5579631635969665,-1.4629313011832767,-4.9179033067816205,0.30894449395251056,3,0,8,221,95,101,0
15,0.5578975015594734,-1.3221842483517818,-2.976306481438538,0.6232046978782861,4,0,162,43,198,209,0
22,0.5550740339472734,-1.3185375544018094,-5.0,0.5205975611758058,1,3,107,249,151,0,0
2,0.554975540891034,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
40,0.552611707541285,-2.952226879828583,-5.0,0.040785670398787395,1,0,91,106,218,182,0
5,0.5523490593913128,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
48,0.5522998128631932,-2.140576970711946,-1.592120142945658,0.6984464795643804,3,3,94,57,51,128,1
8,0.5514954529039036,-3.178835631714621,-4.371934767116687,0.3965490824447278,0,2,8,256,45,152,1
28,0.5507075084539873,-1.3178673563317016,-4.539883534974288,0.3851788963376484,2,0,8,146,164,171,0
4,0.5371482977116779,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
45,0.5342427525526117,-0.9428059246340492,-1.0407284596478101,0.5389868168358056,3,2,34,172,30,61,1
39,0.5047112511901245,-0.926260175504106,-5.0,0.3173114340877788,3,0,8,49,118,71,1
9,0.5,-0.5199599799850874,-2.5563740172852167,0.7,2,0,140,203,147,213,0
10,0.5,-0.3,-5.0,0.5458306024793477,1,0,59,70,72,0,1
42,0.5,-0.3,-5.0,0.6690383010317522,1,0,178,244,256,167,0
50,0.5,-0.6601518607790315,-4.868172395247163,0.6141066551009976,3,0,8,196,237,25,0
