trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
5,0.9346495931369457,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
48,0.9345444605647723,-2.827309293552257,-5.0,0.30147798873531917,0,1,107,88,60,85,1
36,0.9341344435332956,-0.3,-5.0,0.7,4,1,256,0,205,164,1
28,0.9340503374755567,-0.3,-5.0,0.7,1,1,256,0,256,0,0
49,0.9338610988456443,-0.4587255188966459,-4.914474831320788,0.49238371830677063,4,1,145,26,0,0,0
26,0.9335036481002544,-0.6748985006681232,-5.0,0.6308807213675657,4,1,140,165,256,161,0
3,0.9330620912971257,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
6,0.9326678441514751,-1.1047494657929127,-3.406299325042145,0.28512627258773265,3,0,141,133,90,243,0
42,0.9323051367774764,-0.3,-5.0,0.7,4,1,256,0,256,163,0
16,0.9321053848903467,-4.0,-5.0,0.0,3,0,117,24,148,57,0
50,0.9320317920898252,-4.0,-1.737759984944871,0.0,0,0,256,139,0,152,0
32,0.9309384133392208,-0.3,-5.0,0.7,4,1,256,0,256,168,1
34,0.9304232637355705,-0.6974929228699573,-2.2249855084902297,0.7,4,1,256,24,256,0,1
24,0.9301919720767887,-4.0,-3.8142523388942178,0.7,0,2,256,223,0,91,0
47,0.9300027334468765,-1.3191472700445002,-4.346901452428916,0.460893189851591,0,0,87,226,19,20,0
35,0.9299606804180072,-4.0,-4.2380891938782685,0.14591189830156343,1,0,40,36,0,108,0
1,0.9298555478458337,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
7,0.9294139910427048,-3.6419321501813444,-4.438414942693717,0.6351205738585157,1,2,204,38,69,106,0
22,0.9291932126411405,-4.0,-4.23299878252784,0.11271973716853,0,2,50,164,0,91,1
23,0.9290985933261844,-4.0,-5.0,0.7,3,2,256,47,0,0,0
30,0.9290670535545322,-0.3,-5.0,0.7,4,0,256,0,219,89,1
39,0.9288673016674025,-0.3,-5.0,0.7,4,1,249,10,256,163,1
9,0.9285624172080994,-1.235348547266537,-3.6019122404087054,0.0,2,3,244,88,70,3,0
13,0.9283206122921004,-0.3,-3.7426419858495805,0.6862099972909366,4,1,255,46,219,115,0
40,0.9280472676044491,-4.0,-5.0,0.0,4,0,256,0,0,256,1
8,0.9274585252002776,-0.3031268927894084,-4.395839151917308,0.43203642720834856,3,0,70,231,110,224,1
18,0.9274059589141908,-3.3742327514261596,-5.0,0.008742904541389743,0,1,22,213,253,0,0
20,0.9272903130848,-4.0,-5.0,0.7,0,2,250,0,178,73,0
29,0.9271904371412352,-0.3,-5.0,0.7,2,0,59,210,256,256,1
11,0.926964402111062,-3.9050482050993582,-5.0,0.3340489553833833,3,0,95,92,254,5,0
46,0.925976155932631,-4.0,-4.984594487074781,0.24480223714241328,0,2,8,10,256,0,1
43,0.9253874135284593,-4.0,-4.547979499721007,0.605574745381933,3,0,140,58,158,112,0
44,0.9182226287348346,-0.3,-1.5500233274339492,0.30953042528675745,0,1,171,78,254,0,0
41,0.9141907945919805,-0.3,-5.0,0.10835182249316033,4,1,256,77,256,162,1
2,0.9135389726445047,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
17,0.9126768855526819,-4.0,-1.0,0.0,2,0,30,0,192,166,0
37,0.9114152946866,-3.7125495725826188,-3.3385602469477256,0.5941590730533037,4,1,138,194,0,10,1
31,0.906000967219664,-0.3,-5.0,0.004788133234448705,4,0,238,256,256,40,1
33,0.9051283668706237,-3.6807601590315753,-5.0,0.5555337051396197,2,1,31,0,256,166,0
4,0.9048339956685381,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
10,0.8987888727685612,-0.619327497939385,-1.076986541429442,0.7,3,0,73,183,237,3,0
38,0.8952038520574445,-0.3,-4.317245165736003,0.0,2,3,256,256,0,0,0
27,0.8793708866881138,-4.0,-2.131032967644048,0.6760128726062473,4,3,92,54,0,0,0
25,0.8792552408587229,-4.0,-1.9702708772883906,0.7,0,1,256,165,0,97,0
21,0.8762799890662125,-0.3,-5.0,0.0,0,3,256,0,256,0,0
12,0.8601894488950567,-1.508754506797048,-1.0,0.0,4,1,97,231,255,222,0
19,0.7703589226014004,-0.3,-5.0,0.0,4,3,256,0,214,71,0
15,0.5398189617107172,-3.8884650266332077,-1.1319958833302577,0.6636031495271668,1,3,14,0,108,256,0
14,0.5,-0.8852591489504333,-4.060014263713315,0.0,3,2,202,256,43,193,0
45,0.5,-0.3,-1.0,0.7,4,1,8,102,256,139,1
