trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
1,0.8995773670598626,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
3,0.8899261969343342,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
21,0.8889484640131207,-0.6369456855113853,-2.304178059764436,0.7,4,1,160,119,208,110,1
32,0.8872978826299965,-0.8831840655100218,-2.907052676939994,0.7,2,1,190,256,0,110,0
16,0.8862465569082615,-0.605854046864081,-5.0,0.7,1,1,161,0,220,153,1
6,0.8850270190710486,-0.6830455480722941,-4.950258167327848,0.40127808757969774,4,2,26,143,47,183,1
8,0.8847431611261801,-0.8275111833076214,-4.048741642707008,0.5181101494578094,1,1,63,224,111,157,1
31,0.8841859584936604,-0.5676391458192538,-4.237649252415367,0.31668930019999736,0,3,60,145,5,188,1
23,0.8824828108244496,-1.1651849522519,-3.513304922761133,0.32087154212311253,1,2,171,191,16,226,1
20,0.881957147963582,-0.39308962330610475,-3.600530250242782,0.7,1,3,136,82,45,252,1
38,0.8815576441893227,-2.027463625354204,-2.182623385179778,0.0,1,3,256,256,0,186,0
44,0.8763010155806472,-1.668016941497052,-2.3455501778242973,0.7,0,1,227,69,0,80,1
5,0.8759803612355179,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
24,0.8757438129481276,-1.0688588217402621,-5.0,0.5856214998995872,4,0,159,20,244,0,1
17,0.8751655838011734,-3.559567369833737,-1.0,0.7,1,2,50,141,235,95,1
39,0.8739986122500474,-0.6695294481574185,-4.071257777297045,0.44577888558094747,1,1,62,163,0,129,0
50,0.873840913391787,-1.4081194676654065,-5.0,0.7,4,1,207,102,0,45,1
7,0.8729577997855296,-1.9136727845197465,-3.5566569666864885,0.22257626772361563,0,2,227,100,248,209,1
26,0.8696250972476293,-2.607411251134786,-4.179207258971969,0.44394236384981134,2,3,118,256,195,256,1
13,0.8688155764418932,-2.7520904431792057,-1.1907345572461283,0.6507091384354985,2,1,9,256,55,0,1
27,0.8687735234130238,-2.4642825591199973,-2.3822434182183043,0.2534865069979405,0,0,178,20,68,16,0
40,0.8681532412372002,-2.1925228436828808,-5.0,0.4513284748092885,0,3,256,0,103,248,1
43,0.8664921465968586,-0.34763630776600873,-4.672073545785867,0.12748299003500954,0,1,179,226,137,29,1
30,0.8652936352740807,-2.969308999951574,-4.198132943630228,0.4747428187406638,2,1,50,0,171,0,1
15,0.8645051409827793,-0.9143829728818917,-4.817030440119957,0.7,2,1,141,256,143,107,0
41,0.8630122584579156,-0.3,-3.1771451940713575,0.01148649089922793,1,3,25,159,0,0,0
35,0.8622658171954836,-2.1297563657519403,-5.0,0.6999059996733522,1,2,230,81,0,76,0
29,0.8622237641666141,-0.3,-2.2379473963565197,0.17359285826044982,2,3,102,16,148,52,1
47,0.8608465274711412,-4.0,-2.7752005345783335,0.3061490494944405,0,3,256,113,0,0,1
45,0.8594167244895814,-4.0,-5.0,0.7,1,2,242,81,188,105,0
37,0.8590067074581047,-3.0222891915448904,-2.2762901469784915,0.7,0,3,149,249,256,159,1
25,0.858712336256019,-3.1952874807781173,-1.3099966080906444,0.272201831796354,3,1,8,11,109,52,1
2,0.8579658949935869,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
36,0.8569881620723732,-0.3,-3.035458251891848,0.6608716285968412,0,1,209,0,256,256,1
28,0.8551062890304674,-3.8552501531548993,-4.363924625899792,0.36681170566582644,4,0,103,0,179,0,1
42,0.8519207720936102,-4.0,-3.8559028116214185,0.6882429406025483,3,1,11,252,0,202,0
22,0.8395571816060052,-2.398896990983185,-4.171770914356855,0.173430263595533,3,0,122,83,134,93,0
49,0.836497823755756,-3.5505128028736985,-1.352805297606011,0.5150479413406343,3,1,34,30,256,117,1
4,0.8307996383439517,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
12,0.8288441725015243,-2.0078880260919094,-1.5195521936637784,0.0,1,1,217,0,131,256,1
14,0.8186147732290419,-2.3033523328638825,-3.860966678589564,0.09680816943636839,3,0,81,256,159,68,1
46,0.8089320633318615,-0.3,-5.0,0.33002769152089745,0,3,8,31,0,0,0
10,0.7499001240564351,-1.8753758838019925,-1.0,0.6155506782458847,4,2,208,256,10,237,0
11,0.7460838116865367,-1.4838347508711447,-1.0,0.0,1,2,248,256,109,224,0
18,0.7420362076578565,-3.5918739374960293,-1.019846879765705,0.42910356490188134,3,3,10,218,53,186,0
48,0.7220610189448895,-0.3,-2.4364947273112687,0.5177383219840438,1,1,8,29,256,4,0
9,0.7136714396854433,-1.3602895131921589,-4.322342937390047,0.36696546156166043,3,2,90,84,256,112,0
19,0.7095870392565025,-1.1438448755680115,-1.0,0.044115312920200406,0,0,227,129,70,199,0
34,0.5,-0.6754707340363613,-2.340851445852353,0.7,4,2,168,152,255,33,0
33,0.5,-0.3,-1.0154011208417777,0.7,1,3,149,103,157,32,1
