trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
45,0.6917163120567376,-3.3666145190479217,-3.529459662889523,0.09738162410717517,4,0,189,239,223,187,1
18,0.6777304964539007,-4.0,-4.954069463570483,0.016346673092071207,2,2,241,217,164,0,1
33,0.6771347517730496,-3.18661161799643,-5.0,0.0,3,0,38,221,43,155,1
47,0.6726241134751773,-2.958096919942202,-3.7265213233803776,0.0,4,0,209,235,4,157,1
44,0.6711489361702128,-2.71089434573287,-3.6169573404496935,0.1539407803789534,4,0,157,236,55,167,0
22,0.6706382978723403,-4.0,-4.229487606887949,0.10600478139181913,2,0,226,249,129,0,1
32,0.6653333333333333,-1.0722048185918656,-4.934901760685311,0.04655915421614933,2,1,256,230,93,66,1
6,0.6566808510638298,-1.0844796611402052,-4.964718235827426,0.2054689312657703,3,3,128,222,256,0,1
29,0.6551773049645389,-3.7722046810534864,-4.693044982831532,0.15553581545212528,2,0,17,228,147,92,1
34,0.6519716312056737,-1.5835259996900586,-4.511208084752432,0.1486233999407132,0,2,240,246,203,139,1
9,0.6516595744680851,-3.9177211675356673,-4.72422877494042,0.0329847146116988,2,3,250,251,146,253,1
36,0.6513758865248227,-3.6299531103517086,-3.4084043567056623,0.0,3,2,194,222,188,97,0
27,0.6509787234042552,-4.0,-4.123196446986936,0.3941790258693135,4,0,256,241,169,0,1
43,0.6435460992907801,-1.443114344165533,-3.9172483737700103,0.03629980973004837,1,0,62,256,72,214,1
12,0.6419007092198582,-3.6346919262567146,-5.0,0.13754848296569233,2,3,256,256,256,101,1
3,0.6396312056737589,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
39,0.6373049645390071,-3.7943776110128207,-4.057643312251253,0.0,3,1,240,222,89,106,1
35,0.6326241134751773,-0.7340671448124265,-4.876582857209345,0.2061819231811365,3,1,196,242,35,81,1
41,0.6241702127659574,-3.6710668969127966,-5.0,0.3875031155847553,2,2,212,226,90,133,1
49,0.621645390070922,-3.9022516171572965,-3.5045455709078355,0.21791458976394326,4,1,82,229,85,254,1
13,0.6215602836879432,-2.5525400316903215,-5.0,0.27196830031562713,2,3,174,23,205,256,1
7,0.6169929078014185,-2.330568365377509,-2.933135650773099,0.106682034783671,2,3,103,12,256,256,0
24,0.6120283687943262,-4.0,-3.193040255616463,0.3328449522358124,4,2,227,35,256,0,1
46,0.6108652482269504,-2.667543055523188,-3.372075997821174,0.18412245972675043,4,2,253,248,184,38,1
30,0.6073191489361702,-3.9410476894386655,-4.83141820989709,0.0,3,1,131,256,172,0,1
31,0.6016170212765957,-4.0,-4.38344034904182,0.6198642013260544,2,2,84,249,172,0,1
40,0.6014468085106384,-3.1971275803840444,-5.0,0.0,3,2,167,220,169,59,0
38,0.5988652482269503,-2.400618443286265,-3.8167031029866765,0.0,1,2,238,241,235,202,0
2,0.5833475177304965,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
48,0.5811914893617021,-0.5487672479011563,-3.471525479478043,0.10016481366817628,1,0,141,243,230,56,1
1,0.570695035460993,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.5695886524822695,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
15,0.5665248226950355,-1.2926068817098106,-2.4337531201544844,0.03603038706238002,4,3,240,0,238,27,0
5,0.5640283687943263,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
42,0.5635177304964539,-2.9923344051324356,-1.837616395614221,0.0,3,3,114,216,47,129,0
10,0.5610354609929078,-0.7112881044157215,-2.393200789011508,0.4877893226033323,3,0,83,94,153,0,1
37,0.5585531914893618,-3.318602475234863,-5.0,0.41222764644485826,0,3,212,228,109,226,0
26,0.5572482269503547,-4.0,-1.2929303542303918,0.40859051180673045,2,1,249,256,256,87,1
28,0.5537588652482269,-4.0,-5.0,0.3556781526357829,0,1,223,174,185,0,1
19,0.5519148936170213,-4.0,-5.0,0.6278096900117325,3,3,232,194,90,0,0
8,0.5485390070921986,-3.8615065457989197,-3.3469558592827826,0.2533919226975419,1,1,94,208,218,0,0
17,0.5390780141843972,-0.3,-5.0,0.5002729181240874,4,2,32,114,162,75,1
23,0.5375035460992907,-4.0,-2.3028764401010045,0.3784858447633379,3,1,8,124,256,156,1
20,0.5333333333333333,-4.0,-4.68163228278757,0.017962452053658415,1,1,189,73,176,23,0
25,0.5289645390070923,-3.9385146635145447,-5.0,0.5609533078483944,2,0,180,41,27,0,1
50,0.5115886524822695,-1.2375741877209503,-5.0,0.0,0,2,215,0,58,225,0
16,0.5,-1.622727521827481,-1.1839067625677488,0.2733910764255952,3,2,218,254,252,183,1
14,0.5,-2.01549390127758,-1.0,0.47804747411689724,4,2,8,0,256,251,0
11,0.5,-0.6512692523634516,-4.8535898222283,0.07360517250233269,2,3,114,104,67,141,0
21,0.5,-0.487525788637996,-4.833582223075784,0.18814447609906076,3,2,209,184,179,116,1
