trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
48,0.8914033095733721,-2.729341078287743,-5.0,0.7,2,3,256,256,256,0,1
12,0.8905201959671145,-4.0,-5.0,0.4517077559806987,3,0,256,0,256,256,1
47,0.8870508210853888,-2.932683616662611,-4.3375979622220004,0.7,2,2,94,256,256,0,1
18,0.886577724510608,-0.8891444217294588,-4.154180788445767,0.7,0,1,220,78,99,27,1
33,0.886398999137913,-2.933139193044067,-5.0,0.7,4,3,256,256,256,0,1
26,0.8861624508505225,-2.777062256466574,-5.0,0.19687505536805897,0,3,8,0,148,0,1
3,0.8848640635841796,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
45,0.8832029689438382,-2.5110361952316573,-5.0,0.13717854210437788,1,2,256,206,256,0,1
10,0.882687819340188,-4.0,-1.0,0.47582139988402483,0,0,256,256,256,256,1
1,0.8826878193401879,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
16,0.8815944405895835,-3.254005059182188,-4.129809846228252,0.7,4,0,34,250,253,159,1
23,0.8810687777287158,-0.9600088076603681,-2.5071005021942847,0.3587123734875487,2,3,246,171,15,2,1
19,0.8805326016106311,-4.0,-5.0,0.24792606569365772,0,1,256,256,256,88,1
46,0.879449736117244,-2.340198344816974,-1.4054402951051785,0.7,3,0,23,103,181,0,1
39,0.877504783532034,-2.7765417821324405,-5.0,0.7,3,3,181,229,256,111,1
40,0.8771578460438612,-0.9151883872337252,-5.0,0.7,0,3,256,256,256,111,1
15,0.8767688555268193,-3.1314121188642456,-4.998974130150664,0.12645169604379888,3,2,234,114,224,41,0
20,0.8757595828339535,-4.0,-5.0,0.5237498179510608,1,3,256,256,256,0,1
49,0.8757280430623016,-3.137680481756338,-2.9618341154918624,0.7,3,3,201,228,181,0,1
13,0.8739092495636998,-3.5527707354894646,-1.0,0.3863143472970952,4,3,8,95,69,44,1
37,0.872742278012574,-2.2423812392000224,-5.0,0.7,3,0,124,256,256,256,0
25,0.8701980697659748,-2.405399444478065,-5.0,0.1974671563303216,3,1,256,168,141,0,0
17,0.8697565129628461,-0.5803827940523552,-4.992292160472684,0.4447176390850069,0,0,67,123,70,141,1
29,0.8680113122647659,-2.034686550717013,-5.0,0.5644242396121252,3,3,8,95,172,0,0
5,0.8675277024327678,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
8,0.8657509619630354,-0.3,-5.0,0.3174208895520622,0,0,256,0,256,256,1
2,0.8655301835614709,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
43,0.8649834941861688,-0.6939050515029259,-2.7924665216232847,0.7,3,3,195,233,139,145,1
28,0.8643211589814755,-2.1601763273413077,-5.0,0.47726590693924215,0,3,8,256,55,0,1
22,0.8623236401101788,-4.0,-5.0,0.5285920597694037,4,0,8,0,256,0,1
11,0.8621554279947012,-2.403579120859199,-1.0,0.5956418499497663,4,0,256,0,256,256,1
38,0.8620608086797452,-4.0,-1.0,0.7,4,3,8,0,0,42,1
36,0.8615351458188776,-2.17247274483841,-1.512815976713057,0.0,0,3,249,256,0,256,0
44,0.8591381231733216,-4.0,-3.5399101874980343,0.7,4,3,256,80,256,0,1
14,0.8569934187009819,-1.7384714906574983,-1.147508085617237,0.16312242634684837,4,1,115,167,99,234,1
41,0.8556266952627263,-1.267649990863577,-1.2445203698646234,0.7,4,3,145,179,256,256,1
42,0.8524727180975209,-4.0,-1.6598284970652397,0.7,1,3,43,132,256,19,1
30,0.8516999936920456,-0.9173726414812853,-1.0,0.25724803176829236,2,0,8,27,46,256,1
35,0.8489612901869257,-2.805305349747207,-5.0,0.7,3,1,8,112,146,0,1
21,0.8481359994953637,-0.3,-5.0,0.7,4,1,8,256,256,256,1
31,0.8478889379507558,-0.3,-1.0,0.0,0,0,256,0,256,0,1
9,0.8453237031897223,-4.0,-5.0,0.0,0,3,8,256,0,256,0
34,0.8445141823839861,-4.0,-1.0,0.7,4,2,256,8,193,0,0
6,0.8434943964339032,-3.4056556333113623,-2.8716777172684114,0.21877073464985397,1,1,143,242,23,212,0
27,0.8409817279589563,-2.8115784935402197,-1.0,0.1706730410021067,2,1,8,0,154,256,0
50,0.8356725330641941,-3.4462065282659426,-4.904937050842133,0.6285054017935757,0,3,8,69,256,0,1
4,0.8249490107024958,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
32,0.8059462982821338,-3.120726935200646,-5.0,0.0,0,0,256,256,143,256,1
7,0.5,-0.4217813536207724,-2.1696609325286462,0.6974541809851319,0,0,126,62,220,50,0
24,0.5,-0.3,-1.0,0.0,4,0,256,256,0,0,0
