trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
3,0.6821697909933204,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
23,0.6818681318681319,-2.70401511668829,-5.0,0.7,0,3,256,256,0,91,1
46,0.6805537599655247,-4.0,-5.0,0.2947800276499013,4,0,256,0,1,144,1
39,0.6799504417151476,-3.221734070208346,-5.0,0.6772242539544265,1,0,254,105,116,167,1
19,0.6761797026502909,-3.4669931528244056,-4.127558847043665,0.09143698822637011,0,1,175,100,209,136,1
22,0.6755763843999139,-3.090822402422655,-4.305281088287145,0.462180326611732,1,2,256,124,6,0,1
37,0.674132730015083,-2.993227812438005,-5.0,0.5196003019621114,0,2,199,99,256,0,1
50,0.6720426632191338,-3.8572153777646165,-4.552566918752723,0.36419410584762146,0,0,250,32,129,202,1
10,0.6715039862098686,-2.6012198197489536,-4.050436147561778,0.7,1,0,42,151,36,85,1
8,0.6693923723335488,-2.531730211875728,-3.377835114720752,0.3392385007294901,2,1,256,92,222,135,1
24,0.6609243697478991,-4.0,-5.0,0.7,2,2,218,256,0,87,1
14,0.6609028226675285,-3.657991517664054,-5.0,0.0,1,2,247,71,26,67,0
9,0.6589635854341737,-2.6779214893052887,-5.0,0.13736263097586826,0,3,163,3,256,110,0
41,0.6581447963800905,-2.3243973630386927,-5.0,0.20603448560186366,0,3,256,245,0,71,0
42,0.6574121956474899,-2.492786536543103,-3.4639224100624286,0.5384373765516857,0,0,240,121,256,146,0
27,0.657347554406378,-2.772838537005323,-5.0,0.06487405491044783,1,2,205,84,7,161,1
34,0.6565287653522948,-4.0,-3.4759641153783756,0.11047370397435187,2,2,256,256,26,4,1
32,0.6542232277526394,-0.3,-5.0,0.39877870460989073,0,1,256,255,79,175,1
31,0.6540939452704159,-4.0,-5.0,0.2040884191965354,1,0,256,221,41,75,1
7,0.649612152553329,-2.32455998673452,-3.4990798214147434,0.52614149709472,2,1,10,182,256,139,1
2,0.6490950226244344,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
48,0.6476082740788623,-2.3674844922404032,-3.7024326987692464,0.06019816322251335,0,1,256,256,195,63,1
17,0.6460137901314371,-4.0,-3.6517387804167756,0.3538649143280804,1,0,115,136,242,256,1
45,0.6445054945054945,-2.245557638785667,-4.90393471139677,0.450779653353391,0,0,256,101,256,256,1
44,0.6396358543417368,-2.4852563574952873,-5.0,0.14026784244273705,2,2,256,256,38,216,1
12,0.6312540400775696,-4.0,-5.0,0.7,4,0,256,256,0,256,1
35,0.6309847015729368,-1.0642530196923103,-5.0,0.37974341610276213,1,2,256,214,244,223,1
20,0.6264490411549236,-1.7551008786838276,-4.09879210928003,0.5722263207818299,1,3,177,100,162,141,0
1,0.6257379875026934,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
47,0.620566688213747,-4.0,-5.0,0.2775515876485272,4,1,256,0,205,253,1
28,0.6201141995259642,-3.714467722780184,-4.152818771092751,0.671271655735267,0,0,76,219,106,5,1
15,0.614274940745529,-2.763211689732507,-5.0,0.1774695159356732,0,0,8,256,255,21,1
4,0.6111075199310493,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
18,0.6097931480284422,-2.5180637090774827,-5.0,0.6771983830096396,2,1,116,14,239,252,1
25,0.6084787761258349,-3.4411788448646976,-4.08657443202517,0.7,0,1,256,158,0,107,1
26,0.6061301443654384,-4.0,-1.955414464652466,0.5717983460015208,4,3,256,161,71,254,1
43,0.6059793148028443,-3.194899188403396,-1.0,0.054547901553471057,1,2,256,95,94,42,1
13,0.6037599655246715,-4.0,-1.0,0.3441814734902203,2,3,81,1,215,11,0
38,0.6000754147812972,-2.4595417903448045,-5.0,0.4549631454138633,3,2,8,116,176,0,1
40,0.5998814910579617,-1.206804485452948,-5.0,0.1954369946822836,0,3,256,45,256,220,0
33,0.5948610213316096,-1.0810289743468715,-1.2415712859714785,0.3338529581082535,1,3,256,214,182,117,1
5,0.5947748330101272,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
16,0.5927709545356604,-2.6722249280930472,-4.364272410439353,0.36990492626262256,4,2,256,147,11,119,0
29,0.5914350355526827,-3.5741865971928553,-4.8258087401503795,0.12035735444337897,0,3,148,5,145,134,0
30,0.5907670760611937,-1.243143071952935,-4.797830441430754,0.32438693880453345,4,0,177,151,256,15,0
49,0.5848200818789054,-3.9091417826177013,-1.608147485747804,0.23152604742329094,0,1,133,251,224,130,0
6,0.5824283559577678,-3.288342461549118,-2.2065665790527915,0.6339591008380202,0,2,10,31,256,0,1
21,0.5195001077354018,-0.5870957660803766,-5.0,0.13139309796639426,3,0,106,0,26,23,0
11,0.5170545141133377,-0.3,-1.0,0.6263413142282114,0,3,41,86,64,182,1
36,0.5,-0.3,-1.0,0.47762113609998574,4,1,256,48,253,32,1
