trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
48,0.8918993679377066,-2.5251053030788526,-5.0,0.33930377203310713,1,0,256,256,256,219,1
26,0.8877363318257888,-3.382464324151443,-3.3804068348958616,0.15274015213642547,0,0,160,231,249,198,1
50,0.887694839771517,-2.9035640668016516,-5.0,0.1627372441418468,4,0,256,141,256,256,1
45,0.8867543532080273,-3.100970832474396,-3.7121116291870644,0.23057626300461045,4,0,256,0,207,93,1
15,0.8851499937761919,-2.2374356521867274,-5.0,0.0,0,3,256,0,0,256,1
44,0.8850393482981341,-3.1334828721251906,-5.0,0.0,0,2,256,0,62,79,1
28,0.8827296239436815,-4.0,-5.0,0.0,1,2,247,239,0,148,1
34,0.8804060689044715,-4.0,-3.8557955610745758,0.0,0,2,249,30,256,162,1
35,0.8804060689044715,-4.0,-5.0,0.0,0,0,180,112,256,51,1
38,0.8795623971342821,-2.851894488443733,-3.7236049694065887,0.0,0,0,256,0,256,96,1
40,0.8780410218109899,-4.0,-1.0,0.16385801636537722,0,0,256,0,0,98,1
27,0.8771558579865288,-4.0,-4.238114687936324,0.0,1,2,41,102,256,247,1
29,0.8747216574692613,-4.0,-4.007081244897014,0.0,0,3,220,251,256,0,1
31,0.8745971813064465,-2.6519407947236022,-4.35789517464013,0.2733525678920955,0,3,112,238,256,256,1
39,0.8741960914484874,-2.996047287711391,-5.0,0.0,0,0,8,87,0,134,1
30,0.8727023774947097,-4.0,-5.0,0.0,3,2,242,89,15,256,1
7,0.872577901331895,-2.5412608341309255,-5.0,0.21673844901304162,1,2,114,50,29,91,1
42,0.8706554361506438,-3.4857843915752285,-1.0,0.0,4,0,79,256,199,239,1
3,0.8677786537211457,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
11,0.8676956696126026,-1.396627294673158,-5.0,0.01611572727647611,3,1,165,18,0,83,1
32,0.8659391726484378,-4.0,-1.8312380377653525,0.0,0,3,212,58,256,256,1
41,0.8639337233586435,-3.7255254300168077,-5.0,0.40863295065579325,0,0,256,256,140,100,1
33,0.8627027924152524,-4.0,-5.0,0.0,0,1,27,198,43,229,1
47,0.8626613003609808,-3.063122582676735,-5.0,0.0,1,3,20,0,31,52,1
10,0.8600887929961413,-0.8191070005593448,-5.0,0.4743075766279234,0,3,237,256,169,95,1
49,0.8598951634095404,-2.0733650731252116,-5.0,0.6453204719257257,0,0,256,256,256,62,1
46,0.8561885398946102,-2.844255524047293,-1.1842056381474708,0.29851795208427384,0,0,68,59,253,33,1
6,0.8524957470644372,-0.7141696621219285,-5.0,0.12009787504757274,4,3,256,28,231,1,1
8,0.8516244139247333,-4.0,-5.0,0.7,4,0,256,0,256,256,1
23,0.8434504792332267,-0.6589936870309789,-4.9938081319684,0.6804215797925651,1,1,113,243,6,61,1
14,0.8381533269712184,-0.3,-5.0,0.0,0,3,189,0,0,0,1
25,0.8372819938315146,-1.9031460626246117,-4.959755946183692,0.613789456597733,0,2,168,15,168,220,1
22,0.8370192108211278,-0.6354977377886737,-5.0,0.0,1,2,44,41,223,256,1
1,0.8348339626294898,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
4,0.8316667358200903,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
13,0.83122415390786,-3.3089047274355794,-5.0,0.5335976984880038,3,3,143,256,206,98,1
36,0.8056927098460644,-4.0,-5.0,0.5261999259927884,1,3,192,0,0,176,1
24,0.8033276627525829,-0.8888116085383349,-4.976502676325065,0.013238096037469373,3,2,102,242,178,124,1
21,0.8030510490574387,-2.747073048896265,-4.506300195973271,0.6753330629373081,3,1,244,1,175,96,1
2,0.802788266047052,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
5,0.7968272409166978,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
9,0.7942409028671009,-0.5866327884852272,-1.0,0.5540019007817072,3,1,8,65,215,102,1
20,0.7931759401407964,-1.9219194088894298,-1.0548984970508046,0.13339183631039428,3,2,249,253,51,18,1
37,0.788445845953833,-0.3,-5.0,0.5389833951520718,0,0,28,90,256,144,1
18,0.7884043538995615,-0.3320089917358082,-1.0401002309680698,0.3558964121718268,0,1,78,26,186,3,0
16,0.7880585867806315,-4.0,-1.0,0.5311433580427719,1,2,8,0,116,38,0
19,0.787408544597043,-3.9292109804065545,-1.027999552984379,0.1872107970101268,0,3,163,249,233,15,0
43,0.7802649959199479,-4.0,-2.2854405899986188,0.0,0,0,256,256,179,19,0
17,0.7781004937554458,-3.901188355098832,-4.922918313600579,0.6438514169370094,3,1,219,1,53,123,0
12,0.7725820505373221,-1.296989137378989,-5.0,0.13271439369119759,4,2,8,256,23,36,0
