trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
28,0.6735177304964538,-3.1692106354323806,-5.0,0.18416701632191382,4,2,140,212,154,246,1
30,0.6627092198581561,-3.533623549674203,-5.0,0.6139380114114438,4,2,218,256,186,250,1
45,0.6594751773049645,-3.079811394576336,-5.0,0.22396316177302406,3,2,144,157,210,126,1
29,0.657886524822695,-2.9191573077737365,-5.0,0.38543424664813764,4,0,140,256,225,79,1
23,0.6536879432624114,-3.2379316075234468,-4.632796884781866,0.3008035068461606,3,0,162,166,158,165,1
13,0.6532907801418439,-3.2444900446122453,-4.73732432624572,0.3356713918954268,1,2,175,182,254,68,1
50,0.6526382978723404,-3.1314476208281747,-5.0,0.41579754539165276,4,2,240,256,256,25,1
40,0.6517304964539007,-3.17681859249949,-4.620776487022222,0.1746023025009927,3,2,237,146,256,29,1
11,0.649744680851064,-2.7834029515445797,-4.934860436314583,0.37608803814737213,3,0,113,131,111,88,1
15,0.646,-2.841232892857688,-2.2226330586561978,0.40871822762100396,3,3,186,176,48,242,1
6,0.6406099290780143,-3.4568339625102134,-1.0418329715196708,0.4742382508271314,4,0,245,184,118,219,1
27,0.6400992907801418,-3.1341789799611717,-5.0,0.3702769088010508,2,2,197,201,216,127,1
36,0.6391631205673758,-3.186689045234324,-3.1331320245264465,0.0,2,1,27,127,50,99,1
31,0.6355602836879433,-3.0066002029513297,-5.0,0.06325090240502856,4,1,256,256,199,72,1
17,0.6277304964539008,-2.9797844067717456,-1.334714389544069,0.3491443191893549,4,0,246,175,83,36,1
38,0.6273617021276596,-2.891655974905778,-4.987106363157886,0.12403397655450865,4,1,161,104,105,2,1
32,0.6208085106382978,-3.360754486382561,-2.1504664807394502,0.07412774309940853,4,2,146,256,228,117,1
46,0.6171347517730497,-3.4289607835063314,-5.0,0.5268649967888014,4,0,256,9,238,250,1
48,0.6145106382978722,-2.970200621041036,-4.597388986194792,0.3323181870732525,4,1,179,143,48,230,1
47,0.6134893617021278,-3.1905354701570916,-5.0,0.11676277672173763,4,1,137,124,189,190,1
24,0.6110780141843971,-2.8142599692059207,-4.022288595280237,0.1462402397278121,0,2,191,202,156,113,1
3,0.6082127659574468,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
22,0.5961702127659575,-1.6845996548383821,-4.115907570946277,0.39063231305640145,4,1,172,154,220,124,1
1,0.5941418439716313,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
44,0.5936312056737588,-3.2074061342201254,-5.0,0.1444111110197108,0,1,156,254,228,30,1
20,0.5888652482269505,-0.3,-4.488514653634462,0.08750946871389456,1,3,195,183,38,204,1
41,0.587163120567376,-3.7849578961031267,-5.0,0.29810754454844696,4,1,137,256,113,241,1
26,0.5866808510638298,-2.942472034865259,-1.0075530975026772,0.35016722064281863,0,1,157,141,177,80,1
42,0.5864539007092199,-3.190839060780613,-1.0,0.2152601959824666,4,1,230,256,69,111,1
18,0.582709219858156,-3.386377248666782,-5.0,0.40823816682993774,0,3,55,168,221,249,1
12,0.5801276595744681,-1.8806756661526074,-1.913193572641421,0.6416086845406315,0,1,247,256,105,187,0
14,0.5786241134751773,-3.0670592266213275,-3.9971976542975076,0.43099816169078464,0,3,207,29,213,32,1
49,0.5780851063829787,-3.961163029008366,-4.642804697431389,0.476328547327161,4,0,116,197,226,144,1
21,0.5771489361702128,-3.7210140208627283,-3.295531383308697,0.43216266062958714,1,3,222,0,27,228,1
2,0.5741134751773049,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
33,0.5726950354609929,-4.0,-5.0,0.6401473485311315,4,2,256,176,184,215,1
35,0.5709078014184397,-2.9971022634344284,-5.0,0.7,4,1,148,242,75,251,1
10,0.5705531914893618,-4.0,-4.210020536128138,0.6850040948284533,2,2,17,179,167,0,1
34,0.5703404255319149,-2.6697038402856332,-1.0,0.15554257720556783,4,2,256,7,217,133,1
25,0.5698581560283689,-4.0,-1.1447430604961948,0.7,3,0,81,34,249,256,1
9,0.5690354609929078,-4.0,-1.0,0.7,4,0,256,256,0,256,0
5,0.5679007092198582,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
19,0.5674184397163121,-3.6974053654821524,-4.576722004549751,0.13755778064380977,2,2,24,144,256,43,0
8,0.5668794326241134,-0.428402424984462,-1.3301908469346144,0.29838267918867206,1,1,136,19,150,4,0
7,0.5667375886524822,-1.1776910768305995,-3.5315307961326896,0.2736174750185387,0,0,132,256,69,256,1
16,0.5659432624113475,-3.0127390291446234,-1.1067621851548513,0.366163396867143,2,0,249,183,166,251,0
37,0.565177304964539,-2.9101687965851775,-4.9981740649148545,0.016613729986134956,4,1,216,166,189,111,0
39,0.5651489361702127,-3.1789745079395737,-1.9603122402310094,0.22182185497971832,4,2,235,83,59,235,0
4,0.5552482269503547,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
43,0.5544255319148936,-3.35862074802517,-5.0,0.4675882231460466,4,3,11,210,160,89,1
