trial,auc,lr_log,l1_l2_log,dropout_rate,batch_size_idx,optimizer_idx,hidden_size_1,hidden_size_2,hidden_size_3,hidden_size_4,use_batch_norm_num
1,0.9366050589793731,-1.0527909486171376,-4.266260840535344,0.5457837001909386,2,1,33,118,85,37,1
19,0.9365840324649384,-1.629760920750721,-3.4851036397295183,0.0,0,2,8,256,0,198,1
10,0.9356062995437247,-0.3,-5.0,0.0,4,3,8,0,0,0,1
35,0.9349649908534662,-3.400798502181761,-1.0135614597986886,0.3562998307331722,0,2,190,78,1,74,1
43,0.9342921423915558,-2.2572726529642315,-1.0,0.7,1,0,248,169,190,237,1
27,0.9338085325595576,-2.2165110629250937,-5.0,0.0,4,3,8,0,0,0,1
4,0.9334931348430371,-1.4828621072252144,-3.1980029921218276,0.009285472811906571,4,2,104,4,59,62,1
42,0.9329779852393869,-2.463892300297103,-1.0,0.7,1,3,256,166,202,229,1
13,0.9319792258037386,-0.6571307804515079,-4.15755097421443,0.7,4,1,8,236,101,0,0
20,0.9314745894573057,-4.0,-1.0,0.0,4,3,256,256,0,134,0
47,0.9310225193969597,-1.5796774571054453,-5.0,0.7,2,3,256,95,201,102,1
21,0.9307807144809604,-4.0,-5.0,0.0,0,3,8,0,0,0,1
3,0.9305914758510482,-2.5205144046535546,-4.813337347145538,0.6816288631890215,1,0,161,98,252,119,1
50,0.9302024853340061,-2.739356544602043,-4.459974258536126,0.0016537641383560426,2,1,8,191,98,112,1
15,0.9299396539035724,-0.3,-5.0,0.0,4,1,17,0,0,93,0
8,0.9283731785781871,-0.3,-1.0,0.0,4,0,8,0,256,256,1
36,0.927889568746189,-1.0600993543277508,-3.5025952078577545,0.035755428360453534,4,1,59,89,197,31,0
25,0.9277949494312329,-3.904994103808814,-5.0,0.24463516394865967,1,2,180,9,157,214,0
28,0.927532118000799,-2.5696983493531818,-1.6663411716178644,0.7,3,1,8,142,131,216,1
41,0.9269013225677579,-2.8862040021271307,-5.0,0.0,3,0,256,53,168,116,0
5,0.9265964381084548,-1.7430123662043022,-1.6672203530553418,0.12135525745544047,2,1,195,109,53,145,0
14,0.9263441199352384,-2.9542978140941756,-4.504942828239587,0.451685075194942,0,0,115,256,182,153,0
49,0.9252402279274164,-1.9941122439761587,-4.8898886449316645,0.5012616557885178,2,1,217,196,188,181,1
32,0.9249668832397653,-3.5001173281593436,-5.0,0.11291966341235586,1,2,8,28,92,184,1
22,0.9248407241531571,-3.1460437362916087,-1.6023298912213066,0.5616939622914306,0,3,8,192,0,97,1
11,0.9242992914064636,-0.3,-4.257516700469329,0.7,4,0,256,0,256,0,1
37,0.9226224268802959,-2.729578434226818,-4.902528375896201,0.08991521866183189,2,2,233,171,142,254,0
18,0.9225383208225573,-2.116344596971229,-1.0,0.0,0,0,256,256,0,0,0
40,0.9214449420719528,-2.6369294393778455,-5.0,0.7,4,0,8,79,131,161,0
12,0.9211242877268235,-0.3,-1.0,0.7,4,2,8,0,178,0,1
45,0.9198469269749153,-3.485516564690276,-2.336981881583012,0.0,1,3,256,133,127,107,1
2,0.9193633171429173,-3.791277157599729,-2.1120049109327006,0.6569868963110252,0,3,161,157,2,6,1
7,0.9177547887886627,-3.3407572900683813,-1.0,0.043354050780974956,0,0,123,196,0,34,0
26,0.917555036901533,-0.3739349998567665,-1.0,0.0,3,1,256,181,93,9,0
23,0.9151054479698899,-2.3844813095787627,-2.5546553401872183,0.6497912382951422,0,3,8,226,0,182,1
29,0.9148951828255429,-3.459327584356418,-5.0,0.0,2,0,256,254,121,134,1
39,0.9140330957337203,-3.5972528353236806,-1.0239110119298402,0.7,2,2,8,172,119,254,0
34,0.9093757227864336,-0.3,-4.216944898204474,0.0,4,1,128,201,210,26,1
9,0.9089972455266091,-4.0,-3.7693646751108805,0.0,0,0,256,256,256,256,1
33,0.9052755524716667,-1.476656023235543,-5.0,0.0,2,2,119,220,51,54,1
24,0.898757332996909,-0.3,-5.0,0.0,0,3,159,256,0,0,0
17,0.8986732269391702,-4.0,-1.0,0.0,2,1,8,0,0,256,0
30,0.8894215605879012,-1.6433050785073249,-1.0,0.0,4,0,8,206,0,256,0
46,0.8780304463929015,-0.3,-1.0,0.0,1,0,256,113,106,16,1
44,0.8404140120692192,-2.4215960578752873,-1.0,0.0,0,2,256,176,34,37,0
16,0.7230755482663639,-0.3,-1.0,0.7,4,0,256,0,256,148,1
31,0.5679366681385227,-2.099040761884858,-1.0,0.7,2,0,8,142,71,248,0
6,0.5071542715364074,-0.3,-5.0,0.19359544774887974,4,3,256,31,228,243,0
38,0.5,-0.38520024760311866,-1.0,0.7,4,2,8,97,149,70,0
48,0.5,-0.3,-3.636326947155026,0.7,1,2,256,242,92,169,0
